num_gpus,num_concurrent,direction,method,run_index,time_ms
16,1,forward,full,0,235.904234
16,1,forward,full,1,235.800667
16,1,forward,full,2,235.858551
16,1,forward,full,3,235.879288
16,1,forward,full,4,235.929493
16,1,forward,full,5,235.893239
16,1,forward,full,6,235.778683
16,1,forward,full,7,235.797211
16,1,forward,full,8,235.865048
16,1,forward,full,9,235.917526
16,1,forward,full,10,235.809273
16,1,forward,full,11,235.947637
16,1,forward,full,12,235.872792
16,1,forward,full,13,235.822685
16,1,forward,full,14,235.850329
16,1,forward,full,15,235.945108
16,1,forward,full,16,235.941558
16,1,forward,full,17,235.767438
16,1,forward,full,18,235.896470
16,1,forward,full,19,235.909751
16,1,forward,pruned,0,264.466536
16,1,forward,pruned,1,265.655521
16,1,forward,pruned,2,265.159869
16,1,forward,pruned,3,265.086644
16,1,forward,pruned,4,265.158224
16,1,forward,pruned,5,264.947287
16,1,forward,pruned,6,264.800669
16,1,forward,pruned,7,264.319820
16,1,forward,pruned,8,264.891321
16,1,forward,pruned,9,264.688814
16,1,forward,pruned,10,264.879752
16,1,forward,pruned,11,264.527173
16,1,forward,pruned,12,265.172081
16,1,forward,pruned,13,264.731265
16,1,forward,pruned,14,263.911897
16,1,forward,pruned,15,264.849722
16,1,forward,pruned,16,264.951352
16,1,forward,pruned,17,264.875130
16,1,forward,pruned,18,263.600292
16,1,forward,pruned,19,264.120883
16,1,backward,full,0,235.904234
16,1,backward,full,1,235.800667
16,1,backward,full,2,235.858551
16,1,backward,full,3,235.879288
16,1,backward,full,4,235.929493
16,1,backward,full,5,235.893239
16,1,backward,full,6,235.778683
16,1,backward,full,7,235.797211
16,1,backward,full,8,235.865048
16,1,backward,full,9,235.917526
16,1,backward,full,10,235.809273
16,1,backward,full,11,235.947637
16,1,backward,full,12,235.872792
16,1,backward,full,13,235.822685
16,1,backward,full,14,235.850329
16,1,backward,full,15,235.945108
16,1,backward,full,16,235.941558
16,1,backward,full,17,235.767438
16,1,backward,full,18,235.896470
16,1,backward,full,19,235.909751
16,1,backward,pruned,0,264.466536
16,1,backward,pruned,1,265.655521
16,1,backward,pruned,2,265.159869
16,1,backward,pruned,3,265.086644
16,1,backward,pruned,4,265.158224
16,1,backward,pruned,5,264.947287
16,1,backward,pruned,6,264.800669
16,1,backward,pruned,7,264.319820
16,1,backward,pruned,8,264.891321
16,1,backward,pruned,9,264.688814
16,1,backward,pruned,10,264.879752
16,1,backward,pruned,11,264.527173
16,1,backward,pruned,12,265.172081
16,1,backward,pruned,13,264.731265
16,1,backward,pruned,14,263.911897
16,1,backward,pruned,15,264.849722
16,1,backward,pruned,16,264.951352
16,1,backward,pruned,17,264.875130
16,1,backward,pruned,18,263.600292
16,1,backward,pruned,19,264.120883
