grid,rho,tolerance,type,component,time_ms,fraction
64,10,1.0e-04,1,Spreading,1.5588,0.4272
64,10.0000,1.0e-04,1,FFT,2.0532,0.5627
64,10.0000,1.0e-04,1,Deconvolution,0.0368,0.0101
64,10.0000,1.0e-04,2,Precorrection,0.0504,0.0193
64,10.0000,1.0e-04,2,FFT,2.0354,0.7793
64,10.0000,1.0e-04,2,Interpolation,0.5261,0.2014
128,10.0000,1.0e-04,1,Spreading,10.5103,0.7901
128,10.0000,1.0e-04,1,FFT,2.5866,0.1944
128,10.0000,1.0e-04,1,Deconvolution,0.2064,0.0155
128,10.0000,1.0e-04,2,Precorrection,0.3185,0.0566
128,10.0000,1.0e-04,2,FFT,2.6173,0.4653
128,10.0000,1.0e-04,2,Interpolation,2.6894,0.4781
192,10.0000,1.0e-04,1,Spreading,39.0583,0.8853
192,10.0000,1.0e-04,1,FFT,4.4205,0.1002
192,10.0000,1.0e-04,1,Deconvolution,0.6391,0.0145
192,10.0000,1.0e-04,2,Precorrection,1.0430,0.0701
192,10.0000,1.0e-04,2,FFT,5.3716,0.3610
192,10.0000,1.0e-04,2,Interpolation,8.4635,0.5689
256,10.0000,1.0e-04,1,Spreading,81.0786,0.8935
256,10.0000,1.0e-04,1,FFT,8.1836,0.0902
256,10.0000,1.0e-04,1,Deconvolution,1.4847,0.0164
256,10.0000,1.0e-04,2,Precorrection,2.4533,0.0776
256,10.0000,1.0e-04,2,FFT,9.6983,0.3066
256,10.0000,1.0e-04,2,Interpolation,19.4778,0.6158
