grid,rho,tolerance,method,type,time_ms,throughput_mpts
200,0.1,1.0e-04,Atomic,1,9.4318,84.82
200,0.10,1.0e-04,Tiled,1,26.1433,30.60
200,0.10,1.0e-04,Grid-Parallel,1,11.9332,67.04
200,0.10,1.0e-04,Direct,2,8.8190,90.71
200,0.10,1.0e-04,Sorted,2,8.8331,90.57
200,0.10,1.0e-04,cuFINUFFT,1,8.4991,94.13
200,0.10,1.0e-04,cuFINUFFT,2,3.8783,206.28
200,0.50,1.0e-04,Atomic,1,17.7686,225.12
200,0.50,1.0e-04,Tiled,1,33.6193,118.98
200,0.50,1.0e-04,Grid-Parallel,1,19.0840,209.60
200,0.50,1.0e-04,Direct,2,13.9326,287.10
200,0.50,1.0e-04,Sorted,2,13.2747,301.32
200,0.50,1.0e-04,cuFINUFFT,1,9.2085,434.38
200,0.50,1.0e-04,cuFINUFFT,2,4.6988,851.28
200,1.00,1.0e-04,Atomic,1,28.2853,282.83
200,1.00,1.0e-04,Tiled,1,38.2395,209.21
200,1.00,1.0e-04,Grid-Parallel,1,22.5052,355.47
200,1.00,1.0e-04,Direct,2,20.4810,390.61
200,1.00,1.0e-04,Sorted,2,17.4060,459.61
200,1.00,1.0e-04,cuFINUFFT,1,10.8798,735.31
200,1.00,1.0e-04,cuFINUFFT,2,5.7097,1401.13
200,2.00,1.0e-04,Atomic,1,48.9830,326.64
200,2.00,1.0e-04,Tiled,1,41.7775,382.98
200,2.00,1.0e-04,Grid-Parallel,1,26.1292,612.34
200,2.00,1.0e-04,Direct,2,33.2160,481.70
200,2.00,1.0e-04,Sorted,2,22.7396,703.62
200,2.00,1.0e-04,cuFINUFFT,1,14.9772,1068.29
200,2.00,1.0e-04,cuFINUFFT,2,7.3891,2165.35
200,5.00,1.0e-04,Atomic,1,111.2603,359.52
200,5.00,1.0e-04,Tiled,1,68.7658,581.68
200,5.00,1.0e-04,Grid-Parallel,1,35.1417,1138.25
200,5.00,1.0e-04,Direct,2,71.2669,561.27
200,5.00,1.0e-04,Sorted,2,26.5000,1509.44
200,5.00,1.0e-04,cuFINUFFT,1,28.1731,1419.80
200,5.00,1.0e-04,cuFINUFFT,2,12.7174,3145.31
200,10.00,1.0e-04,Atomic,1,215.1260,371.88
200,10.00,1.0e-04,Tiled,1,112.6606,710.10
200,10.00,1.0e-04,Grid-Parallel,1,52.6383,1519.81
200,10.00,1.0e-04,Direct,2,134.4423,595.05
200,10.00,1.0e-04,Sorted,2,34.2852,2333.37
200,10.00,1.0e-04,cuFINUFFT,1,50.7359,1576.79
200,10.00,1.0e-04,cuFINUFFT,2,21.7229,3682.75
200,20.00,1.0e-04,Atomic,1,422.8570,378.38
200,20.00,1.0e-04,Tiled,1,197.0595,811.94
200,20.00,1.0e-04,Grid-Parallel,1,85.4737,1871.92
200,20.00,1.0e-04,Direct,2,260.7716,613.56
200,20.00,1.0e-04,Sorted,2,55.4424,2885.88
200,20.00,1.0e-04,cuFINUFFT,1,99.0575,1615.22
200,20.00,1.0e-04,cuFINUFFT,2,39.3375,4067.36
200,50.00,1.0e-04,Atomic,1,1045.9299,382.43
200,50.00,1.0e-04,Tiled,1,449.1744,890.52
200,50.00,1.0e-04,Grid-Parallel,1,187.0623,2138.33
200,50.00,1.0e-04,Direct,2,638.7926,626.18
200,50.00,1.0e-04,Sorted,2,126.7184,3156.61
200,50.00,1.0e-04,cuFINUFFT,1,239.5967,1669.47
200,50.00,1.0e-04,cuFINUFFT,2,91.2645,4382.87
