grid,rho,tolerance,method,type,time_ms,throughput_mpts
200,10,1.0e-02,Atomic,1,75.5759,1058.54
200,10.00,1.0e-02,Tiled,1,42.1078,1899.89
200,10.00,1.0e-02,Grid-Parallel,1,34.8258,2297.15
200,10.00,1.0e-02,Direct,2,40.0992,1995.05
200,10.00,1.0e-02,Sorted,2,28.1967,2837.21
200,10.00,1.0e-02,cuFINUFFT,1,42.8676,1866.21
200,10.00,1.0e-02,cuFINUFFT,2,14.8944,5371.13
200,10.00,1.0e-03,Atomic,1,128.3934,623.09
200,10.00,1.0e-03,Tiled,1,64.7927,1234.71
200,10.00,1.0e-03,Grid-Parallel,1,36.8899,2168.61
200,10.00,1.0e-03,Direct,2,76.4264,1046.76
200,10.00,1.0e-03,Sorted,2,29.2472,2735.31
200,10.00,1.0e-03,cuFINUFFT,1,43.5222,1838.14
200,10.00,1.0e-03,cuFINUFFT,2,16.1646,4949.08
200,10.00,1.0e-04,Atomic,1,215.2139,371.72
200,10.00,1.0e-04,Tiled,1,112.2238,712.86
200,10.00,1.0e-04,Grid-Parallel,1,50.4024,1587.23
200,10.00,1.0e-04,Direct,2,134.5086,594.76
200,10.00,1.0e-04,Sorted,2,34.3611,2328.22
200,10.00,1.0e-04,cuFINUFFT,1,50.7388,1576.70
200,10.00,1.0e-04,cuFINUFFT,2,21.7244,3682.49
200,10.00,1.0e-05,Atomic,1,332.3039,240.74
200,10.00,1.0e-05,Tiled,1,189.3292,422.54
200,10.00,1.0e-05,Grid-Parallel,1,72.3659,1105.49
200,10.00,1.0e-05,Direct,2,215.5208,371.19
200,10.00,1.0e-05,Sorted,2,46.9854,1702.66
200,10.00,1.0e-05,cuFINUFFT,1,56.8759,1406.57
200,10.00,1.0e-05,cuFINUFFT,2,31.9075,2507.25
200,10.00,1.0e-06,Atomic,1,493.0408,162.26
200,10.00,1.0e-06,Tiled,1,300.6362,266.10
200,10.00,1.0e-06,Grid-Parallel,1,94.1138,850.03
200,10.00,1.0e-06,Direct,2,332.8843,240.32
200,10.00,1.0e-06,Sorted,2,66.8419,1196.85
200,10.00,1.0e-06,cuFINUFFT,1,105.4716,758.50
200,10.00,1.0e-06,cuFINUFFT,2,47.6137,1680.19
200,10.00,1.0e-07,Atomic,1,684.1055,116.94
200,10.00,1.0e-07,Tiled,1,700.0618,114.28
200,10.00,1.0e-07,Grid-Parallel,1,113.0406,707.71
200,10.00,1.0e-07,Direct,2,465.5585,171.84
200,10.00,1.0e-07,Sorted,2,78.0089,1025.52
200,10.00,1.0e-07,cuFINUFFT,1,106.8889,748.44
200,10.00,1.0e-07,cuFINUFFT,2,62.8454,1272.97
200,10.00,1.0e-08,Atomic,1,975.0433,82.05
200,10.00,1.0e-08,Tiled,1,1560.8369,51.25
200,10.00,1.0e-08,Grid-Parallel,1,281.3858,284.31
200,10.00,1.0e-08,Direct,2,698.4800,114.53
200,10.00,1.0e-08,Sorted,2,102.0169,784.18
200,10.00,1.0e-08,cuFINUFFT,1,173.5625,460.93
200,10.00,1.0e-08,cuFINUFFT,2,86.6574,923.18
