                      ranks  Wall tot
=====================================
mainTimer...........    512     5.591

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    512     5.591     5.591     5.591
particlesCreation...    512         0         0         0
dumpData............    512   0.06622   0.04756   0.05589
kick................    512 0.0004273 0.0001658 0.0002947
drift...............    512 9.254e-05 4.205e-05 6.674e-05
initializeShapeFunc.    512         0         0         0
findInternal........    512         0         0         0
findPeriodic........    512         0         0         0
NativeNUFFT::init...    512         0         0         0
particleBC..........    512 0.0001707 8.499e-05  0.000123
updateParticle......    512      1.33    0.6385    0.9249
locateParticles.....    512   0.02377   0.01896   0.02118
sendPreprocess......    512   0.01159  0.006664  0.009259
particleSend........    512   0.01602   0.01122   0.01283
particleRecv........    512    0.2317  0.003685   0.01828
particleDestroy.....    512   0.02514   0.01901   0.02144
ScatterPIFNUFFT.....    512      2.08     1.382     1.792
NativeNUFFT1........    512     2.072     1.374     1.783
scatterTimerNUFFT1..    512      1.13    0.4407    0.8358
binSort.............    512   0.09995   0.07821    0.0889
binComputeKeys......    512  0.009384  0.007098  0.008311
binSortByKey........    512    0.0853   0.06712   0.07592
binComputeOffsets...    512  0.005252  0.003927   0.00459
FFTNUFFT1...........    512     1.126    0.8236    0.9449
TwiddleAdd..........    512 0.0005478 0.0002831 0.0003947
subFFTs.............    512     1.126    0.8229    0.9441
deconvolutionNUFFT1.    512  0.002084  0.001947  0.002033
GatherPIFNUFFT......    512     2.815      2.79     2.803
NativeNUFFT2........    512     2.807     2.779     2.795
PrecorrectionNUFFT2.    512   0.02075   0.01572   0.01814
FFTNUFFT2...........    512     2.537      2.48     2.506
subIFFTs............    512     2.532     2.476     2.501
StridedWrite........    512  0.001713 0.0008855  0.001263
GatherNUFFT2........    512    0.2009    0.1565    0.1794
