time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9307475965e+00 5.0003147957e-02
1.2271846300e-02 9.9288075063e+00 4.9998267683e-02
2.4543692600e-02 9.9231222965e+00 4.9983964795e-02
3.6815538900e-02 9.9136980232e+00 4.9960246873e-02
4.9087385200e-02 9.9005414876e+00 4.9927116211e-02
6.1359231500e-02 9.8836640321e+00 4.9884583129e-02
7.3631077800e-02 9.8630791439e+00 4.9832658598e-02
8.5902924100e-02 9.8388042096e+00 4.9771355691e-02
9.8174770400e-02 9.8108593168e+00 4.9700690811e-02
1.1044661670e-01 9.7792669210e+00 4.9620681271e-02
1.2271846300e-01 9.7440555237e+00 4.9531352983e-02
1.3499030930e-01 9.7052513997e+00 4.9432722844e-02
1.4726215560e-01 9.6628896963e+00 4.9324823575e-02
1.5953400190e-01 9.6170035598e+00 4.9207679711e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9299212415e+00 5.0002677309e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9299212415e+00 5.0002677309e-02
1.2271846300e-02 9.9279812792e+00 4.9997797134e-02
2.4543692600e-02 9.9222962666e+00 4.9983494542e-02
3.6815538900e-02 9.9128723729e+00 4.9959777109e-02
4.9087385200e-02 9.8997161779e+00 4.9926647131e-02
6.1359231500e-02 9.8828391941e+00 4.9884114930e-02
7.3631077800e-02 9.8622549883e+00 4.9832191475e-02
8.5902924100e-02 9.8379808077e+00 4.9770889837e-02
9.8174770400e-02 9.8100367426e+00 4.9700226413e-02
1.1044661670e-01 9.7784452909e+00 4.9620218528e-02
1.2271846300e-01 9.7432348454e+00 4.9530892082e-02
1.3499030930e-01 9.7044320068e+00 4.9432263989e-02
1.4726215560e-01 9.6620715567e+00 4.9324366936e-02
1.5953400190e-01 9.6161869012e+00 4.9207225485e-02
