timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,16.270269445
dumpData,0,0,0.015001009
dumpData,0,1,0.012869948
dumpData,0,2,0.012682243
dumpData,0,3,0.013531261
dumpData,0,4,0.012764246
dumpData,0,5,0.016263042
dumpData,0,6,0.012358788
dumpData,0,7,0.01325815
dumpData,0,8,0.012507008
dumpData,0,9,0.013105035
kick,0,0,3.7951e-05
kick,0,1,7.392e-06
kick,0,2,4.4607e-05
kick,0,3,7.744e-06
kick,0,4,3.8719e-05
kick,0,5,7.839e-06
kick,0,6,4.6751e-05
kick,0,7,9.088e-06
kick,0,8,4.6974e-05
kick,0,9,7.296e-06
kick,0,10,4.611e-05
kick,0,11,8.128e-06
kick,0,12,3.9455e-05
kick,0,13,8.224e-06
kick,0,14,4.4063e-05
kick,0,15,7.616e-06
kick,0,16,4.2335e-05
kick,0,17,7.967e-06
kick,0,18,5.2383e-05
kick,0,19,6.687e-06
drift,0,0,7.008e-06
drift,0,1,9.119e-06
drift,0,2,7.839e-06
drift,0,3,6.751e-06
drift,0,4,7.36e-06
drift,0,5,8.256e-06
drift,0,6,5.568e-06
drift,0,7,8.128e-06
drift,0,8,7.295e-06
drift,0,9,7.327e-06
particleBC,0,0,1.3151e-05
particleBC,0,1,1.4592e-05
particleBC,0,2,1.3728e-05
particleBC,0,3,1.1552e-05
particleBC,0,4,1.0431e-05
particleBC,0,5,1.312e-05
particleBC,0,6,1.44e-05
particleBC,0,7,1.4815e-05
particleBC,0,8,1.2608e-05
particleBC,0,9,1.1904e-05
updateParticle,0,0,0.072285814
updateParticle,0,1,0.127783674
updateParticle,0,2,0.126389322
updateParticle,0,3,0.072848323
updateParticle,0,4,0.112239556
updateParticle,0,5,0.073827427
updateParticle,0,6,0.126959801
updateParticle,0,7,0.072164539
updateParticle,0,8,0.018222625
updateParticle,0,9,0.018202306
locateParticles,0,0,0.008060901
locateParticles,0,1,0.008019047
locateParticles,0,2,0.008019334
locateParticles,0,3,0.008046214
locateParticles,0,4,0.008024661
locateParticles,0,5,0.008025877
locateParticles,0,6,0.008033332
locateParticles,0,7,0.008018229
locateParticles,0,8,0.008042772
locateParticles,0,9,0.008038484
sendPreprocess,0,0,0.000466704
sendPreprocess,0,1,0.000504718
sendPreprocess,0,2,0.000439889
sendPreprocess,0,3,0.000468175
sendPreprocess,0,4,0.003466476
sendPreprocess,0,5,0.000471856
sendPreprocess,0,6,0.000468336
sendPreprocess,0,7,0.000490768
sendPreprocess,0,8,0.000463633
sendPreprocess,0,9,0.000431281
particleSend,0,0,0.001605479
particleSend,0,1,0.001596008
particleSend,0,2,0.00159444
particleSend,0,3,0.001650438
particleSend,0,4,0.001704232
particleSend,0,5,0.00161729
particleSend,0,6,0.001602187
particleSend,0,7,0.001499662
particleSend,0,8,0.001596139
particleSend,0,9,0.001600075
particleRecv,0,0,4.7423e-05
particleRecv,0,1,4.451e-05
particleRecv,0,2,3.9806e-05
particleRecv,0,3,4.5311e-05
particleRecv,0,4,4.195e-05
particleRecv,0,5,3.9935e-05
particleRecv,0,6,4.4351e-05
particleRecv,0,7,4.7166e-05
particleRecv,0,8,4.035e-05
particleRecv,0,9,4.1503e-05
particleDestroy,0,0,0.006509435
particleDestroy,0,1,0.006502332
particleDestroy,0,2,0.006504732
particleDestroy,0,3,0.00652985
particleDestroy,0,4,0.006527783
particleDestroy,0,5,0.006502119
particleDestroy,0,6,0.006520486
particleDestroy,0,7,0.006490312
particleDestroy,0,8,0.006503943
particleDestroy,0,9,0.006497224
ScatterPIFNUFFT,0,0,0.532729521
ScatterPIFNUFFT,0,1,1.7855e-05
ScatterPIFNUFFT,0,2,0.426934003
ScatterPIFNUFFT,0,3,1.2736e-05
ScatterPIFNUFFT,0,4,0.401007361
ScatterPIFNUFFT,0,5,2.0319e-05
ScatterPIFNUFFT,0,6,0.467055186
ScatterPIFNUFFT,0,7,6.7005e-05
ScatterPIFNUFFT,0,8,0.399631675
ScatterPIFNUFFT,0,9,1.6063e-05
ScatterPIFNUFFT,0,10,0.450633208
ScatterPIFNUFFT,0,11,2.4288e-05
ScatterPIFNUFFT,0,12,0.416480425
ScatterPIFNUFFT,0,13,2.1919e-05
ScatterPIFNUFFT,0,14,0.461990333
ScatterPIFNUFFT,0,15,3.4687e-05
ScatterPIFNUFFT,0,16,0.506173692
ScatterPIFNUFFT,0,17,2.192e-05
ScatterPIFNUFFT,0,18,0.679610281
ScatterPIFNUFFT,0,19,1.936e-05
NativeNUFFT1,0,0,0.524524561
NativeNUFFT1,0,1,0.418385504
NativeNUFFT1,0,2,0.396430722
NativeNUFFT1,0,3,0.45891368
NativeNUFFT1,0,4,0.391417901
NativeNUFFT1,0,5,0.442309133
NativeNUFFT1,0,6,0.411732583
NativeNUFFT1,0,7,0.453708081
NativeNUFFT1,0,8,0.497887953
NativeNUFFT1,0,9,0.671344029
scatterTimerNUFFT1,0,0,0.201473439
scatterTimerNUFFT1,0,1,0.093470063
scatterTimerNUFFT1,0,2,0.102803206
scatterTimerNUFFT1,0,3,0.156328911
scatterTimerNUFFT1,0,4,0.106380199
scatterTimerNUFFT1,0,5,0.149133014
scatterTimerNUFFT1,0,6,0.097986526
