timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,11.758232398
dumpData,0,0,0.028242852
dumpData,0,1,0.026738738
dumpData,0,2,0.026630325
dumpData,0,3,0.025072158
dumpData,0,4,0.024966274
dumpData,0,5,0.025269752
dumpData,0,6,0.024886404
dumpData,0,7,0.026702891
dumpData,0,8,0.025260184
dumpData,0,9,0.025008416
kick,0,0,3.9966e-05
kick,0,1,9.056e-06
kick,0,2,5.0046e-05
kick,0,3,7.616e-06
kick,0,4,4.0767e-05
kick,0,5,9.216e-06
kick,0,6,4.419e-05
kick,0,7,8.671e-06
kick,0,8,4.6302e-05
kick,0,9,8.703e-06
kick,0,10,3.5935e-05
kick,0,11,8.768e-06
kick,0,12,4.4574e-05
kick,0,13,9.695e-06
kick,0,14,4.4254e-05
kick,0,15,9.824e-06
kick,0,16,4.1695e-05
kick,0,17,8.543e-06
kick,0,18,3.9967e-05
kick,0,19,8.64e-06
drift,0,0,6.272e-06
drift,0,1,5.856e-06
drift,0,2,5.759e-06
drift,0,3,5.344e-06
drift,0,4,4.832e-06
drift,0,5,5.088e-06
drift,0,6,5.536e-06
drift,0,7,7.232e-06
drift,0,8,6.335e-06
drift,0,9,5.952e-06
particleBC,0,0,9.888e-06
particleBC,0,1,1.1455e-05
particleBC,0,2,9.664e-06
particleBC,0,3,1.0656e-05
particleBC,0,4,9.92e-06
particleBC,0,5,1.136e-05
particleBC,0,6,9.088e-06
particleBC,0,7,9.568e-06
particleBC,0,8,9.568e-06
particleBC,0,9,9.535e-06
updateParticle,0,0,0.023130176
updateParticle,0,1,0.023055138
updateParticle,0,2,0.023175294
updateParticle,0,3,0.023101376
updateParticle,0,4,0.023135257
updateParticle,0,5,0.023117114
updateParticle,0,6,0.023108282
updateParticle,0,7,0.023094043
updateParticle,0,8,0.023169272
updateParticle,0,9,0.023056156
locateParticles,0,0,0.01312936
locateParticles,0,1,0.013133488
locateParticles,0,2,0.013141551
locateParticles,0,3,0.013141168
locateParticles,0,4,0.013147692
locateParticles,0,5,0.013147051
locateParticles,0,6,0.013125677
locateParticles,0,7,0.013145836
locateParticles,0,8,0.013117933
locateParticles,0,9,0.013116717
sendPreprocess,0,0,0.000365685
sendPreprocess,0,1,0.000324982
sendPreprocess,0,2,0.000324407
sendPreprocess,0,3,0.000322519
sendPreprocess,0,4,0.000330549
sendPreprocess,0,5,0.000296343
sendPreprocess,0,6,0.000340181
sendPreprocess,0,7,0.000324438
sendPreprocess,0,8,0.000338998
sendPreprocess,0,9,0.000337782
particleSend,0,0,0.000869829
particleSend,0,1,0.00085991
particleSend,0,2,0.00079172
particleSend,0,3,0.000827974
particleSend,0,4,0.00078564
particleSend,0,5,0.000783208
particleSend,0,6,0.000772905
particleSend,0,7,0.000801928
particleSend,0,8,0.000781864
particleSend,0,9,0.000796039
particleRecv,0,0,2.7999e-05
particleRecv,0,1,1.9103e-05
particleRecv,0,2,3.0303e-05
particleRecv,0,3,2.2944e-05
particleRecv,0,4,2.9503e-05
particleRecv,0,5,2.8319e-05
particleRecv,0,6,3.0176e-05
particleRecv,0,7,3.3055e-05
particleRecv,0,8,2.3359e-05
particleRecv,0,9,2.3039e-05
particleDestroy,0,0,0.006945741
particleDestroy,0,1,0.006977452
particleDestroy,0,2,0.006955597
particleDestroy,0,3,0.006947788
particleDestroy,0,4,0.006994825
particleDestroy,0,5,0.006960491
particleDestroy,0,6,0.006976393
particleDestroy,0,7,0.006955306
particleDestroy,0,8,0.006942699
particleDestroy,0,9,0.00696129
ScatterPIFNUFFT,0,0,0.299871219
ScatterPIFNUFFT,0,1,2.7743e-05
ScatterPIFNUFFT,0,2,0.300354532
ScatterPIFNUFFT,0,3,4.4702e-05
ScatterPIFNUFFT,0,4,0.300357637
ScatterPIFNUFFT,0,5,2.5663e-05
ScatterPIFNUFFT,0,6,0.299589916
ScatterPIFNUFFT,0,7,2.1375e-05
ScatterPIFNUFFT,0,8,0.299815175
ScatterPIFNUFFT,0,9,3.5007e-05
ScatterPIFNUFFT,0,10,0.300008257
ScatterPIFNUFFT,0,11,3.0047e-05
ScatterPIFNUFFT,0,12,0.300197787
ScatterPIFNUFFT,0,13,3.0015e-05
ScatterPIFNUFFT,0,14,0.300185339
ScatterPIFNUFFT,0,15,2.2527e-05
ScatterPIFNUFFT,0,16,0.299898052
ScatterPIFNUFFT,0,17,2.4511e-05
ScatterPIFNUFFT,0,18,0.299399988
ScatterPIFNUFFT,0,19,3.0655e-05
NativeNUFFT1,0,0,0.28447348
NativeNUFFT1,0,1,0.28511714
NativeNUFFT1,0,2,0.284940154
NativeNUFFT1,0,3,0.287664743
NativeNUFFT1,0,4,0.284715286
NativeNUFFT1,0,5,0.284723318
