                      ranks  Wall tot
=====================================
mainTimer...........   1024      2.09

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........   1024      2.09      2.09      2.09
particlesCreation...   1024         0         0         0
dumpData............   1024    0.0548   0.03637   0.04562
kick................   1024 0.0001712 8.861e-05 0.0001094
drift...............   1024 8.118e-05 3.766e-05 4.925e-05
initializeShapeFunc.   1024         0         0         0
findInternal........   1024         0         0         0
findPeriodic........   1024         0         0         0
NativeNUFFT::init...   1024         0         0         0
particleBC..........   1024 0.0001407 8.086e-05 9.659e-05
updateParticle......   1024    0.2092   0.02687   0.08442
locateParticles.....   1024  0.003411  0.002392  0.002585
sendPreprocess......   1024  0.004561  0.003467  0.004303
particleSend........   1024   0.01006  0.007803  0.008245
particleRecv........   1024  0.001173 0.0008624 0.0009828
particleDestroy.....   1024   0.00529  0.002764  0.003033
ScatterPIFNUFFT.....   1024     0.813     0.623    0.7479
NativeNUFFT1........   1024    0.8083    0.6168    0.7417
scatterTimerNUFFT1..   1024    0.4272    0.1404      0.29
binSort.............   1024    0.0176   0.01004   0.01069
binComputeKeys......   1024  0.007625 0.0008858 0.0009892
binSortByKey........   1024  0.009287  0.008155   0.00867
binComputeOffsets...   1024  0.001088 0.0009542  0.001007
FFTNUFFT1...........   1024    0.5562    0.3514    0.4514
TwiddleAdd..........   1024 0.0005657  0.000246 0.0002718
subFFTs.............   1024    0.5558    0.3509     0.451
deconvolutionNUFFT1.   1024   0.00052 0.0002474  0.000264
GatherPIFNUFFT......   1024     1.218     1.189     1.205
NativeNUFFT2........   1024     1.212     1.183     1.199
PrecorrectionNUFFT2.   1024  0.006012  0.001253   0.00142
FFTNUFFT2...........   1024     1.126     1.066       1.1
subIFFTs............   1024     1.124     1.064     1.099
StridedWrite........   1024  0.003027 0.0007184 0.0007953
GatherNUFFT2........   1024    0.1342   0.06399   0.09125
