time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9346898947e+00 5.0004354757e-02
1.2271846300e-02 9.9328533060e+00 4.9999734477e-02
2.4543692600e-02 9.9272728544e+00 4.9985694789e-02
3.6815538900e-02 9.9179557369e+00 4.9962244430e-02
4.9087385200e-02 9.9048998295e+00 4.9929370724e-02
6.1359231500e-02 9.8881285011e+00 4.9887111595e-02
7.3631077800e-02 9.8676470449e+00 4.9835453766e-02
8.5902924100e-02 9.8434781013e+00 4.9774420194e-02
9.8174770400e-02 9.8156404122e+00 4.9704029382e-02
1.1044661670e-01 9.7841540094e+00 4.9624295532e-02
1.2271846300e-01 9.7490470854e+00 4.9535238005e-02
1.3499030930e-01 9.7103532568e+00 4.9436890742e-02
1.4726215560e-01 9.6680977119e+00 4.9329266935e-02
1.5953400190e-01 9.6223210116e+00 4.9212404851e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9313840817e+00 5.0002472139e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9313840817e+00 5.0002472139e-02
1.2271846300e-02 9.9295488111e+00 4.9997852245e-02
2.4543692600e-02 9.9239690860e+00 4.9983813721e-02
3.6815538900e-02 9.9146521854e+00 4.9960365306e-02
4.9087385200e-02 9.9015980304e+00 4.9927494330e-02
6.1359231500e-02 9.8848295647e+00 4.9885238710e-02
7.3631077800e-02 9.8643515806e+00 4.9833585166e-02
8.5902924100e-02 9.8401852490e+00 4.9772556651e-02
9.8174770400e-02 9.8123509079e+00 4.9702171684e-02
1.1044661670e-01 9.7808692606e+00 4.9622444451e-02
1.2271846300e-01 9.7457670479e+00 4.9533394282e-02
1.3499030930e-01 9.7070773187e+00 4.9435055171e-02
1.4726215560e-01 9.6648268828e+00 4.9327440252e-02
1.5953400190e-01 9.6190552985e+00 4.9210587821e-02
