timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,3.143504231
dumpData,0,0,0.003848845
dumpData,0,1,0.001764619
dumpData,0,2,0.00153029
dumpData,0,3,0.001571473
dumpData,0,4,0.001530546
dumpData,0,5,0.001742444
dumpData,0,6,0.00135724
dumpData,0,7,0.002178462
dumpData,0,8,0.001532147
dumpData,0,9,0.001683118
kick,0,0,1.2096e-05
kick,0,1,4.96e-06
kick,0,2,1.1999e-05
kick,0,3,4.608e-06
kick,0,4,1.3215e-05
kick,0,5,4.576e-06
kick,0,6,1.4336e-05
kick,0,7,4.832e-06
kick,0,8,1.2896e-05
kick,0,9,4.672e-06
kick,0,10,1.2735e-05
kick,0,11,4.768e-06
kick,0,12,1.3343e-05
kick,0,13,6.111e-06
kick,0,14,1.2992e-05
kick,0,15,4.448e-06
kick,0,16,1.296e-05
kick,0,17,4.288e-06
kick,0,18,1.3248e-05
kick,0,19,4.864e-06
drift,0,0,5.632e-06
drift,0,1,5.312e-06
drift,0,2,5.088e-06
drift,0,3,5.471e-06
drift,0,4,6.592e-06
drift,0,5,6.336e-06
drift,0,6,6.528e-06
drift,0,7,6.496e-06
drift,0,8,4.832e-06
drift,0,9,5.216e-06
particleBC,0,0,1.0495e-05
particleBC,0,1,1.0176e-05
particleBC,0,2,1.0144e-05
particleBC,0,3,9.536e-06
particleBC,0,4,9.728e-06
particleBC,0,5,8.864e-06
particleBC,0,6,9.216e-06
particleBC,0,7,1.0111e-05
particleBC,0,8,1.0239e-05
particleBC,0,9,1.0911e-05
updateParticle,0,0,0.057235854
updateParticle,0,1,0.111947175
updateParticle,0,2,0.128845901
updateParticle,0,3,0.062241848
updateParticle,0,4,0.039379301
updateParticle,0,5,0.058681731
updateParticle,0,6,0.091796899
updateParticle,0,7,0.074377261
updateParticle,0,8,0.075186741
updateParticle,0,9,0.025480582
locateParticles,0,0,0.00068734
locateParticles,0,1,0.000690603
locateParticles,0,2,0.000684683
locateParticles,0,3,0.00068046
locateParticles,0,4,0.00069422
locateParticles,0,5,0.000681547
locateParticles,0,6,0.000682667
locateParticles,0,7,0.00068238
locateParticles,0,8,0.000682924
locateParticles,0,9,0.00068062
sendPreprocess,0,0,0.000305623
sendPreprocess,0,1,0.000312151
sendPreprocess,0,2,0.000299703
sendPreprocess,0,3,0.000308566
sendPreprocess,0,4,0.000306998
sendPreprocess,0,5,0.000313591
sendPreprocess,0,6,0.000308375
sendPreprocess,0,7,0.00032543
sendPreprocess,0,8,0.000312438
sendPreprocess,0,9,0.004399644
particleSend,0,0,0.000809863
particleSend,0,1,0.000775945
particleSend,0,2,0.000846727
particleSend,0,3,0.000763498
particleSend,0,4,0.000790953
particleSend,0,5,0.000819111
particleSend,0,6,0.000818311
particleSend,0,7,0.000864102
particleSend,0,8,0.000829799
particleSend,0,9,0.000853767
particleRecv,0,0,3.8591e-05
particleRecv,0,1,3.9902e-05
particleRecv,0,2,4.6238e-05
particleRecv,0,3,4.5726e-05
particleRecv,0,4,4.1919e-05
particleRecv,0,5,3.9903e-05
particleRecv,0,6,3.7375e-05
particleRecv,0,7,4.2623e-05
particleRecv,0,8,4.1695e-05
particleRecv,0,9,3.5359e-05
particleDestroy,0,0,0.000729034
particleDestroy,0,1,0.000737162
particleDestroy,0,2,0.00073201
particleDestroy,0,3,0.000731498
particleDestroy,0,4,0.000731402
particleDestroy,0,5,0.000728202
particleDestroy,0,6,0.000731018
particleDestroy,0,7,0.00072609
particleDestroy,0,8,0.000723178
particleDestroy,0,9,0.00072961
ScatterPIFNUFFT,0,0,0.292689667
ScatterPIFNUFFT,0,1,6.464e-06
ScatterPIFNUFFT,0,2,0.090728644
ScatterPIFNUFFT,0,3,1.056e-05
ScatterPIFNUFFT,0,4,0.073533925
ScatterPIFNUFFT,0,5,4.608e-06
ScatterPIFNUFFT,0,6,0.135436072
ScatterPIFNUFFT,0,7,5.888e-06
ScatterPIFNUFFT,0,8,0.192289602
ScatterPIFNUFFT,0,9,5.024e-06
ScatterPIFNUFFT,0,10,0.093579885
ScatterPIFNUFFT,0,11,5.919e-06
ScatterPIFNUFFT,0,12,0.109844199
ScatterPIFNUFFT,0,13,5.024e-06
ScatterPIFNUFFT,0,14,0.074082997
ScatterPIFNUFFT,0,15,5.408e-06
ScatterPIFNUFFT,0,16,0.131030444
ScatterPIFNUFFT,0,17,7.424e-06
ScatterPIFNUFFT,0,18,0.165387783
ScatterPIFNUFFT,0,19,5.76e-06
NativeNUFFT1,0,0,0.291977848
NativeNUFFT1,0,1,0.090008665
NativeNUFFT1,0,2,0.072812283
NativeNUFFT1,0,3,0.13475014
NativeNUFFT1,0,4,0.191567063
NativeNUFFT1,0,5,0.09296672
NativeNUFFT1,0,6,0.109165275
NativeNUFFT1,0,7,0.073418025
NativeNUFFT1,0,8,0.130389343
NativeNUFFT1,0,9,0.164689052
scatterTimerNUFFT1,0,0,0.1684019
scatterTimerNUFFT1,0,1,0.058160498
scatterTimerNUFFT1,0,2,0.044139286
scatterTimerNUFFT1,0,3,0.108696553
scatterTimerNUFFT1,0,4,0.163619964
scatterTimerNUFFT1,0,5,0.060560105
scatterTimerNUFFT1,0,6,0.082494841
scatterTimerNUFFT1,0,7,0.04486464
scatterTimerNUFFT1,0,8,0.093932323
scatterTimerNUFFT1,0,9,0.101215785
binSort,0,0,0.000770025
binSort,0,1,0.000753354
binSort,0,2,0.00078756
binSort,0,3,0.000776552
binSort,0,4,0.000756361
binSort,0,5,0.000783113
binSort,0,6,0.000763849
binSort,0,7,0.000797352
binSort,0,8,0.000763498
binSort,0,9,0.000781128
binSort,0,10,0.0007826
binSort,0,11,0.000781801
binSort,0,12,0.000756425
binSort,0,13,0.000775657
binSort,0,14,0.000778472
binSort,0,15,0.000748074
binSort,0,16,0.00075345
binSort,0,17,0.000773096
binSort,0,18,0.000746249
binSort,0,19,0.000783977
binSort,0,20,0.000803944
binSort,0,21,0.000765481
binSort,0,22,0.000768201
binSort,0,23,0.000769129
binSort,0,24,0.000756458
binSort,0,25,0.00077876
binSort,0,26,0.000771177
binSort,0,27,0.00078868
binSort,0,28,0.000757322
binSort,0,29,0.000775305
binSort,0,30,0.000764425
binSort,0,31,0.00079124
binSort,0,32,0.000774728
binSort,0,33,0.000762121
binSort,0,34,0.000773224
binSort,0,35,0.000793864
binSort,0,36,0.000797192
binSort,0,37,0.000773001
binSort,0,38,0.000784776
binSort,0,39,0.000766921
binComputeKeys,0,0,7.155e-05
binComputeKeys,0,1,6.7038e-05
binComputeKeys,0,2,6.9214e-05
binComputeKeys,0,3,7.011e-05
binComputeKeys,0,4,6.7774e-05
binComputeKeys,0,5,6.819e-05
binComputeKeys,0,6,6.659e-05
binComputeKeys,0,7,7.1166e-05
binComputeKeys,0,8,6.851e-05
binComputeKeys,0,9,6.8926e-05
binComputeKeys,0,10,6.9598e-05
binComputeKeys,0,11,6.8638e-05
binComputeKeys,0,12,7.1806e-05
binComputeKeys,0,13,6.739e-05
binComputeKeys,0,14,7.027e-05
binComputeKeys,0,15,6.931e-05
binComputeKeys,0,16,6.531e-05
binComputeKeys,0,17,6.9758e-05
binComputeKeys,0,18,6.4222e-05
binComputeKeys,0,19,6.9726e-05
binComputeKeys,0,20,7.1486e-05
binComputeKeys,0,21,6.7038e-05
binComputeKeys,0,22,6.7262e-05
binComputeKeys,0,23,6.9277e-05
binComputeKeys,0,24,6.7646e-05
binComputeKeys,0,25,6.9182e-05
binComputeKeys,0,26,6.7102e-05
binComputeKeys,0,27,6.819e-05
binComputeKeys,0,28,6.659e-05
binComputeKeys,0,29,6.9758e-05
binComputeKeys,0,30,6.6206e-05
binComputeKeys,0,31,6.7486e-05
binComputeKeys,0,32,7.1294e-05
binComputeKeys,0,33,6.6654e-05
binComputeKeys,0,34,6.7613e-05
binComputeKeys,0,35,6.9534e-05
binComputeKeys,0,36,7.3086e-05
binComputeKeys,0,37,6.8094e-05
binComputeKeys,0,38,7.0941e-05
binComputeKeys,0,39,6.6142e-05
binSortByKey,0,0,0.00065134
binSortByKey,0,1,0.000640525
binSortByKey,0,2,0.000657933
binSortByKey,0,3,0.00065678
binSortByKey,0,4,0.000639725
binSortByKey,0,5,0.000663564
binSortByKey,0,6,0.000650604
binSortByKey,0,7,0.000669388
binSortByKey,0,8,0.000645325
