num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
1024,1024,8589934592,type1,0,106.610921
1024,1024,8589934592,type1,1,109.889282
1024,1024,8589934592,type1,2,100.942905
1024,1024,8589934592,type1,3,103.180602
1024,1024,8589934592,type1,4,99.803638
1024,1024,8589934592,type1,5,103.124160
1024,1024,8589934592,type1,6,114.519031
1024,1024,8589934592,type1,7,109.101160
1024,1024,8589934592,type1,8,112.285533
1024,1024,8589934592,type1,9,113.413276
1024,1024,8589934592,type2,0,64.688825
1024,1024,8589934592,type2,1,82.475426
1024,1024,8589934592,type2,2,60.636874
1024,1024,8589934592,type2,3,71.883892
1024,1024,8589934592,type2,4,81.817940
1024,1024,8589934592,type2,5,78.055325
1024,1024,8589934592,type2,6,86.932193
1024,1024,8589934592,type2,7,74.909210
1024,1024,8589934592,type2,8,74.653114
1024,1024,8589934592,type2,9,80.041507
