timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,9.896146109
dumpData,0,0,0.008840664
dumpData,0,1,0.0091947
dumpData,0,2,0.008025232
dumpData,0,3,0.009049298
dumpData,0,4,0.006774133
dumpData,0,5,0.006619802
dumpData,0,6,0.006912882
dumpData,0,7,0.007605148
dumpData,0,8,0.007862613
dumpData,0,9,0.008523617
kick,0,0,3.0687e-05
kick,0,1,7.583e-06
kick,0,2,3.1999e-05
kick,0,3,8.512e-06
kick,0,4,3.1935e-05
kick,0,5,9.023e-06
kick,0,6,3.3247e-05
kick,0,7,8.063e-06
kick,0,8,3.2767e-05
kick,0,9,8.608e-06
kick,0,10,3.1263e-05
kick,0,11,1.072e-05
kick,0,12,3.2767e-05
kick,0,13,7.359e-06
kick,0,14,3.3215e-05
kick,0,15,8.832e-06
kick,0,16,2.5343e-05
kick,0,17,8.703e-06
kick,0,18,3.3887e-05
kick,0,19,7.52e-06
drift,0,0,6.336e-06
drift,0,1,6.591e-06
drift,0,2,7.104e-06
drift,0,3,7.679e-06
drift,0,4,6.336e-06
drift,0,5,6.815e-06
drift,0,6,7.776e-06
drift,0,7,5.76e-06
drift,0,8,7.84e-06
drift,0,9,9.087e-06
particleBC,0,0,1.3856e-05
particleBC,0,1,1.3344e-05
particleBC,0,2,1.296e-05
particleBC,0,3,1.4912e-05
particleBC,0,4,1.3632e-05
particleBC,0,5,1.5296e-05
particleBC,0,6,1.1456e-05
particleBC,0,7,1.2768e-05
particleBC,0,8,1.3183e-05
particleBC,0,9,1.1168e-05
updateParticle,0,0,0.065718673
updateParticle,0,1,0.064504822
updateParticle,0,2,0.119655203
updateParticle,0,3,0.139663533
updateParticle,0,4,0.065125603
updateParticle,0,5,0.137363985
updateParticle,0,6,0.065277694
updateParticle,0,7,0.015403219
updateParticle,0,8,0.084111468
updateParticle,0,9,0.064947081
locateParticles,0,0,0.004279136
locateParticles,0,1,0.004293375
locateParticles,0,2,0.004281503
locateParticles,0,3,0.004259297
locateParticles,0,4,0.00426736
locateParticles,0,5,0.004278304
locateParticles,0,6,0.004288479
locateParticles,0,7,0.004268736
locateParticles,0,8,0.00428112
locateParticles,0,9,0.004250113
sendPreprocess,0,0,0.000458066
sendPreprocess,0,1,0.000425204
sendPreprocess,0,2,0.000863399
sendPreprocess,0,3,0.000454451
sendPreprocess,0,4,0.000461586
sendPreprocess,0,5,0.000433971
sendPreprocess,0,6,0.000438195
sendPreprocess,0,7,0.004458042
sendPreprocess,0,8,0.000433843
sendPreprocess,0,9,0.000457394
particleSend,0,0,0.001549458
particleSend,0,1,0.001477587
particleSend,0,2,0.001575824
particleSend,0,3,0.001425077
particleSend,0,4,0.00138975
particleSend,0,5,0.001356119
particleSend,0,6,0.001359447
particleSend,0,7,0.001502036
particleSend,0,8,0.001324921
particleSend,0,9,0.001477204
particleRecv,0,0,4.6398e-05
particleRecv,0,1,4.3967e-05
particleRecv,0,2,9.251e-05
particleRecv,0,3,4.4319e-05
particleRecv,0,4,4.5823e-05
particleRecv,0,5,4.0927e-05
particleRecv,0,6,5.0591e-05
particleRecv,0,7,4.1183e-05
particleRecv,0,8,4.9023e-05
particleRecv,0,9,3.8303e-05
particleDestroy,0,0,0.003734672
particleDestroy,0,1,0.003747856
particleDestroy,0,2,0.003763535
particleDestroy,0,3,0.003758127
particleDestroy,0,4,0.003754832
particleDestroy,0,5,0.003753744
particleDestroy,0,6,0.003754607
particleDestroy,0,7,0.003726513
particleDestroy,0,8,0.003750288
particleDestroy,0,9,0.003741968
ScatterPIFNUFFT,0,0,0.413833248
ScatterPIFNUFFT,0,1,2.2655e-05
ScatterPIFNUFFT,0,2,0.364089874
ScatterPIFNUFFT,0,3,1.3408e-05
ScatterPIFNUFFT,0,4,0.310602994
ScatterPIFNUFFT,0,5,3.2127e-05
ScatterPIFNUFFT,0,6,0.246940195
ScatterPIFNUFFT,0,7,1.5839e-05
ScatterPIFNUFFT,0,8,0.362019439
ScatterPIFNUFFT,0,9,1.4208e-05
ScatterPIFNUFFT,0,10,0.226661122
ScatterPIFNUFFT,0,11,7.104e-06
ScatterPIFNUFFT,0,12,0.350915804
ScatterPIFNUFFT,0,13,2.7391e-05
ScatterPIFNUFFT,0,14,0.352654024
ScatterPIFNUFFT,0,15,1.8975e-05
ScatterPIFNUFFT,0,16,0.28566486
ScatterPIFNUFFT,0,17,1.2927e-05
ScatterPIFNUFFT,0,18,0.307452335
ScatterPIFNUFFT,0,19,2.672e-05
NativeNUFFT1,0,0,0.410518627
NativeNUFFT1,0,1,0.360682615
NativeNUFFT1,0,2,0.307380402
NativeNUFFT1,0,3,0.244502731
NativeNUFFT1,0,4,0.359654997
NativeNUFFT1,0,5,0.22225447
NativeNUFFT1,0,6,0.347482274
NativeNUFFT1,0,7,0.34826993
NativeNUFFT1,0,8,0.281271808
NativeNUFFT1,0,9,0.303016339
scatterTimerNUFFT1,0,0,0.241063377
scatterTimerNUFFT1,0,1,0.198459918
scatterTimerNUFFT1,0,2,0.153584236
scatterTimerNUFFT1,0,3,0.062362102
scatterTimerNUFFT1,0,4,0.145860276
scatterTimerNUFFT1,0,5,0.058321647
scatterTimerNUFFT1,0,6,0.135515945
scatterTimerNUFFT1,0,7,0.190164901
scatterTimerNUFFT1,0,8,0.108980515
scatterTimerNUFFT1,0,9,0.131671484
binSort,0,0,0.004636469
binSort,0,1,0.004683988
binSort,0,2,0.004579351
binSort,0,3,0.004569176
binSort,0,4,0.004672212
binSort,0,5,0.004592086
binSort,0,6,0.004696595
binSort,0,7,0.004626645
binSort,0,8,0.004654389
binSort,0,9,0.004609335
binSort,0,10,0.004654421
binSort,0,11,0.004655028
binSort,0,12,0.004633493
binSort,0,13,0.004683572
binSort,0,14,0.004695284
binSort,0,15,0.004686643
binSort,0,16,0.004650709
binSort,0,17,0.004555256
binSort,0,18,0.004579799
binSort,0,19,0.004592854
binSort,0,20,0.004605046
binSort,0,21,0.00465986
binSort,0,22,0.004602967
binSort,0,23,0.004649845
binSort,0,24,0.00467314
binSort,0,25,0.004610902
binSort,0,26,0.004646421
binSort,0,27,0.004595254
binSort,0,28,0.004686068
binSort,0,29,0.004742066
binSort,0,30,0.004779473
binSort,0,31,0.004709523
binSort,0,32,0.004815152
binSort,0,33,0.004733747
binSort,0,34,0.004772786
binSort,0,35,0.004721586
binSort,0,36,0.004606007
binSort,0,37,0.004727666
binSort,0,38,0.004641685
binSort,0,39,0.00460639
binComputeKeys,0,0,0.000436499
binComputeKeys,0,1,0.000459314
binComputeKeys,0,2,0.000429459
binComputeKeys,0,3,0.000430291
binComputeKeys,0,4,0.000430803
binComputeKeys,0,5,0.000433107
binComputeKeys,0,6,0.000436851
binComputeKeys,0,7,0.000428915
binComputeKeys,0,8,0.000429747
binComputeKeys,0,9,0.000432628
binComputeKeys,0,10,0.000435571
binComputeKeys,0,11,0.000439955
binComputeKeys,0,12,0.000431635
binComputeKeys,0,13,0.000455506
binComputeKeys,0,14,0.000434707
binComputeKeys,0,15,0.000432595
binComputeKeys,0,16,0.000431091
binComputeKeys,0,17,0.000427699
binComputeKeys,0,18,0.000432115
binComputeKeys,0,19,0.000432115
binComputeKeys,0,20,0.00044757
binComputeKeys,0,21,0.000429267
binComputeKeys,0,22,0.000446707
binComputeKeys,0,23,0.000431347
binComputeKeys,0,24,0.000432403
binComputeKeys,0,25,0.000432115
binComputeKeys,0,26,0.000440179
binComputeKeys,0,27,0.000431411
binComputeKeys,0,28,0.000443571
binComputeKeys,0,29,0.000434259
binComputeKeys,0,30,0.000443954
binComputeKeys,0,31,0.000438099
binComputeKeys,0,32,0.000453203
binComputeKeys,0,33,0.000434035
binComputeKeys,0,34,0.000445779
binComputeKeys,0,35,0.000432403
binComputeKeys,0,36,0.000448435
binComputeKeys,0,37,0.000438706
binComputeKeys,0,38,0.000432467
binComputeKeys,0,39,0.00044677
binSortByKey,0,0,0.003974857
binSortByKey,0,1,0.004005512
binSortByKey,0,2,0.003940906
binSortByKey,0,3,0.003927403
binSortByKey,0,4,0.004015688
binSortByKey,0,5,0.00394609
binSortByKey,0,6,0.004018632
binSortByKey,0,7,0.003963337
binSortByKey,0,8,0.003996552
binSortByKey,0,9,0.00396193
binSortByKey,0,10,0.003991464
binSortByKey,0,11,0.003989
binSortByKey,0,12,0.003973769
binSortByKey,0,13,0.004012232
binSortByKey,0,14,0.00402436
binSortByKey,0,15,0.004024007
binSortByKey,0,16,0.003977737
binSortByKey,0,17,0.003919659
binSortByKey,0,18,0.003932555
binSortByKey,0,19,0.003942442
binSortByKey,0,20,0.00394609
binSortByKey,0,21,0.003993576
binSortByKey,0,22,0.003944746
binSortByKey,0,23,0.003991817
binSortByKey,0,24,0.004010952
binSortByKey,0,25,0.003964522
binSortByKey,0,26,0.003994056
binSortByKey,0,27,0.00394737
binSortByKey,0,28,0.004031591
binSortByKey,0,29,0.004085605
binSortByKey,0,30,0.004110853
binSortByKey,0,31,0.004060166
binSortByKey,0,32,0.0041265
binSortByKey,0,33,0.004081318
binSortByKey,0,34,0.004099429
binSortByKey,0,35,0.004075398
binSortByKey,0,36,0.00394673
binSortByKey,0,37,0.004058055
binSortByKey,0,38,0.003980425
binSortByKey,0,39,0.003949546
binComputeOffsets,0,0,0.000222137
binComputeOffsets,0,1,0.000214106
binComputeOffsets,0,2,0.000207034
binComputeOffsets,0,3,0.000207898
binComputeOffsets,0,4,0.000221209
binComputeOffsets,0,5,0.000210745
binComputeOffsets,0,6,0.000235833
binComputeOffsets,0,7,0.000231865
binComputeOffsets,0,8,0.000224346
binComputeOffsets,0,9,0.00021097
binComputeOffsets,0,10,0.000225978
binComputeOffsets,0,11,0.000221753
binComputeOffsets,0,12,0.000223673
binComputeOffsets,0,13,0.000211962
binComputeOffsets,0,14,0.000231737
binComputeOffsets,0,15,0.000226777
binComputeOffsets,0,16,0.000235513
binComputeOffsets,0,17,0.000204858
binComputeOffsets,0,18,0.000212569
binComputeOffsets,0,19,0.000215833
binComputeOffsets,0,20,0.000209146
binComputeOffsets,0,21,0.000232857
binComputeOffsets,0,22,0.000208314
binComputeOffsets,0,23,0.000222585
binComputeOffsets,0,24,0.000225146
binComputeOffsets,0,25,0.000210554
binComputeOffsets,0,26,0.000210042
binComputeOffsets,0,27,0.000213881
binComputeOffsets,0,28,0.000208314
binComputeOffsets,0,29,0.000219962
binComputeOffsets,0,30,0.000220378
binComputeOffsets,0,31,0.000208666
binComputeOffsets,0,32,0.000229817
