timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,9.073329979
dumpData,0,0,0.008107113
dumpData,0,1,0.009461403
dumpData,0,2,0.00774799
dumpData,0,3,0.006210219
dumpData,0,4,0.018815962
dumpData,0,5,0.006965073
dumpData,0,6,0.014147642
dumpData,0,7,0.006854261
dumpData,0,8,0.006810358
dumpData,0,9,0.006080495
kick,0,0,4.4894e-05
kick,0,1,1.2095e-05
kick,0,2,4.1342e-05
kick,0,3,1.1168e-05
kick,0,4,4.2654e-05
kick,0,5,1.4848e-05
kick,0,6,5.5742e-05
kick,0,7,1.152e-05
kick,0,8,4.4095e-05
kick,0,9,8.576e-06
kick,0,10,4.7358e-05
kick,0,11,9.471e-06
kick,0,12,4.7166e-05
kick,0,13,9.952e-06
kick,0,14,4.9822e-05
kick,0,15,8.704e-06
kick,0,16,4.3935e-05
kick,0,17,1.0464e-05
kick,0,18,4.8286e-05
kick,0,19,1.7823e-05
drift,0,0,6.144e-06
drift,0,1,7.936e-06
drift,0,2,6.336e-06
drift,0,3,5.792e-06
drift,0,4,6.559e-06
drift,0,5,6.24e-06
drift,0,6,7.808e-06
drift,0,7,8e-06
drift,0,8,1.072e-05
drift,0,9,8e-06
particleBC,0,0,9.408e-06
particleBC,0,1,9.216e-06
particleBC,0,2,1.1136e-05
particleBC,0,3,9.504e-06
particleBC,0,4,1.3152e-05
particleBC,0,5,8.863e-06
particleBC,0,6,9.631e-06
particleBC,0,7,9.375e-06
particleBC,0,8,8.512e-06
particleBC,0,9,8.48e-06
updateParticle,0,0,0.126207535
updateParticle,0,1,0.07432583
updateParticle,0,2,0.032534849
updateParticle,0,3,0.068402481
updateParticle,0,4,0.050661267
updateParticle,0,5,0.085232175
updateParticle,0,6,0.069014173
updateParticle,0,7,0.07317483
updateParticle,0,8,0.034406402
updateParticle,0,9,0.068575883
locateParticles,0,0,0.00460493
locateParticles,0,1,0.004547332
locateParticles,0,2,0.004604514
locateParticles,0,3,0.004549283
locateParticles,0,4,0.004587522
locateParticles,0,5,0.004560515
locateParticles,0,6,0.004585347
locateParticles,0,7,0.004591971
locateParticles,0,8,0.004570275
locateParticles,0,9,0.004519332
sendPreprocess,0,0,0.000657898
sendPreprocess,0,1,0.005027539
sendPreprocess,0,2,0.000645354
sendPreprocess,0,3,0.000675145
sendPreprocess,0,4,0.000680393
sendPreprocess,0,5,0.000658089
sendPreprocess,0,6,0.000688936
sendPreprocess,0,7,0.002369422
sendPreprocess,0,8,0.003314318
sendPreprocess,0,9,0.000735687
particleSend,0,0,0.001998907
particleSend,0,1,0.002007547
particleSend,0,2,0.002002556
particleSend,0,3,0.002025722
particleSend,0,4,0.002251347
particleSend,0,5,0.002012795
particleSend,0,6,0.001984956
particleSend,0,7,0.002000956
particleSend,0,8,0.002080793
particleSend,0,9,0.002009787
particleRecv,0,0,0.000135676
particleRecv,0,1,0.000148347
particleRecv,0,2,0.00014022
particleRecv,0,3,0.000125948
particleRecv,0,4,0.000114268
particleRecv,0,5,0.000114748
particleRecv,0,6,0.000926304
particleRecv,0,7,0.000122716
particleRecv,0,8,0.000118524
particleRecv,0,9,0.000118332
particleDestroy,0,0,0.004554659
particleDestroy,0,1,0.004565347
particleDestroy,0,2,0.004548356
particleDestroy,0,3,0.00453786
particleDestroy,0,4,0.004552323
particleDestroy,0,5,0.004565091
particleDestroy,0,6,0.004562147
particleDestroy,0,7,0.004565987
particleDestroy,0,8,0.004549508
particleDestroy,0,9,0.004567939
ScatterPIFNUFFT,0,0,0.303056978
ScatterPIFNUFFT,0,1,3.6319e-05
ScatterPIFNUFFT,0,2,0.331123854
ScatterPIFNUFFT,0,3,3.1775e-05
ScatterPIFNUFFT,0,4,0.311675627
ScatterPIFNUFFT,0,5,2.9695e-05
ScatterPIFNUFFT,0,6,0.265559962
ScatterPIFNUFFT,0,7,2.8415e-05
ScatterPIFNUFFT,0,8,0.277224585
ScatterPIFNUFFT,0,9,4.4574e-05
ScatterPIFNUFFT,0,10,0.233958649
ScatterPIFNUFFT,0,11,3.9711e-05
ScatterPIFNUFFT,0,12,0.261797052
ScatterPIFNUFFT,0,13,2.3392e-05
ScatterPIFNUFFT,0,14,0.248336331
ScatterPIFNUFFT,0,15,3.6671e-05
ScatterPIFNUFFT,0,16,0.301492041
ScatterPIFNUFFT,0,17,2.0511e-05
ScatterPIFNUFFT,0,18,0.267748624
ScatterPIFNUFFT,0,19,2.5855e-05
NativeNUFFT1,0,0,0.302066132
NativeNUFFT1,0,1,0.33007317
NativeNUFFT1,0,2,0.310555729
NativeNUFFT1,0,3,0.264373539
NativeNUFFT1,0,4,0.276158862
NativeNUFFT1,0,5,0.232755426
NativeNUFFT1,0,6,0.260677731
NativeNUFFT1,0,7,0.247106869
NativeNUFFT1,0,8,0.300493834
NativeNUFFT1,0,9,0.266498555
scatterTimerNUFFT1,0,0,0.077599605
scatterTimerNUFFT1,0,1,0.147316826
scatterTimerNUFFT1,0,2,0.111644836
scatterTimerNUFFT1,0,3,0.060356709
scatterTimerNUFFT1,0,4,0.118566293
scatterTimerNUFFT1,0,5,0.063329376
scatterTimerNUFFT1,0,6,0.045148976
scatterTimerNUFFT1,0,7,0.072489254
scatterTimerNUFFT1,0,8,0.097153878
scatterTimerNUFFT1,0,9,0.050698546
binSort,0,0,0.004636449
binSort,0,1,0.004731006
binSort,0,2,0.004730365
binSort,0,3,0.004725022
binSort,0,4,0.004702143
binSort,0,5,0.004732765
binSort,0,6,0.004717918
binSort,0,7,0.004701375
binSort,0,8,0.004645889
binSort,0,9,0.004768828
binSort,0,10,0.004742781
binSort,0,11,0.004706142
binSort,0,12,0.00465008
binSort,0,13,0.004727294
binSort,0,14,0.004728222
binSort,0,15,0.004723422
binSort,0,16,0.004648512
binSort,0,17,0.004730878
binSort,0,18,0.004741853
binSort,0,19,0.004706078
