time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9353179876e+00 5.0008964798e-02
1.2271846300e-02 9.9332882092e+00 5.0003857313e-02
2.4543692600e-02 9.9275139308e+00 4.9989325689e-02
3.6815538900e-02 9.9180001169e+00 4.9965379839e-02
4.9087385200e-02 9.9047552649e+00 4.9932025906e-02
6.1359231500e-02 9.8877862282e+00 4.9889262283e-02
7.3631077800e-02 9.8671096679e+00 4.9837112420e-02
8.5902924100e-02 9.8427437767e+00 4.9775586346e-02
9.8174770400e-02 9.8147097742e+00 4.9704701623e-02
1.1044661670e-01 9.7830283817e+00 4.9624472759e-02
1.2271846300e-01 9.7477263366e+00 4.9534921052e-02
1.3499030930e-01 9.7088359850e+00 4.9436079395e-02
1.4726215560e-01 9.6663890567e+00 4.9327964294e-02
1.5953400190e-01 9.6204182633e+00 4.9210602832e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9333038141e+00 5.0008494095e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9333038141e+00 5.0008494095e-02
1.2271846300e-02 9.9312741577e+00 5.0003386712e-02
2.4543692600e-02 9.9254998255e+00 4.9988855390e-02
3.6815538900e-02 9.9159864963e+00 4.9964910036e-02
4.9087385200e-02 9.9027419663e+00 4.9931556799e-02
6.1359231500e-02 9.8857730248e+00 4.9888794071e-02
7.3631077800e-02 9.8650972870e+00 4.9836645306e-02
8.5902924100e-02 9.8407323117e+00 4.9775120514e-02
9.8174770400e-02 9.8126992319e+00 4.9704237272e-02
1.1044661670e-01 9.7810191582e+00 4.9624010076e-02
1.2271846300e-01 9.7457180997e+00 4.9534460236e-02
1.3499030930e-01 9.7068295250e+00 4.9435620650e-02
1.4726215560e-01 9.6643832084e+00 4.9327507793e-02
1.5953400190e-01 9.6184134361e+00 4.9210148752e-02
