grid,rho,tolerance,type,component,time_ms,fraction
64,5,1.0e-04,1,Spreading,1.7263,0.6928
64,5.0000,1.0e-04,1,FFT,0.7459,0.2994
64,5.0000,1.0e-04,1,Deconvolution,0.0193,0.0078
64,5.0000,1.0e-04,2,Precorrection,0.0251,0.0133
64,5.0000,1.0e-04,2,FFT,0.7798,0.4124
64,5.0000,1.0e-04,2,Interpolation,1.0859,0.5743
96,5.0000,1.0e-04,1,Spreading,6.2590,0.8212
96,5.0000,1.0e-04,1,FFT,1.3356,0.1752
96,5.0000,1.0e-04,1,Deconvolution,0.0269,0.0035
96,5.0000,1.0e-04,2,Precorrection,0.0413,0.0050
96,5.0000,1.0e-04,2,FFT,1.6112,0.1968
96,5.0000,1.0e-04,2,Interpolation,6.5341,0.7981
128,5.0000,1.0e-04,1,Spreading,11.8363,0.8081
128,5.0000,1.0e-04,1,FFT,2.7407,0.1871
128,5.0000,1.0e-04,1,Deconvolution,0.0693,0.0047
128,5.0000,1.0e-04,2,Precorrection,0.0735,0.0066
128,5.0000,1.0e-04,2,FFT,3.0904,0.2755
128,5.0000,1.0e-04,2,Interpolation,8.0536,0.7180
160,5.0000,1.0e-04,1,Spreading,35.3916,0.8674
160,5.0000,1.0e-04,1,FFT,5.2864,0.1296
160,5.0000,1.0e-04,1,Deconvolution,0.1233,0.0030
160,5.0000,1.0e-04,2,Precorrection,0.1273,0.0023
160,5.0000,1.0e-04,2,FFT,7.1554,0.1319
160,5.0000,1.0e-04,2,Interpolation,46.9630,0.8657
