grid,rho,tolerance,method,type,time_ms,throughput_mpts
112,0.1,1.0e-04,Atomic,1,5.6623,24.81
112,0.10,1.0e-04,Tiled,1,9.5671,14.68
112,0.10,1.0e-04,Grid-Parallel,1,4.0545,34.65
112,0.10,1.0e-04,Direct,2,2.9477,47.66
112,0.10,1.0e-04,Sorted,2,3.1666,44.37
112,0.50,1.0e-04,Atomic,1,14.1278,49.72
112,0.50,1.0e-04,Tiled,1,12.7744,54.99
112,0.50,1.0e-04,Grid-Parallel,1,5.6312,124.74
112,0.50,1.0e-04,Direct,2,5.1668,135.96
112,0.50,1.0e-04,Sorted,2,4.8616,144.49
112,1.00,1.0e-04,Atomic,1,25.7529,54.55
112,1.00,1.0e-04,Tiled,1,14.9002,94.29
112,1.00,1.0e-04,Grid-Parallel,1,6.3869,219.97
112,1.00,1.0e-04,Direct,2,7.9502,176.72
112,1.00,1.0e-04,Sorted,2,6.3576,220.99
112,2.00,1.0e-04,Atomic,1,48.9722,57.38
112,2.00,1.0e-04,Tiled,1,17.8811,157.14
112,2.00,1.0e-04,Grid-Parallel,1,7.5868,370.36
112,2.00,1.0e-04,Direct,2,13.4883,208.32
112,2.00,1.0e-04,Sorted,2,8.1314,345.56
112,5.00,1.0e-04,Atomic,1,118.6108,59.22
112,5.00,1.0e-04,Tiled,1,21.9692,319.75
112,5.00,1.0e-04,Grid-Parallel,1,11.4428,613.89
112,5.00,1.0e-04,Direct,2,30.0922,233.44
112,5.00,1.0e-04,Sorted,2,9.9282,707.54
112,10.00,1.0e-04,Atomic,1,234.6822,59.87
112,10.00,1.0e-04,Tiled,1,36.0469,389.75
112,10.00,1.0e-04,Grid-Parallel,1,17.8004,789.27
112,10.00,1.0e-04,Direct,2,57.7693,243.20
112,10.00,1.0e-04,Sorted,2,12.1920,1152.34
112,20.00,1.0e-04,Atomic,1,467.2436,60.14
112,20.00,1.0e-04,Tiled,1,57.1943,491.28
112,20.00,1.0e-04,Grid-Parallel,1,30.4659,922.30
112,20.00,1.0e-04,Direct,2,113.1274,248.38
112,20.00,1.0e-04,Sorted,2,20.4590,1373.41
112,50.00,1.0e-04,Atomic,1,1163.1325,60.39
112,50.00,1.0e-04,Tiled,1,126.3861,555.81
112,50.00,1.0e-04,Grid-Parallel,1,68.7226,1022.17
112,50.00,1.0e-04,Direct,2,279.2592,251.55
112,50.00,1.0e-04,Sorted,2,46.0656,1524.92
