grid,rho,tolerance,method,type,time_ms,throughput_mpts
144,10,1.0e-02,Atomic,1,125.7184,237.51
144,10.00,1.0e-02,Tiled,1,42.5749,701.35
144,10.00,1.0e-02,Grid-Parallel,1,35.5657,839.57
144,10.00,1.0e-02,Direct,2,38.0720,784.30
144,10.00,1.0e-02,Sorted,2,32.5436,917.53
144,10.00,1.0e-03,Atomic,1,266.0273,112.24
144,10.00,1.0e-03,Tiled,1,61.4355,486.04
144,10.00,1.0e-03,Grid-Parallel,1,36.1736,825.46
144,10.00,1.0e-03,Direct,2,73.7086,405.11
144,10.00,1.0e-03,Sorted,2,42.6088,700.79
144,10.00,1.0e-04,Atomic,1,497.1058,60.07
144,10.00,1.0e-04,Tiled,1,133.6727,223.38
144,10.00,1.0e-04,Grid-Parallel,1,47.7096,625.87
144,10.00,1.0e-04,Direct,2,132.6097,225.17
144,10.00,1.0e-04,Sorted,2,62.0898,480.91
144,10.00,1.0e-05,Atomic,1,828.7633,36.03
144,10.00,1.0e-05,Tiled,1,357.4998,83.52
144,10.00,1.0e-05,Grid-Parallel,1,60.4334,494.09
144,10.00,1.0e-05,Direct,2,213.5630,139.82
144,10.00,1.0e-05,Sorted,2,91.9176,324.85
144,10.00,1.0e-06,Atomic,1,1289.8312,23.15
144,10.00,1.0e-06,Tiled,1,599.0270,49.85
144,10.00,1.0e-06,Grid-Parallel,1,93.0093,321.04
144,10.00,1.0e-06,Direct,2,322.7880,92.51
144,10.00,1.0e-06,Sorted,2,137.3286,217.43
144,10.00,1.0e-07,Atomic,1,1878.3496,15.90
144,10.00,1.0e-07,Tiled,1,1235.2531,24.17
144,10.00,1.0e-07,Grid-Parallel,1,109.1684,273.52
144,10.00,1.0e-07,Direct,2,449.9160,66.37
144,10.00,1.0e-07,Sorted,2,184.8876,161.50
144,10.00,1.0e-08,Atomic,1,2660.1444,11.22
144,10.00,1.0e-08,Tiled,1,2663.0302,11.21
144,10.00,1.0e-08,Grid-Parallel,1,315.7973,94.55
144,10.00,1.0e-08,Direct,2,670.7304,44.52
144,10.00,1.0e-08,Sorted,2,261.4144,114.22
