time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9284029534e+00 4.9997446976e-02
1.2271846300e-02 9.9265779806e+00 4.9992854671e-02
2.4543692600e-02 9.9210102780e+00 4.9978843885e-02
3.6815538900e-02 9.9117033513e+00 4.9955417045e-02
4.9087385200e-02 9.8986656718e+00 4.9922581227e-02
6.1359231500e-02 9.8819074721e+00 4.9880344416e-02
7.3631077800e-02 9.8614418615e+00 4.9828714773e-02
8.5902924100e-02 9.8372887434e+00 4.9767712140e-02
9.8174770400e-02 9.8094661473e+00 4.9697350321e-02
1.1044661670e-01 9.7779972964e+00 4.9617646526e-02
1.2271846300e-01 9.7429082298e+00 4.9528621157e-02
1.3499030930e-01 9.7042294035e+00 4.9430301500e-02
1.4726215560e-01 9.6619911233e+00 4.9322709123e-02
1.5953400190e-01 9.6162285111e+00 4.9205872903e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9275766206e+00 4.9996976382e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9275766206e+00 4.9996976382e-02
1.2271846300e-02 9.9257518681e+00 4.9992384173e-02
2.4543692600e-02 9.9201843170e+00 4.9978373677e-02
3.6815538900e-02 9.9108777248e+00 4.9954947322e-02
4.9087385200e-02 9.8978403507e+00 4.9922112185e-02
6.1359231500e-02 9.8810827880e+00 4.9879876251e-02
7.3631077800e-02 9.8606178379e+00 4.9828247677e-02
8.5902924100e-02 9.8364651855e+00 4.9767246310e-02
9.8174770400e-02 9.8086435456e+00 4.9696885955e-02
1.1044661670e-01 9.7771757300e+00 4.9617183812e-02
1.2271846300e-01 9.7420876416e+00 4.9528160287e-02
1.3499030930e-01 9.7034099662e+00 4.9429842676e-02
1.4726215560e-01 9.6611729660e+00 4.9322252537e-02
1.5953400190e-01 9.6154117059e+00 4.9205418740e-02
