timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,19.539361806
dumpData,0,0,0.006206406
dumpData,0,1,0.008031659
dumpData,0,2,0.005206988
dumpData,0,3,0.003525476
dumpData,0,4,0.002882951
dumpData,0,5,0.003601037
dumpData,0,6,0.006180835
dumpData,0,7,0.005950944
dumpData,0,8,0.003596556
dumpData,0,9,0.009900782
kick,0,0,0.000502904
kick,0,1,0.000525933
kick,0,2,0.000504934
kick,0,3,0.000525904
kick,0,4,0.000502164
kick,0,5,0.000525474
kick,0,6,0.000502494
kick,0,7,0.000526004
kick,0,8,0.000501544
kick,0,9,0.000525624
kick,0,10,0.000502053
kick,0,11,0.000524564
kick,0,12,0.000501783
kick,0,13,0.000525484
kick,0,14,0.000503323
kick,0,15,0.000524464
kick,0,16,0.000500553
kick,0,17,0.000524624
kick,0,18,0.000501334
kick,0,19,0.000522873
drift,0,0,0.000513614
drift,0,1,0.000512924
drift,0,2,0.000513644
drift,0,3,0.000513104
drift,0,4,0.000512214
drift,0,5,0.000513304
drift,0,6,0.000518364
drift,0,7,0.000512594
drift,0,8,0.000512974
drift,0,9,0.000512994
particleBC,0,0,0.001047148
particleBC,0,1,0.001045467
particleBC,0,2,0.001044057
particleBC,0,3,0.001043657
particleBC,0,4,0.001045197
particleBC,0,5,0.001042108
particleBC,0,6,0.001043808
particleBC,0,7,0.001043288
particleBC,0,8,0.001044018
particleBC,0,9,0.001046577
updateParticle,0,0,0.016997915
updateParticle,0,1,0.01355223
updateParticle,0,2,0.014816059
updateParticle,0,3,0.012844825
updateParticle,0,4,0.015042551
updateParticle,0,5,0.012492771
updateParticle,0,6,0.013676981
updateParticle,0,7,0.011802937
updateParticle,0,8,0.01364675
updateParticle,0,9,0.012884514
locateParticles,0,0,0.000977427
locateParticles,0,1,0.000961138
locateParticles,0,2,0.000961247
locateParticles,0,3,0.000967577
locateParticles,0,4,0.000973417
locateParticles,0,5,0.000948857
locateParticles,0,6,0.000957917
locateParticles,0,7,0.000952727
locateParticles,0,8,0.000953417
locateParticles,0,9,0.000955526
sendPreprocess,0,0,0.00131402
sendPreprocess,0,1,0.001109128
sendPreprocess,0,2,0.00136656
sendPreprocess,0,3,0.000955607
sendPreprocess,0,4,0.001502441
sendPreprocess,0,5,0.001088738
sendPreprocess,0,6,0.001138768
sendPreprocess,0,7,0.001190259
sendPreprocess,0,8,0.000853166
sendPreprocess,0,9,0.000859726
particleSend,0,0,0.004231101
particleSend,0,1,0.004615004
particleSend,0,2,0.001650643
particleSend,0,3,0.001854994
particleSend,0,4,0.002319677
particleSend,0,5,0.001805063
particleSend,0,6,0.003929618
particleSend,0,7,0.004315311
particleSend,0,8,0.001635452
particleSend,0,9,0.002213556
particleRecv,0,0,0.000601294
particleRecv,0,1,0.000208701
particleRecv,0,2,0.000209451
particleRecv,0,3,0.000592534
particleRecv,0,4,0.000194311
particleRecv,0,5,0.000221792
particleRecv,0,6,0.000196872
particleRecv,0,7,0.000207362
particleRecv,0,8,0.000205502
particleRecv,0,9,0.000206482
particleDestroy,0,0,0.002875001
particleDestroy,0,1,0.002878221
particleDestroy,0,2,0.002872531
particleDestroy,0,3,0.002875082
particleDestroy,0,4,0.002881771
particleDestroy,0,5,0.002881351
particleDestroy,0,6,0.002880471
particleDestroy,0,7,0.002879721
particleDestroy,0,8,0.002878861
particleDestroy,0,9,0.002877661
ScatterPIFNUFFT,0,0,0.488730342
ScatterPIFNUFFT,0,1,5.04e-05
ScatterPIFNUFFT,0,2,0.476785515
ScatterPIFNUFFT,0,3,5.124e-05
ScatterPIFNUFFT,0,4,0.483222983
ScatterPIFNUFFT,0,5,5.023e-05
ScatterPIFNUFFT,0,6,0.477563761
