time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9398397079e+00 5.0016695175e-02
1.2271846300e-02 9.9378582813e+00 5.0011709939e-02
2.4543692600e-02 9.9321332001e+00 4.9997302522e-02
3.6815538900e-02 9.9226665941e+00 4.9973477668e-02
4.9087385200e-02 9.9094691186e+00 4.9940247294e-02
6.1359231500e-02 9.8925476769e+00 4.9897609778e-02
7.3631077800e-02 9.8719173260e+00 4.9845582973e-02
8.5902924100e-02 9.8475960146e+00 4.9784176477e-02
9.8174770400e-02 9.8196081461e+00 4.9713417935e-02
1.1044661670e-01 9.7879707699e+00 4.9633312440e-02
1.2271846300e-01 9.7527123138e+00 4.9543884240e-02
1.3499030930e-01 9.7138651152e+00 4.9445165938e-02
1.4726215560e-01 9.6714606743e+00 4.9337176284e-02
1.5953400190e-01 9.6255315962e+00 4.9219937124e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9365330811e+00 5.0014812092e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9365330811e+00 5.0014812092e-02
1.2271846300e-02 9.9345532161e+00 5.0009827257e-02
2.4543692600e-02 9.9288286579e+00 4.9995421021e-02
3.6815538900e-02 9.9193636625e+00 4.9971598126e-02
4.9087385200e-02 9.9061680105e+00 4.9938370494e-02
6.1359231500e-02 9.8892481668e+00 4.9895736503e-02
7.3631077800e-02 9.8686208784e+00 4.9843713992e-02
8.5902924100e-02 9.8443025345e+00 4.9782312586e-02
9.8174770400e-02 9.8163179916e+00 4.9711559883e-02
1.1044661670e-01 9.7846850115e+00 4.9631461003e-02
1.2271846300e-01 9.7494308712e+00 4.9542040208e-02
1.3499030930e-01 9.7105885984e+00 4.9443330078e-02
1.4726215560e-01 9.6681888600e+00 4.9335349357e-02
1.5953400190e-01 9.6222645100e+00 4.9218119860e-02
