timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,10.916196139
dumpData,0,0,0.002768988
dumpData,0,1,0.003522999
dumpData,0,2,0.00215769
dumpData,0,3,0.00357633
dumpData,0,4,0.002137249
dumpData,0,5,0.002598376
dumpData,0,6,0.00213446
dumpData,0,7,0.001969248
dumpData,0,8,0.002475955
dumpData,0,9,0.002588636
kick,0,0,0.000490767
kick,0,1,0.000509997
kick,0,2,0.000488067
kick,0,3,0.000512687
kick,0,4,0.000488157
kick,0,5,0.000518397
kick,0,6,0.000490996
kick,0,7,0.000510437
kick,0,8,0.000488127
kick,0,9,0.000511947
kick,0,10,0.000488257
kick,0,11,0.000516377
kick,0,12,0.000487546
kick,0,13,0.000513257
kick,0,14,0.000486437
kick,0,15,0.000511537
kick,0,16,0.000486457
kick,0,17,0.000515217
kick,0,18,0.000487037
kick,0,19,0.000509667
drift,0,0,0.000499627
drift,0,1,0.000499336
drift,0,2,0.000499797
drift,0,3,0.000502147
drift,0,4,0.000498807
drift,0,5,0.000499187
drift,0,6,0.000501057
drift,0,7,0.000499567
drift,0,8,0.000499147
drift,0,9,0.000502357
particleBC,0,0,0.001017884
particleBC,0,1,0.001015804
particleBC,0,2,0.001019334
particleBC,0,3,0.001019355
particleBC,0,4,0.001015504
particleBC,0,5,0.001017584
particleBC,0,6,0.001015144
particleBC,0,7,0.001014914
particleBC,0,8,0.001012924
particleBC,0,9,0.001016824
updateParticle,0,0,0.007798908
updateParticle,0,1,0.007189259
updateParticle,0,2,0.007025218
updateParticle,0,3,0.006446869
updateParticle,0,4,0.006633682
updateParticle,0,5,0.007300912
updateParticle,0,6,0.006923387
updateParticle,0,7,0.00649488
updateParticle,0,8,0.007025357
updateParticle,0,9,0.007050758
locateParticles,0,0,0.00073527
locateParticles,0,1,0.00072071
locateParticles,0,2,0.00074192
locateParticles,0,3,0.00074875
locateParticles,0,4,0.00073154
locateParticles,0,5,0.000729911
locateParticles,0,6,0.00072989
locateParticles,0,7,0.00072288
locateParticles,0,8,0.00073097
locateParticles,0,9,0.00075456
sendPreprocess,0,0,0.001096336
sendPreprocess,0,1,0.000351405
sendPreprocess,0,2,0.000527737
sendPreprocess,0,3,0.000372105
sendPreprocess,0,4,0.000525838
sendPreprocess,0,5,0.00071912
sendPreprocess,0,6,0.000344094
sendPreprocess,0,7,0.000362905
sendPreprocess,0,8,0.000376115
sendPreprocess,0,9,0.000328864
particleSend,0,0,0.001218347
particleSend,0,1,0.001166426
particleSend,0,2,0.001214267
particleSend,0,3,0.001156886
particleSend,0,4,0.001205926
particleSend,0,5,0.001266677
particleSend,0,6,0.001160686
particleSend,0,7,0.001172036
particleSend,0,8,0.001160287
particleSend,0,9,0.001228157
particleRecv,0,0,3.642e-05
particleRecv,0,1,3.509e-05
particleRecv,0,2,5.2361e-05
particleRecv,0,3,4.1021e-05
particleRecv,0,4,3.9751e-05
particleRecv,0,5,3.7591e-05
particleRecv,0,6,3.823e-05
particleRecv,0,7,4.1241e-05
particleRecv,0,8,4.244e-05
particleRecv,0,9,5.0041e-05
particleDestroy,0,0,0.002239331
particleDestroy,0,1,0.002241492
particleDestroy,0,2,0.002246861
particleDestroy,0,3,0.002259201
particleDestroy,0,4,0.002241171
particleDestroy,0,5,0.002246181
particleDestroy,0,6,0.002237911
particleDestroy,0,7,0.002255351
particleDestroy,0,8,0.002250411
particleDestroy,0,9,0.002269121
ScatterPIFNUFFT,0,0,0.274216037
ScatterPIFNUFFT,0,1,5.3221e-05
ScatterPIFNUFFT,0,2,0.277671865
ScatterPIFNUFFT,0,3,5.1651e-05
ScatterPIFNUFFT,0,4,0.269457811
ScatterPIFNUFFT,0,5,5.646e-05
ScatterPIFNUFFT,0,6,0.262680897
ScatterPIFNUFFT,0,7,5.154e-05
ScatterPIFNUFFT,0,8,0.280284641
ScatterPIFNUFFT,0,9,5.6021e-05
ScatterPIFNUFFT,0,10,0.265661439
ScatterPIFNUFFT,0,11,5.27e-05
ScatterPIFNUFFT,0,12,0.270932352
ScatterPIFNUFFT,0,13,5.0561e-05
ScatterPIFNUFFT,0,14,0.268611649
ScatterPIFNUFFT,0,15,5.2971e-05
ScatterPIFNUFFT,0,16,0.269893477
ScatterPIFNUFFT,0,17,5.1141e-05
ScatterPIFNUFFT,0,18,0.2671727
ScatterPIFNUFFT,0,19,5.54e-05
NativeNUFFT1,0,0,0.273073511
NativeNUFFT1,0,1,0.27658979
NativeNUFFT1,0,2,0.268367185
NativeNUFFT1,0,3,0.261307658
NativeNUFFT1,0,4,0.2787948
NativeNUFFT1,0,5,0.264584384
NativeNUFFT1,0,6,0.269641034
NativeNUFFT1,0,7,0.267530154
NativeNUFFT1,0,8,0.268884443
NativeNUFFT1,0,9,0.265803831
scatterTimerNUFFT1,0,0,0.014116266
scatterTimerNUFFT1,0,1,0.023574288
scatterTimerNUFFT1,0,2,0.014309358
scatterTimerNUFFT1,0,3,0.014326769
scatterTimerNUFFT1,0,4,0.020134929
scatterTimerNUFFT1,0,5,0.014056926
scatterTimerNUFFT1,0,6,0.013969574
scatterTimerNUFFT1,0,7,0.013970404
scatterTimerNUFFT1,0,8,0.014348419
scatterTimerNUFFT1,0,9,0.013891302
binSort,0,0,0.002782558
binSort,0,1,0.002814529
binSort,0,2,0.002818149
binSort,0,3,0.002814559
binSort,0,4,0.002785099
binSort,0,5,0.002806689
binSort,0,6,0.002815069
binSort,0,7,0.0028124
binSort,0,8,0.002783939
binSort,0,9,0.00286119
binSort,0,10,0.002805919
binSort,0,11,0.002818439
binSort,0,12,0.002774298
binSort,0,13,0.002809239
binSort,0,14,0.002820829
binSort,0,15,0.002824329
binSort,0,16,0.002778339
binSort,0,17,0.002812109
binSort,0,18,0.002828889
binSort,0,19,0.002809869
binSort,0,20,0.002772669
binSort,0,21,0.002828349
binSort,0,22,0.002817769
binSort,0,23,0.002817639
binSort,0,24,0.002775428
binSort,0,25,0.002800539
binSort,0,26,0.002806759
binSort,0,27,0.002807249
binSort,0,28,0.002779258
binSort,0,29,0.002806289
binSort,0,30,0.002807679
binSort,0,31,0.002813029
binSort,0,32,0.002775599
binSort,0,33,0.00284773
binSort,0,34,0.002814879
binSort,0,35,0.002806509
binSort,0,36,0.002769088
binSort,0,37,0.002808449
binSort,0,38,0.002806469
binSort,0,39,0.002814079
binComputeKeys,0,0,0.000288544
binComputeKeys,0,1,0.000289444
binComputeKeys,0,2,0.000291504
binComputeKeys,0,3,0.000291474
binComputeKeys,0,4,0.000288174
binComputeKeys,0,5,0.000290084
binComputeKeys,0,6,0.000289404
binComputeKeys,0,7,0.000288574
binComputeKeys,0,8,0.000287954
binComputeKeys,0,9,0.000301014
binComputeKeys,0,10,0.000289044
binComputeKeys,0,11,0.000289124
binComputeKeys,0,12,0.000287394
binComputeKeys,0,13,0.000287724
binComputeKeys,0,14,0.000289494
binComputeKeys,0,15,0.000291294
binComputeKeys,0,16,0.000287844
binComputeKeys,0,17,0.000289064
binComputeKeys,0,18,0.000290464
binComputeKeys,0,19,0.000288834
binComputeKeys,0,20,0.000287144
binComputeKeys,0,21,0.000289494
binComputeKeys,0,22,0.000290774
binComputeKeys,0,23,0.000291164
binComputeKeys,0,24,0.000287094
binComputeKeys,0,25,0.000289264
binComputeKeys,0,26,0.000289024
binComputeKeys,0,27,0.000290564
binComputeKeys,0,28,0.000287304
binComputeKeys,0,29,0.000289534
binComputeKeys,0,30,0.000289794
binComputeKeys,0,31,0.000289474
binComputeKeys,0,32,0.000287444
binComputeKeys,0,33,0.000294595
binComputeKeys,0,34,0.000289034
binComputeKeys,0,35,0.000287304
binComputeKeys,0,36,0.000288674
binComputeKeys,0,37,0.000288404
binComputeKeys,0,38,0.000290174
binComputeKeys,0,39,0.000290564
binSortByKey,0,0,0.002376333
binSortByKey,0,1,0.002405014
binSortByKey,0,2,0.002406073
binSortByKey,0,3,0.002403843
binSortByKey,0,4,0.002373323
binSortByKey,0,5,0.002396324
binSortByKey,0,6,0.002401564
binSortByKey,0,7,0.002403464
binSortByKey,0,8,0.002378553
binSortByKey,0,9,0.002427694
binSortByKey,0,10,0.002396943
binSortByKey,0,11,0.002409654
binSortByKey,0,12,0.002369743
binSortByKey,0,13,0.002402313
binSortByKey,0,14,0.002411513
binSortByKey,0,15,0.002412393
binSortByKey,0,16,0.002372293
binSortByKey,0,17,0.002402754
binSortByKey,0,18,0.002418704
binSortByKey,0,19,0.002400643
binSortByKey,0,20,0.002368663
binSortByKey,0,21,0.002417704
binSortByKey,0,22,0.002406434
binSortByKey,0,23,0.002406834
binSortByKey,0,24,0.002371743
binSortByKey,0,25,0.002392023
binSortByKey,0,26,0.002396474
binSortByKey,0,27,0.002397153
binSortByKey,0,28,0.002374923
binSortByKey,0,29,0.002396373
binSortByKey,0,30,0.002397583
binSortByKey,0,31,0.002403703
binSortByKey,0,32,0.002369813
binSortByKey,0,33,0.002419673
binSortByKey,0,34,0.002402373
binSortByKey,0,35,0.002397904
binSortByKey,0,36,0.002362563
binSortByKey,0,37,0.002399624
binSortByKey,0,38,0.002395553
binSortByKey,0,39,0.002402923
binComputeOffsets,0,0,0.000107641
binComputeOffsets,0,1,0.000110311
binComputeOffsets,0,2,0.000110162
binComputeOffsets,0,3,0.000109392
binComputeOffsets,0,4,0.000113792
binComputeOffsets,0,5,0.000109951
binComputeOffsets,0,6,0.000111701
binComputeOffsets,0,7,0.000110691
binComputeOffsets,0,8,0.000107762
binComputeOffsets,0,9,0.000119012
binComputeOffsets,0,10,0.000110272
binComputeOffsets,0,11,0.000110101
binComputeOffsets,0,12,0.000107421
binComputeOffsets,0,13,0.000109772
binComputeOffsets,0,14,0.000109682
binComputeOffsets,0,15,0.000110232
binComputeOffsets,0,16,0.000107692
binComputeOffsets,0,17,0.000110401
binComputeOffsets,0,18,0.000109981
binComputeOffsets,0,19,0.000110071
binComputeOffsets,0,20,0.000107182
binComputeOffsets,0,21,0.000110861
binComputeOffsets,0,22,0.000110211
binComputeOffsets,0,23,0.000109681
binComputeOffsets,0,24,0.000106911
binComputeOffsets,0,25,0.000109622
binComputeOffsets,0,26,0.000110391
binComputeOffsets,0,27,0.000109852
binComputeOffsets,0,28,0.000106991
binComputeOffsets,0,29,0.000109862
binComputeOffsets,0,30,0.000109902
binComputeOffsets,0,31,0.000110162
