timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,21.141997419
dumpData,0,0,0.009139252
dumpData,0,1,0.008800003
dumpData,0,2,0.008608864
dumpData,0,3,0.009191952
dumpData,0,4,0.008676073
dumpData,0,5,0.009103163
dumpData,0,6,0.009161622
dumpData,0,7,0.009201332
dumpData,0,8,0.009163892
dumpData,0,9,0.009112873
kick,0,0,0.001935634
kick,0,1,0.001940984
kick,0,2,0.001932275
kick,0,3,0.001942135
kick,0,4,0.001935974
kick,0,5,0.001943304
kick,0,6,0.001933934
kick,0,7,0.001945584
kick,0,8,0.001932354
kick,0,9,0.001943535
kick,0,10,0.001932194
kick,0,11,0.001944404
kick,0,12,0.001933714
kick,0,13,0.001941184
kick,0,14,0.001932974
kick,0,15,0.001943894
kick,0,16,0.001931854
kick,0,17,0.001941314
kick,0,18,0.001932494
kick,0,19,0.001941744
drift,0,0,0.001907114
drift,0,1,0.001911754
drift,0,2,0.001919544
drift,0,3,0.001922914
drift,0,4,0.001909804
drift,0,5,0.001922544
drift,0,6,0.001911454
drift,0,7,0.001908055
drift,0,8,0.001907344
drift,0,9,0.001909434
particleBC,0,0,0.003836649
particleBC,0,1,0.003839188
particleBC,0,2,0.003842768
particleBC,0,3,0.003835189
particleBC,0,4,0.003839988
particleBC,0,5,0.003839969
particleBC,0,6,0.003834718
particleBC,0,7,0.003828658
particleBC,0,8,0.003832789
particleBC,0,9,0.003838938
updateParticle,0,0,0.014618456
updateParticle,0,1,0.009066682
updateParticle,0,2,0.011747255
updateParticle,0,3,0.012456792
updateParticle,0,4,0.009016983
updateParticle,0,5,0.013216599
updateParticle,0,6,0.011123936
updateParticle,0,7,0.014841325
updateParticle,0,8,0.011697994
updateParticle,0,9,0.009059873
locateParticles,0,0,0.001463476
locateParticles,0,1,0.001468346
locateParticles,0,2,0.001457016
locateParticles,0,3,0.001463345
locateParticles,0,4,0.001469896
locateParticles,0,5,0.001464015
locateParticles,0,6,0.001455736
locateParticles,0,7,0.001461505
locateParticles,0,8,0.001461505
locateParticles,0,9,0.001466906
sendPreprocess,0,0,0.000217689
sendPreprocess,0,1,0.000186439
sendPreprocess,0,2,0.000191949
sendPreprocess,0,3,0.00020217
sendPreprocess,0,4,0.000188809
sendPreprocess,0,5,0.00017182
sendPreprocess,0,6,0.000201609
sendPreprocess,0,7,0.00024327
sendPreprocess,0,8,0.00024165
sendPreprocess,0,9,0.000329979
particleSend,0,0,0.000925328
particleSend,0,1,0.001012387
particleSend,0,2,0.000935437
particleSend,0,3,0.000935128
particleSend,0,4,0.000940167
particleSend,0,5,0.000945917
particleSend,0,6,0.000937847
particleSend,0,7,0.000981837
particleSend,0,8,0.000929197
particleSend,0,9,0.000975367
particleRecv,0,0,2.1759e-05
particleRecv,0,1,2.187e-05
particleRecv,0,2,2.616e-05
particleRecv,0,3,2.249e-05
particleRecv,0,4,2.833e-05
particleRecv,0,5,2.446e-05
particleRecv,0,6,2.357e-05
particleRecv,0,7,2.82e-05
particleRecv,0,8,2.921e-05
particleRecv,0,9,2.641e-05
particleDestroy,0,0,0.004422137
particleDestroy,0,1,0.004435356
particleDestroy,0,2,0.004437017
particleDestroy,0,3,0.004410676
particleDestroy,0,4,0.004433577
particleDestroy,0,5,0.004445676
particleDestroy,0,6,0.004409057
particleDestroy,0,7,0.004441596
particleDestroy,0,8,0.004426806
particleDestroy,0,9,0.004430556
ScatterPIFNUFFT,0,0,0.521931222
ScatterPIFNUFFT,0,1,0.001116487
ScatterPIFNUFFT,0,2,0.52279698
ScatterPIFNUFFT,0,3,0.001117627
ScatterPIFNUFFT,0,4,0.523742587
ScatterPIFNUFFT,0,5,0.001112846
ScatterPIFNUFFT,0,6,0.524366594
ScatterPIFNUFFT,0,7,0.001113456
ScatterPIFNUFFT,0,8,0.52238336
ScatterPIFNUFFT,0,9,0.001112396
ScatterPIFNUFFT,0,10,0.522302391
ScatterPIFNUFFT,0,11,0.001112246
ScatterPIFNUFFT,0,12,0.524359025
ScatterPIFNUFFT,0,13,0.001114407
ScatterPIFNUFFT,0,14,0.523179338
ScatterPIFNUFFT,0,15,0.001120347
ScatterPIFNUFFT,0,16,0.525448922
ScatterPIFNUFFT,0,17,0.001114547
ScatterPIFNUFFT,0,18,0.524867703
ScatterPIFNUFFT,0,19,0.001113977
NativeNUFFT1,0,0,0.517968404
NativeNUFFT1,0,1,0.518031874
NativeNUFFT1,0,2,0.519828069
NativeNUFFT1,0,3,0.519719049
NativeNUFFT1,0,4,0.517760155
NativeNUFFT1,0,5,0.518348373
NativeNUFFT1,0,6,0.520435877
NativeNUFFT1,0,7,0.518574352
NativeNUFFT1,0,8,0.520612107
NativeNUFFT1,0,9,0.520015028
scatterTimerNUFFT1,0,0,0.038975151
scatterTimerNUFFT1,0,1,0.038637602
scatterTimerNUFFT1,0,2,0.038825772
scatterTimerNUFFT1,0,3,0.038935462
scatterTimerNUFFT1,0,4,0.038761563
scatterTimerNUFFT1,0,5,0.039759609
scatterTimerNUFFT1,0,6,0.039023221
scatterTimerNUFFT1,0,7,0.038577672
scatterTimerNUFFT1,0,8,0.038599933
scatterTimerNUFFT1,0,9,0.038624002
binSort,0,0,0.00966176
binSort,0,1,0.00969219
binSort,0,2,0.00968638
binSort,0,3,0.009690381
binSort,0,4,0.00965199
binSort,0,5,0.00969397
binSort,0,6,0.009700221
binSort,0,7,0.00969119
binSort,0,8,0.009640371
binSort,0,9,0.00969251
binSort,0,10,0.009680621
binSort,0,11,0.009691611
binSort,0,12,0.009664341
binSort,0,13,0.00968632
binSort,0,14,0.00966542
binSort,0,15,0.009700601
binSort,0,16,0.009666231
binSort,0,17,0.00967935
binSort,0,18,0.009670161
binSort,0,19,0.009677471
binSort,0,20,0.009657161
binSort,0,21,0.0096721
binSort,0,22,0.00967793
binSort,0,23,0.009679771
binSort,0,24,0.009658071
binSort,0,25,0.00968109
binSort,0,26,0.0096815
binSort,0,27,0.00968681
binSort,0,28,0.009630751
binSort,0,29,0.00968942
binSort,0,30,0.00968539
binSort,0,31,0.0096931
binSort,0,32,0.009642091
binSort,0,33,0.009677941
binSort,0,34,0.00968803
binSort,0,35,0.009680841
binSort,0,36,0.00964541
binSort,0,37,0.00969019
binSort,0,38,0.009675681
binSort,0,39,0.0096896
binComputeKeys,0,0,0.001048076
binComputeKeys,0,1,0.001051596
binComputeKeys,0,2,0.001050277
binComputeKeys,0,3,0.001051447
binComputeKeys,0,4,0.001046987
binComputeKeys,0,5,0.001050247
binComputeKeys,0,6,0.001050157
binComputeKeys,0,7,0.001054497
binComputeKeys,0,8,0.001048297
binComputeKeys,0,9,0.001050147
binComputeKeys,0,10,0.001054077
binComputeKeys,0,11,0.001055307
binComputeKeys,0,12,0.001049687
binComputeKeys,0,13,0.001050527
binComputeKeys,0,14,0.001053936
binComputeKeys,0,15,0.001050387
binComputeKeys,0,16,0.001051497
binComputeKeys,0,17,0.001050897
binComputeKeys,0,18,0.001052527
binComputeKeys,0,19,0.001049237
binComputeKeys,0,20,0.001052357
binComputeKeys,0,21,0.001050097
binComputeKeys,0,22,0.001053647
binComputeKeys,0,23,0.001050817
binComputeKeys,0,24,0.001047357
binComputeKeys,0,25,0.001050497
binComputeKeys,0,26,0.001049247
binComputeKeys,0,27,0.001049627
binComputeKeys,0,28,0.001048587
binComputeKeys,0,29,0.001048067
binComputeKeys,0,30,0.001052097
binComputeKeys,0,31,0.001049877
binComputeKeys,0,32,0.001050557
binComputeKeys,0,33,0.001050787
binComputeKeys,0,34,0.001049826
binComputeKeys,0,35,0.001051627
binComputeKeys,0,36,0.001049356
binComputeKeys,0,37,0.001051906
binComputeKeys,0,38,0.001050757
binComputeKeys,0,39,0.001052677
binSortByKey,0,0,0.008348105
binSortByKey,0,1,0.008369035
binSortByKey,0,2,0.008367114
binSortByKey,0,3,0.008369545
binSortByKey,0,4,0.008337765
binSortByKey,0,5,0.008372944
binSortByKey,0,6,0.008378475
binSortByKey,0,7,0.008367034
binSortByKey,0,8,0.008325615
binSortByKey,0,9,0.008371944
binSortByKey,0,10,0.008355795
binSortByKey,0,11,0.008366475
binSortByKey,0,12,0.008349075
binSortByKey,0,13,0.008364814
binSortByKey,0,14,0.008342945
binSortByKey,0,15,0.008381115
binSortByKey,0,16,0.008347885
binSortByKey,0,17,0.008356024
binSortByKey,0,18,0.008344985
binSortByKey,0,19,0.008358805
binSortByKey,0,20,0.008339034
binSortByKey,0,21,0.008346714
binSortByKey,0,22,0.008355064
binSortByKey,0,23,0.008358395
binSortByKey,0,24,0.008344904
binSortByKey,0,25,0.008360254
binSortByKey,0,26,0.008362044
binSortByKey,0,27,0.008367334
binSortByKey,0,28,0.008316655
binSortByKey,0,29,0.008370854
binSortByKey,0,30,0.008362015
binSortByKey,0,31,0.008371464
binSortByKey,0,32,0.008324775
binSortByKey,0,33,0.008356775
binSortByKey,0,34,0.008362665
binSortByKey,0,35,0.008358984
binSortByKey,0,36,0.008330305
binSortByKey,0,37,0.008369025
binSortByKey,0,38,0.008355095
binSortByKey,0,39,0.008367444
binComputeOffsets,0,0,0.000256309
binComputeOffsets,0,1,0.000261349
binComputeOffsets,0,2,0.000260049
binComputeOffsets,0,3,0.000260329
binComputeOffsets,0,4,0.000256899
binComputeOffsets,0,5,0.000260929
binComputeOffsets,0,6,0.000262529
binComputeOffsets,0,7,0.000260469
binComputeOffsets,0,8,0.000256679
binComputeOffsets,0,9,0.000260239
binComputeOffsets,0,10,0.000260599
binComputeOffsets,0,11,0.000260519
binComputeOffsets,0,12,0.000256269
binComputeOffsets,0,13,0.000261119
binComputeOffsets,0,14,0.000259379
binComputeOffsets,0,15,0.00025997
binComputeOffsets,0,16,0.000256479
binComputeOffsets,0,17,0.000262719
binComputeOffsets,0,18,0.000262759
binComputeOffsets,0,19,0.000260039
binComputeOffsets,0,20,0.00025616
binComputeOffsets,0,21,0.000260839
binComputeOffsets,0,22,0.000259669
binComputeOffsets,0,23,0.000260539
binComputeOffsets,0,24,0.00025598
binComputeOffsets,0,25,0.000260809
binComputeOffsets,0,26,0.000260579
binComputeOffsets,0,27,0.000260529
binComputeOffsets,0,28,0.000256149
binComputeOffsets,0,29,0.000260629
binComputeOffsets,0,30,0.000261589
binComputeOffsets,0,31,0.000262219
binComputeOffsets,0,32,0.000256249
binComputeOffsets,0,33,0.000260979
binComputeOffsets,0,34,0.000260659
binComputeOffsets,0,35,0.00026018
binComputeOffsets,0,36,0.000256119
binComputeOffsets,0,37,0.000259639
binComputeOffsets,0,38,0.000259909
binComputeOffsets,0,39,0.000260019
FFTNUFFT1,0,0,0.478339875
FFTNUFFT1,0,1,0.478743944
