num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
256,1024,8589934592,type1,0,1370.202251
256,1024,8589934592,type1,1,1349.125399
256,1024,8589934592,type1,2,1369.476119
256,1024,8589934592,type1,3,1374.857450
256,1024,8589934592,type1,4,1367.318223
256,1024,8589934592,type1,5,1366.635889
256,1024,8589934592,type1,6,1373.247783
256,1024,8589934592,type1,7,1397.955544
256,1024,8589934592,type1,8,1357.583993
256,1024,8589934592,type1,9,1356.431017
256,1024,8589934592,type2,0,1094.417185
256,1024,8589934592,type2,1,1067.740680
256,1024,8589934592,type2,2,1071.399374
256,1024,8589934592,type2,3,1066.067017
256,1024,8589934592,type2,4,1079.867032
256,1024,8589934592,type2,5,1087.603622
256,1024,8589934592,type2,6,1089.711207
256,1024,8589934592,type2,7,1076.109613
256,1024,8589934592,type2,8,1076.148499
256,1024,8589934592,type2,9,1102.683223
