num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
32,512,1073741824,type1,0,1052.645540
32,512,1073741824,type1,1,1045.320728
32,512,1073741824,type1,2,1061.326745
32,512,1073741824,type1,3,1050.184115
32,512,1073741824,type1,4,1046.769903
32,512,1073741824,type1,5,1050.203959
32,512,1073741824,type1,6,1041.783892
32,512,1073741824,type1,7,1058.691566
32,512,1073741824,type1,8,1050.720693
32,512,1073741824,type1,9,1060.707829
32,512,1073741824,type2,0,776.435437
32,512,1073741824,type2,1,768.954140
32,512,1073741824,type2,2,786.207859
32,512,1073741824,type2,3,777.781642
32,512,1073741824,type2,4,766.329601
32,512,1073741824,type2,5,769.432881
32,512,1073741824,type2,6,770.962977
32,512,1073741824,type2,7,782.469288
32,512,1073741824,type2,8,768.088671
32,512,1073741824,type2,9,775.815871
