timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,40.03584942
dumpData,0,0,0.005592958
dumpData,0,1,0.008218504
dumpData,0,2,0.005616108
dumpData,0,3,0.00577791
dumpData,0,4,0.012502704
dumpData,0,5,0.00580062
dumpData,0,6,0.005610168
dumpData,0,7,0.004996349
dumpData,0,8,0.005282393
dumpData,0,9,0.005852842
kick,0,0,0.001930607
kick,0,1,0.001991448
kick,0,2,0.001929987
kick,0,3,0.001986768
kick,0,4,0.001931817
kick,0,5,0.001990888
kick,0,6,0.001931617
kick,0,7,0.001987878
kick,0,8,0.001931396
kick,0,9,0.001986347
kick,0,10,0.001930797
kick,0,11,0.001985428
kick,0,12,0.001930187
kick,0,13,0.001985848
kick,0,14,0.001930687
kick,0,15,0.001984978
kick,0,16,0.001928706
kick,0,17,0.001985677
kick,0,18,0.001928216
kick,0,19,0.001985587
drift,0,0,0.001940757
drift,0,1,0.001939217
drift,0,2,0.001940227
drift,0,3,0.001943267
drift,0,4,0.001939097
drift,0,5,0.001940087
drift,0,6,0.001937387
drift,0,7,0.001937246
drift,0,8,0.001939137
drift,0,9,0.001937236
particleBC,0,0,0.003984605
particleBC,0,1,0.003988325
particleBC,0,2,0.003988745
particleBC,0,3,0.003996856
particleBC,0,4,0.003992176
particleBC,0,5,0.003991245
particleBC,0,6,0.003988345
particleBC,0,7,0.003987575
particleBC,0,8,0.003984716
particleBC,0,9,0.003984636
updateParticle,0,0,0.017530293
updateParticle,0,1,0.017778777
updateParticle,0,2,0.017669296
updateParticle,0,3,0.016187464
updateParticle,0,4,0.015364523
updateParticle,0,5,0.016230876
updateParticle,0,6,0.015780529
updateParticle,0,7,0.01656389
updateParticle,0,8,0.015224891
updateParticle,0,9,0.015318143
locateParticles,0,0,0.002084799
locateParticles,0,1,0.00210007
locateParticles,0,2,0.00210383
locateParticles,0,3,0.002124889
locateParticles,0,4,0.002102229
locateParticles,0,5,0.002087228
locateParticles,0,6,0.002085609
locateParticles,0,7,0.002098139
locateParticles,0,8,0.002124609
locateParticles,0,9,0.002101079
sendPreprocess,0,0,0.000628859
sendPreprocess,0,1,0.00074845
sendPreprocess,0,2,0.000621568
sendPreprocess,0,3,0.000535648
sendPreprocess,0,4,0.000548208
sendPreprocess,0,5,0.000648479
sendPreprocess,0,6,0.000603208
sendPreprocess,0,7,0.000788131
sendPreprocess,0,8,0.000790191
sendPreprocess,0,9,0.000551728
particleSend,0,0,0.001703333
particleSend,0,1,0.001635523
particleSend,0,2,0.001694334
particleSend,0,3,0.001557601
particleSend,0,4,0.001733964
particleSend,0,5,0.001744864
particleSend,0,6,0.001625493
particleSend,0,7,0.001528361
particleSend,0,8,0.001534422
particleSend,0,9,0.001674303
particleRecv,0,0,5.0211e-05
particleRecv,0,1,3.872e-05
particleRecv,0,2,4.262e-05
particleRecv,0,3,5.9221e-05
particleRecv,0,4,3.9671e-05
particleRecv,0,5,3.495e-05
particleRecv,0,6,3.654e-05
particleRecv,0,7,3.99e-05
particleRecv,0,8,4.965e-05
particleRecv,0,9,3.8691e-05
particleDestroy,0,0,0.00718883
particleDestroy,0,1,0.007233251
particleDestroy,0,2,0.007230751
particleDestroy,0,3,0.00720286
particleDestroy,0,4,0.00721059
particleDestroy,0,5,0.00718774
particleDestroy,0,6,0.00721258
particleDestroy,0,7,0.00722354
particleDestroy,0,8,0.00720683
particleDestroy,0,9,0.00722629
ScatterPIFNUFFT,0,0,0.984238515
ScatterPIFNUFFT,0,1,0.000159812
ScatterPIFNUFFT,0,2,1.00119
ScatterPIFNUFFT,0,3,0.000167993
ScatterPIFNUFFT,0,4,0.985106367
ScatterPIFNUFFT,0,5,0.000167582
ScatterPIFNUFFT,0,6,0.983624927
ScatterPIFNUFFT,0,7,0.000156802
ScatterPIFNUFFT,0,8,1.001466514
ScatterPIFNUFFT,0,9,0.000159303
ScatterPIFNUFFT,0,10,0.956962006
ScatterPIFNUFFT,0,11,0.000158022
ScatterPIFNUFFT,0,12,0.97888388
ScatterPIFNUFFT,0,13,0.000165692
ScatterPIFNUFFT,0,14,0.987734173
ScatterPIFNUFFT,0,15,0.000159833
ScatterPIFNUFFT,0,16,0.978778299
ScatterPIFNUFFT,0,17,0.000161493
ScatterPIFNUFFT,0,18,0.985093317
ScatterPIFNUFFT,0,19,0.000159173
NativeNUFFT1,0,0,0.981030951
NativeNUFFT1,0,1,0.997980036
NativeNUFFT1,0,2,0.981952444
NativeNUFFT1,0,3,0.980570154
NativeNUFFT1,0,4,0.99828893
NativeNUFFT1,0,5,0.953878733
NativeNUFFT1,0,6,0.975679077
NativeNUFFT1,0,7,0.98455855
NativeNUFFT1,0,8,0.975588315
NativeNUFFT1,0,9,0.981862302
scatterTimerNUFFT1,0,0,0.048533404
scatterTimerNUFFT1,0,1,0.047801694
scatterTimerNUFFT1,0,2,0.048704176
scatterTimerNUFFT1,0,3,0.048853448
scatterTimerNUFFT1,0,4,0.048738277
scatterTimerNUFFT1,0,5,0.048347491
scatterTimerNUFFT1,0,6,0.048267321
scatterTimerNUFFT1,0,7,0.047706463
scatterTimerNUFFT1,0,8,0.048568244
scatterTimerNUFFT1,0,9,0.048030386
binSort,0,0,0.010272852
binSort,0,1,0.010147291
binSort,0,2,0.010302524
binSort,0,3,0.010292033
binSort,0,4,0.010255872
binSort,0,5,0.010246062
binSort,0,6,0.010288683
binSort,0,7,0.010274593
binSort,0,8,0.010300313
binSort,0,9,0.010331934
binSort,0,10,0.010294803
binSort,0,11,0.010280902
binSort,0,12,0.010296213
binSort,0,13,0.010273312
binSort,0,14,0.010284892
binSort,0,15,0.010281113
binSort,0,16,0.010275603
binSort,0,17,0.010159231
binSort,0,18,0.010271532
binSort,0,19,0.010269403
binSort,0,20,0.010237652
binSort,0,21,0.01010534
binSort,0,22,0.010268263
binSort,0,23,0.010298283
binSort,0,24,0.010226242
binSort,0,25,0.010280242
binSort,0,26,0.010278373
binSort,0,27,0.010279273
binSort,0,28,0.010237912
binSort,0,29,0.010269312
binSort,0,30,0.010286543
binSort,0,31,0.010274582
binSort,0,32,0.010234062
binSort,0,33,0.010282232
binSort,0,34,0.010295593
binSort,0,35,0.010268092
binSort,0,36,0.010228332
binSort,0,37,0.010266433
binSort,0,38,0.010279553
binSort,0,39,0.010274103
binComputeKeys,0,0,0.001086045
binComputeKeys,0,1,0.001105945
binComputeKeys,0,2,0.001086585
binComputeKeys,0,3,0.001084845
binComputeKeys,0,4,0.001086825
binComputeKeys,0,5,0.001092295
binComputeKeys,0,6,0.001086005
binComputeKeys,0,7,0.001085095
binComputeKeys,0,8,0.001084935
binComputeKeys,0,9,0.001094125
binComputeKeys,0,10,0.001083375
binComputeKeys,0,11,0.001084405
binComputeKeys,0,12,0.001086355
binComputeKeys,0,13,0.001084425
binComputeKeys,0,14,0.001085205
binComputeKeys,0,15,0.001084885
binComputeKeys,0,16,0.001085525
binComputeKeys,0,17,0.001098085
binComputeKeys,0,18,0.001085025
binComputeKeys,0,19,0.001085305
binComputeKeys,0,20,0.001086406
binComputeKeys,0,21,0.001095615
binComputeKeys,0,22,0.001084735
binComputeKeys,0,23,0.001086705
binComputeKeys,0,24,0.001085525
binComputeKeys,0,25,0.001085415
binComputeKeys,0,26,0.001084005
binComputeKeys,0,27,0.001084035
binComputeKeys,0,28,0.001089535
binComputeKeys,0,29,0.001085575
binComputeKeys,0,30,0.001083935
binComputeKeys,0,31,0.001084875
binComputeKeys,0,32,0.001083665
binComputeKeys,0,33,0.001084325
binComputeKeys,0,34,0.001083935
binComputeKeys,0,35,0.001083565
binComputeKeys,0,36,0.001084435
binComputeKeys,0,37,0.001083225
binComputeKeys,0,38,0.001084955
binComputeKeys,0,39,0.001085805
binSortByKey,0,0,0.008857303
binSortByKey,0,1,0.008757012
binSortByKey,0,2,0.008883443
binSortByKey,0,3,0.008873954
binSortByKey,0,4,0.008847583
binSortByKey,0,5,0.008831243
binSortByKey,0,6,0.008868263
binSortByKey,0,7,0.008856413
binSortByKey,0,8,0.008885784
binSortByKey,0,9,0.008887123
binSortByKey,0,10,0.008875833
binSortByKey,0,11,0.008862333
binSortByKey,0,12,0.008880663
binSortByKey,0,13,0.008855643
binSortByKey,0,14,0.008866573
binSortByKey,0,15,0.008857993
binSortByKey,0,16,0.008859303
binSortByKey,0,17,0.008728172
binSortByKey,0,18,0.008853663
binSortByKey,0,19,0.008851153
binSortByKey,0,20,0.008822122
binSortByKey,0,21,0.008729161
binSortByKey,0,22,0.008852063
binSortByKey,0,23,0.008877273
binSortByKey,0,24,0.008835383
binSortByKey,0,25,0.008860103
binSortByKey,0,26,0.008860083
binSortByKey,0,27,0.008861023
binSortByKey,0,28,0.008818503
binSortByKey,0,29,0.008850023
binSortByKey,0,30,0.008869733
binSortByKey,0,31,0.008855483
binSortByKey,0,32,0.008819962
binSortByKey,0,33,0.008864373
binSortByKey,0,34,0.008863533
binSortByKey,0,35,0.008852083
binSortByKey,0,36,0.008812783
binSortByKey,0,37,0.008849783
binSortByKey,0,38,0.008859823
binSortByKey,0,39,0.008851232
binComputeOffsets,0,0,0.000319374
binComputeOffsets,0,1,0.000273624
binComputeOffsets,0,2,0.000322774
binComputeOffsets,0,3,0.000322794
binComputeOffsets,0,4,0.000311404
binComputeOffsets,0,5,0.000312744
binComputeOffsets,0,6,0.000323185
binComputeOffsets,0,7,0.000323285
binComputeOffsets,0,8,0.000319084
binComputeOffsets,0,9,0.000337575
binComputeOffsets,0,10,0.000324294
binComputeOffsets,0,11,0.000323304
binComputeOffsets,0,12,0.000319465
binComputeOffsets,0,13,0.000323514
binComputeOffsets,0,14,0.000322974
binComputeOffsets,0,15,0.000327345
binComputeOffsets,0,16,0.000319675
binComputeOffsets,0,17,0.000322244
binComputeOffsets,0,18,0.000322684
binComputeOffsets,0,19,0.000322815
binComputeOffsets,0,20,0.000318944
binComputeOffsets,0,21,0.000270014
binComputeOffsets,0,22,0.000321614
binComputeOffsets,0,23,0.000324055
binComputeOffsets,0,24,0.000295264
binComputeOffsets,0,25,0.000323684
binComputeOffsets,0,26,0.000324105
binComputeOffsets,0,27,0.000323895
binComputeOffsets,0,28,0.000319344
binComputeOffsets,0,29,0.000323064
binComputeOffsets,0,30,0.000323235
binComputeOffsets,0,31,0.000322954
binComputeOffsets,0,32,0.000319544
binComputeOffsets,0,33,0.000323324
binComputeOffsets,0,34,0.000337295
binComputeOffsets,0,35,0.000322094
binComputeOffsets,0,36,0.000320914
binComputeOffsets,0,37,0.000322524
binComputeOffsets,0,38,0.000323665
binComputeOffsets,0,39,0.000326905
FFTNUFFT1,0,0,0.932331814
FFTNUFFT1,0,1,0.95002389
FFTNUFFT1,0,2,0.933080674
FFTNUFFT1,0,3,0.931558514
FFTNUFFT1,0,4,0.949402791
FFTNUFFT1,0,5,0.90538284
