time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9350023606e+00 5.0011563914e-02
1.2271846300e-02 9.9330310104e+00 5.0006605665e-02
2.4543692600e-02 9.9273136453e+00 4.9992224019e-02
3.6815538900e-02 9.9178568678e+00 4.9968428242e-02
4.9087385200e-02 9.9046675748e+00 4.9935221889e-02
6.1359231500e-02 9.8877550916e+00 4.9892609528e-02
7.3631077800e-02 9.8671352653e+00 4.9840607817e-02
8.5902924100e-02 9.8428263820e+00 4.9779229699e-02
9.8174770400e-02 9.8148473631e+00 4.9708489802e-02
1.1044661670e-01 9.7832212639e+00 4.9628410092e-02
1.2271846300e-01 9.7479737671e+00 4.9539005265e-02
1.3499030930e-01 9.7091354127e+00 4.9440306590e-02
1.4726215560e-01 9.6667384461e+00 4.9332336201e-02
1.5953400190e-01 9.6208187588e+00 4.9215123677e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9337498048e+00 5.0011093187e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9337498048e+00 5.0011093187e-02
1.2271846300e-02 9.9317784899e+00 5.0006135037e-02
2.4543692600e-02 9.9260613373e+00 4.9991753686e-02
3.6815538900e-02 9.9166048701e+00 4.9967958398e-02
4.9087385200e-02 9.9034159712e+00 4.9934752730e-02
6.1359231500e-02 9.8865040702e+00 4.9892141250e-02
7.3631077800e-02 9.8658851417e+00 4.9840140618e-02
8.5902924100e-02 9.8415768517e+00 4.9778763764e-02
9.8174770400e-02 9.8135983549e+00 4.9708025333e-02
1.1044661670e-01 9.7819736237e+00 4.9627947282e-02
1.2271846300e-01 9.7467269216e+00 4.9538544297e-02
1.3499030930e-01 9.7078900957e+00 4.9439847676e-02
1.4726215560e-01 9.6654944673e+00 4.9331879531e-02
1.5953400190e-01 9.6195755963e+00 4.9214669429e-02
