                      ranks  Wall tot
=====================================
mainTimer...........    128     40.04

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    128     40.04     40.04     40.04
particlesCreation...    128         0         0         0
dumpData............    128     0.102   0.06231   0.08287
kick................    128   0.03917   0.03158   0.03525
drift...............    128   0.01941   0.01566   0.01747
initializeShapeFunc.    128         0         0         0
findInternal........    128         0         0         0
findPeriodic........    128         0         0         0
NativeNUFFT::init...    128         0         0         0
particleBC..........    128   0.03993   0.03218   0.03592
updateParticle......    128    0.1719    0.1615    0.1674
locateParticles.....    128   0.02458   0.01887   0.02082
sendPreprocess......    128   0.02392  0.002915   0.01458
particleSend........    128     0.017   0.01511   0.01593
particleRecv........    128 0.0005003  0.000384 0.0004221
particleDestroy.....    128     0.086    0.0661   0.07254
ScatterPIFNUFFT.....    128     9.969     9.828     9.902
NativeNUFFT1........    128     9.937     9.794     9.871
scatterTimerNUFFT1..    128    0.4875    0.4527    0.4739
binSort.............    128    0.4109    0.3333    0.3704
binComputeKeys......    128    0.0435   0.03515   0.03919
binSortByKey........    128    0.3543     0.287    0.3192
binComputeOffsets...    128   0.01282   0.01063   0.01167
FFTNUFFT1...........    128     9.462      9.31     9.395
TwiddleAdd..........    128   0.01372   0.01346    0.0136
subFFTs.............    128     9.447     9.296     9.381
deconvolutionNUFFT1.    128  0.001455  0.001353  0.001403
GatherPIFNUFFT......    128     29.86     29.71     29.78
NativeNUFFT2........    128     29.73     29.59     29.66
PrecorrectionNUFFT2.    128  0.004302  0.004206  0.004249
FFTNUFFT2...........    128     28.55     28.34     28.45
subIFFTs............    128     28.48     28.27     28.38
StridedWrite........    128   0.06176   0.06131    0.0615
GatherNUFFT2........    128     1.336     1.082       1.2
