timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,21.370368823
dumpData,0,0,0.009384019
dumpData,0,1,0.00947537
dumpData,0,2,0.009605961
dumpData,0,3,0.009436409
dumpData,0,4,0.009445339
dumpData,0,5,0.00943382
dumpData,0,6,0.009391339
dumpData,0,7,0.009407339
dumpData,0,8,0.009413248
dumpData,0,9,0.00950111
kick,0,0,0.001936439
kick,0,1,0.001941808
kick,0,2,0.001932598
kick,0,3,0.001943378
kick,0,4,0.001933048
kick,0,5,0.001943448
kick,0,6,0.001934788
kick,0,7,0.001941038
kick,0,8,0.001933929
kick,0,9,0.001942228
kick,0,10,0.001933699
kick,0,11,0.001943308
kick,0,12,0.001935578
kick,0,13,0.001940138
kick,0,14,0.001932868
kick,0,15,0.001942619
kick,0,16,0.001930818
kick,0,17,0.001942299
kick,0,18,0.001935878
kick,0,19,0.001941018
drift,0,0,0.001902118
drift,0,1,0.001905058
drift,0,2,0.001900538
drift,0,3,0.001901228
drift,0,4,0.001905608
drift,0,5,0.001905728
drift,0,6,0.001903448
drift,0,7,0.001905738
drift,0,8,0.001905018
drift,0,9,0.001904348
particleBC,0,0,0.003840366
particleBC,0,1,0.003843357
particleBC,0,2,0.003842797
particleBC,0,3,0.003839947
particleBC,0,4,0.003837516
particleBC,0,5,0.003841706
particleBC,0,6,0.003836626
particleBC,0,7,0.003838567
particleBC,0,8,0.003839416
particleBC,0,9,0.003834726
updateParticle,0,0,0.014479857
updateParticle,0,1,0.009102416
updateParticle,0,2,0.011814911
updateParticle,0,3,0.010990563
updateParticle,0,4,0.009036605
updateParticle,0,5,0.012806631
updateParticle,0,6,0.011133555
updateParticle,0,7,0.014606758
updateParticle,0,8,0.011770802
updateParticle,0,9,0.009092806
locateParticles,0,0,0.001475894
locateParticles,0,1,0.001465634
locateParticles,0,2,0.001470013
locateParticles,0,3,0.001455883
locateParticles,0,4,0.001479764
locateParticles,0,5,0.001480574
locateParticles,0,6,0.001465444
locateParticles,0,7,0.001460433
locateParticles,0,8,0.001469604
locateParticles,0,9,0.001459314
sendPreprocess,0,0,0.000191942
sendPreprocess,0,1,0.000216052
sendPreprocess,0,2,0.000237293
sendPreprocess,0,3,0.000289603
sendPreprocess,0,4,0.000201522
sendPreprocess,0,5,0.000188942
sendPreprocess,0,6,0.000191412
sendPreprocess,0,7,0.000311203
sendPreprocess,0,8,0.000385094
sendPreprocess,0,9,0.000342173
particleSend,0,0,0.000924728
particleSend,0,1,0.000984139
particleSend,0,2,0.000941999
particleSend,0,3,0.000937889
particleSend,0,4,0.000929659
particleSend,0,5,0.000927749
particleSend,0,6,0.000961419
particleSend,0,7,0.00097445
particleSend,0,8,0.000932889
particleSend,0,9,0.00097589
particleRecv,0,0,2.2931e-05
particleRecv,0,1,2.249e-05
particleRecv,0,2,2.611e-05
particleRecv,0,3,2.289e-05
particleRecv,0,4,3.1e-05
particleRecv,0,5,2.747e-05
particleRecv,0,6,2.303e-05
particleRecv,0,7,2.724e-05
particleRecv,0,8,2.463e-05
particleRecv,0,9,2.653e-05
particleDestroy,0,0,0.004423732
particleDestroy,0,1,0.004424002
