grid,rho,tolerance,type,component,time_ms,fraction
64,10,1.0e-04,1,Spreading,17.1569,0.9244
64,10.0000,1.0e-04,1,FFT,1.3780,0.0742
64,10.0000,1.0e-04,1,Deconvolution,0.0259,0.0014
64,10.0000,1.0e-04,2,Precorrection,0.0255,0.0032
64,10.0000,1.0e-04,2,FFT,1.5235,0.1900
64,10.0000,1.0e-04,2,Interpolation,6.4683,0.8068
128,10.0000,1.0e-04,1,Spreading,136.1103,0.9558
128,10.0000,1.0e-04,1,FFT,6.2108,0.0436
128,10.0000,1.0e-04,1,Deconvolution,0.0803,0.0006
128,10.0000,1.0e-04,2,Precorrection,0.0815,0.0014
128,10.0000,1.0e-04,2,FFT,7.3701,0.1240
128,10.0000,1.0e-04,2,Interpolation,51.9786,0.8746
192,10.0000,1.0e-04,1,Spreading,892.6779,0.9798
192,10.0000,1.0e-04,1,FFT,18.2133,0.0200
192,10.0000,1.0e-04,1,Deconvolution,0.2236,0.0002
192,10.0000,1.0e-04,2,Precorrection,0.2254,0.0008
192,10.0000,1.0e-04,2,FFT,22.7915,0.0774
192,10.0000,1.0e-04,2,Interpolation,271.6245,0.9219
256,10.0000,1.0e-04,1,Spreading,1020.3688,0.9522
256,10.0000,1.0e-04,1,FFT,50.6850,0.0473
256,10.0000,1.0e-04,1,Deconvolution,0.5176,0.0005
256,10.0000,1.0e-04,2,Precorrection,0.5190,0.0009
256,10.0000,1.0e-04,2,FFT,59.4931,0.1069
256,10.0000,1.0e-04,2,Interpolation,496.2773,0.8921
