grid,rho,tolerance,method,type,time_ms,throughput_mpts
200,0.1,1.0e-04,Atomic,1,51.4748,15.54
200,0.10,1.0e-04,Tiled,1,387.9998,2.06
200,0.10,1.0e-04,Grid-Parallel,1,595.8134,1.34
200,0.10,1.0e-04,Direct,2,32.6995,24.47
200,0.10,1.0e-04,Sorted,2,33.4923,23.89
200,0.50,1.0e-04,Atomic,1,147.2859,27.16
200,0.50,1.0e-04,Tiled,1,424.3007,9.43
200,0.50,1.0e-04,Grid-Parallel,1,774.1541,5.17
200,0.50,1.0e-04,Direct,2,67.5956,59.18
200,0.50,1.0e-04,Sorted,2,64.0539,62.45
200,1.00,1.0e-04,Atomic,1,261.8557,30.55
200,1.00,1.0e-04,Tiled,1,478.3240,16.73
200,1.00,1.0e-04,Grid-Parallel,1,868.2472,9.21
200,1.00,1.0e-04,Direct,2,111.0654,72.03
200,1.00,1.0e-04,Sorted,2,86.0223,93.00
200,2.00,1.0e-04,Atomic,1,479.1226,33.39
200,2.00,1.0e-04,Tiled,1,583.0645,27.44
200,2.00,1.0e-04,Grid-Parallel,1,947.1578,16.89
200,2.00,1.0e-04,Direct,2,197.9765,80.82
200,2.00,1.0e-04,Sorted,2,120.4772,132.81
200,5.00,1.0e-04,Atomic,1,1091.5612,36.64
200,5.00,1.0e-04,Tiled,1,610.0107,65.57
200,5.00,1.0e-04,Grid-Parallel,1,1000.8120,39.97
200,5.00,1.0e-04,Direct,2,458.8587,87.17
200,5.00,1.0e-04,Sorted,2,210.3039,190.20
200,10.00,1.0e-04,Atomic,1,2097.1057,38.15
200,10.00,1.0e-04,Tiled,1,639.2173,125.15
200,10.00,1.0e-04,Grid-Parallel,1,1040.8743,76.86
200,10.00,1.0e-04,Direct,2,893.6860,89.52
200,10.00,1.0e-04,Sorted,2,322.2506,248.25
200,20.00,1.0e-04,Atomic,1,4294.1266,37.26
200,20.00,1.0e-04,Tiled,1,595.8335,268.53
200,20.00,1.0e-04,Grid-Parallel,1,1049.4139,152.47
200,20.00,1.0e-04,Direct,2,1762.7620,90.77
200,20.00,1.0e-04,Sorted,2,507.0190,315.57
200,50.00,1.0e-04,Atomic,1,217.5927,1838.30
200,50.00,1.0e-04,Tiled,1,877.8249,455.67
200,50.00,1.0e-04,Grid-Parallel,1,1290.4271,309.97
200,50.00,1.0e-04,Direct,2,4371.4525,91.50
200,50.00,1.0e-04,Sorted,2,1010.4258,395.87
