grid,rho,tolerance,method,type,time_ms,throughput_mpts
200,10,1.0e-02,Atomic,1,691.6774,115.66
200,10.00,1.0e-02,Tiled,1,212.7276,376.07
200,10.00,1.0e-02,Grid-Parallel,1,559.0068,143.11
200,10.00,1.0e-02,Direct,2,223.7969,357.47
200,10.00,1.0e-02,Sorted,2,185.1858,432.00
200,10.00,1.0e-03,Atomic,1,996.5284,80.28
200,10.00,1.0e-03,Tiled,1,321.8439,248.57
200,10.00,1.0e-03,Grid-Parallel,1,332.4471,240.64
200,10.00,1.0e-03,Direct,2,477.9459,167.38
200,10.00,1.0e-03,Sorted,2,209.4360,381.98
200,10.00,1.0e-04,Atomic,1,2096.2597,38.16
200,10.00,1.0e-04,Tiled,1,633.1090,126.36
200,10.00,1.0e-04,Grid-Parallel,1,937.3657,85.35
200,10.00,1.0e-04,Direct,2,893.3996,89.55
200,10.00,1.0e-04,Sorted,2,324.3878,246.62
200,10.00,1.0e-05,Atomic,1,2743.1905,29.16
200,10.00,1.0e-05,Tiled,1,1148.4111,69.66
200,10.00,1.0e-05,Grid-Parallel,1,699.6278,114.35
200,10.00,1.0e-05,Direct,2,1508.4590,53.03
200,10.00,1.0e-05,Sorted,2,491.9105,162.63
200,10.00,1.0e-06,Atomic,1,3952.2492,20.24
200,10.00,1.0e-06,Tiled,1,987.9010,80.98
200,10.00,1.0e-06,Grid-Parallel,1,3205.8659,24.95
200,10.00,1.0e-06,Direct,2,2459.1212,32.53
200,10.00,1.0e-06,Sorted,2,767.4639,104.24
200,10.00,1.0e-07,Atomic,1,5177.8596,15.45
200,10.00,1.0e-07,Tiled,1,2856.7132,28.00
200,10.00,1.0e-07,Grid-Parallel,1,1675.4748,47.75
200,10.00,1.0e-07,Direct,2,3638.2236,21.99
200,10.00,1.0e-07,Sorted,2,1105.4827,72.37
200,10.00,1.0e-08,Atomic,1,8821.8018,9.07
200,10.00,1.0e-08,Tiled,1,14681.6130,5.45
200,10.00,1.0e-08,Grid-Parallel,1,13547.9287,5.90
200,10.00,1.0e-08,Direct,2,5018.5180,15.94
200,10.00,1.0e-08,Sorted,2,1550.6679,51.59
