timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,56.593882822
dumpData,0,0,0.015916865
dumpData,0,1,0.016142951
dumpData,0,2,0.017395501
dumpData,0,3,0.018541275
dumpData,0,4,0.015181706
dumpData,0,5,0.02516994
dumpData,0,6,0.019003662
dumpData,0,7,0.015754356
dumpData,0,8,0.020909501
dumpData,0,9,0.030576184
kick,0,0,0.005063482
kick,0,1,0.004839016
kick,0,2,0.004854015
kick,0,3,0.004846165
kick,0,4,0.00482804
kick,0,5,0.00479661
kick,0,6,0.004868599
kick,0,7,0.004819894
kick,0,8,0.004853359
kick,0,9,0.004990625
kick,0,10,0.004815736
kick,0,11,0.00481197
kick,0,12,0.004827549
kick,0,13,0.004805176
kick,0,14,0.004833761
kick,0,15,0.004859021
kick,0,16,0.004829203
kick,0,17,0.0048176
kick,0,18,0.004801239
kick,0,19,0.004866285
drift,0,0,0.004755804
drift,0,1,0.00471256
drift,0,2,0.004757062
drift,0,3,0.004741462
drift,0,4,0.004739868
drift,0,5,0.004768465
drift,0,6,0.004637129
drift,0,7,0.004753997
drift,0,8,0.004746793
drift,0,9,0.004771871
particleBC,0,0,0.013949757
particleBC,0,1,0.01389451
particleBC,0,2,0.013936188
particleBC,0,3,0.013850281
particleBC,0,4,0.013881431
particleBC,0,5,0.014011734
particleBC,0,6,0.013763513
particleBC,0,7,0.01380882
particleBC,0,8,0.013953982
particleBC,0,9,0.013760596
updateParticle,0,0,0.064223892
updateParticle,0,1,0.065755487
updateParticle,0,2,0.064226993
updateParticle,0,3,0.06326228
updateParticle,0,4,0.064201884
updateParticle,0,5,0.06293778
updateParticle,0,6,0.063385308
updateParticle,0,7,0.063191133
updateParticle,0,8,0.062689839
updateParticle,0,9,0.062796767
locateParticles,0,0,0.016416857
locateParticles,0,1,0.016422186
locateParticles,0,2,0.016411452
locateParticles,0,3,0.016423084
locateParticles,0,4,0.016441921
locateParticles,0,5,0.016426872
locateParticles,0,6,0.016407884
locateParticles,0,7,0.016480085
locateParticles,0,8,0.016380692
locateParticles,0,9,0.016446099
sendPreprocess,0,0,0.003947494
sendPreprocess,0,1,0.003977423
sendPreprocess,0,2,0.004059078
sendPreprocess,0,3,0.004112992
sendPreprocess,0,4,0.004095799
sendPreprocess,0,5,0.004043788
sendPreprocess,0,6,0.004469645
sendPreprocess,0,7,0.004415339
sendPreprocess,0,8,0.004212566
sendPreprocess,0,9,0.004355222
particleSend,0,0,0.005682594
particleSend,0,1,0.005440304
particleSend,0,2,0.005668721
particleSend,0,3,0.006652611
particleSend,0,4,0.006474556
particleSend,0,5,0.004601691
particleSend,0,6,0.006208098
particleSend,0,7,0.004548988
particleSend,0,8,0.004631729
particleSend,0,9,0.004609876
particleRecv,0,0,6.9404e-05
particleRecv,0,1,5.9015e-05
particleRecv,0,2,6.0267e-05
particleRecv,0,3,7.3302e-05
particleRecv,0,4,5.5577e-05
particleRecv,0,5,6.0738e-05
particleRecv,0,6,5.9645e-05
particleRecv,0,7,5.8724e-05
particleRecv,0,8,6.4846e-05
particleRecv,0,9,5.671e-05
particleDestroy,0,0,0.033186157
particleDestroy,0,1,0.033273087
particleDestroy,0,2,0.033296853
particleDestroy,0,3,0.033273799
particleDestroy,0,4,0.033342312
particleDestroy,0,5,0.033332111
particleDestroy,0,6,0.033288496
particleDestroy,0,7,0.033187832
particleDestroy,0,8,0.033320429
particleDestroy,0,9,0.033250854
ScatterPIFNUFFT,0,0,1.004004038
ScatterPIFNUFFT,0,1,0.005079784
ScatterPIFNUFFT,0,2,0.979343732
ScatterPIFNUFFT,0,3,0.005081957
ScatterPIFNUFFT,0,4,1.009584551
ScatterPIFNUFFT,0,5,0.005092554
ScatterPIFNUFFT,0,6,0.983822572
ScatterPIFNUFFT,0,7,0.005088065
ScatterPIFNUFFT,0,8,1.019779356
ScatterPIFNUFFT,0,9,0.005080981
ScatterPIFNUFFT,0,10,0.971129216
ScatterPIFNUFFT,0,11,0.005092343
ScatterPIFNUFFT,0,12,0.981066113
ScatterPIFNUFFT,0,13,0.005072284
ScatterPIFNUFFT,0,14,1.018795357
ScatterPIFNUFFT,0,15,0.005084918
ScatterPIFNUFFT,0,16,0.983386656
ScatterPIFNUFFT,0,17,0.005075951
ScatterPIFNUFFT,0,18,0.965182766
ScatterPIFNUFFT,0,19,0.005079007
NativeNUFFT1,0,0,0.996515487
NativeNUFFT1,0,1,0.971872495
NativeNUFFT1,0,2,1.002137818
NativeNUFFT1,0,3,0.976328948
NativeNUFFT1,0,4,1.012286875
NativeNUFFT1,0,5,0.963635292
NativeNUFFT1,0,6,0.973502462
NativeNUFFT1,0,7,1.011357683
NativeNUFFT1,0,8,0.975871671
NativeNUFFT1,0,9,0.95769763
scatterTimerNUFFT1,0,0,0.314368718
scatterTimerNUFFT1,0,1,0.312952637
scatterTimerNUFFT1,0,2,0.313843802
scatterTimerNUFFT1,0,3,0.316673754
scatterTimerNUFFT1,0,4,0.314220732
scatterTimerNUFFT1,0,5,0.315509313
scatterTimerNUFFT1,0,6,0.317700666
scatterTimerNUFFT1,0,7,0.315103066
scatterTimerNUFFT1,0,8,0.314194161
scatterTimerNUFFT1,0,9,0.315386947
binSort,0,0,0.029740667
binSort,0,1,0.029707122
binSort,0,2,0.029693229
binSort,0,3,0.029845734
binSort,0,4,0.029707136
binSort,0,5,0.02967312
binSort,0,6,0.029731002
binSort,0,7,0.029634936
binSort,0,8,0.02969386
binSort,0,9,0.029656539
binComputeKeys,0,0,0.002253155
binComputeKeys,0,1,0.002232896
binComputeKeys,0,2,0.00223119
binComputeKeys,0,3,0.002239927
binComputeKeys,0,4,0.002238194
binComputeKeys,0,5,0.002235869
binComputeKeys,0,6,0.00222576
binComputeKeys,0,7,0.002222854
binComputeKeys,0,8,0.002233956
binComputeKeys,0,9,0.002212394
binSortByKey,0,0,0.026850756
binSortByKey,0,1,0.026835917
binSortByKey,0,2,0.026823138
binSortByKey,0,3,0.0269679
binSortByKey,0,4,0.026830132
binSortByKey,0,5,0.026797609
binSortByKey,0,6,0.02686506
binSortByKey,0,7,0.026775536
binSortByKey,0,8,0.026821697
binSortByKey,0,9,0.026807418
binComputeOffsets,0,0,0.000633891
binComputeOffsets,0,1,0.000634843
binComputeOffsets,0,2,0.000635393
binComputeOffsets,0,3,0.000634471
binComputeOffsets,0,4,0.000634672
binComputeOffsets,0,5,0.000636345
binComputeOffsets,0,6,0.000636816
binComputeOffsets,0,7,0.000633069
binComputeOffsets,0,8,0.000634111
binComputeOffsets,0,9,0.000633579
FFTNUFFT1,0,0,0.680106297
FFTNUFFT1,0,1,0.656876341
FFTNUFFT1,0,2,0.686248798
FFTNUFFT1,0,3,0.657604766
FFTNUFFT1,0,4,0.696030242
FFTNUFFT1,0,5,0.646085919
