time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9392772961e+00 5.0024528285e-02
1.2271846300e-02 9.9373451527e+00 5.0019669022e-02
2.4543692600e-02 9.9316648397e+00 5.0005383565e-02
3.6815538900e-02 9.9222426441e+00 4.9981680691e-02
4.9087385200e-02 9.9090857640e+00 4.9948563253e-02
6.1359231500e-02 9.8922044477e+00 4.9906039802e-02
7.3631077800e-02 9.8716131455e+00 4.9854120818e-02
8.5902924100e-02 9.8473295469e+00 4.9792822975e-02
9.8174770400e-02 9.8193732243e+00 4.9722160782e-02
1.1044661670e-01 9.7877679277e+00 4.9642153606e-02
