time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9103070080e+00 4.9941598123e-02
1.2271846300e-02 9.9085881909e+00 4.9937272164e-02
2.4543692600e-02 9.9031298875e+00 4.9923531814e-02
3.6815538900e-02 9.8939384234e+00 4.9900383542e-02
4.9087385200e-02 9.8810252897e+00 4.9867834944e-02
6.1359231500e-02 9.8644003169e+00 4.9825894852e-02
7.3631077800e-02 9.8440721989e+00 4.9774566872e-02
8.5902924100e-02 9.8200648319e+00 4.9713872233e-02
9.8174770400e-02 9.7923951696e+00 4.9643827672e-02
1.1044661670e-01 9.7610818427e+00 4.9564445784e-02
