timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,1.121281115
dumpData,0,0,0.004818946
dumpData,0,1,0.004686489
dumpData,0,2,0.002351185
dumpData,0,3,0.002618214
dumpData,0,4,0.002608945
dumpData,0,5,0.003672601
kick,0,0,0.00017004
kick,0,1,0.000165511
kick,0,2,0.000168087
kick,0,3,0.000166023
kick,0,4,0.000166343
kick,0,5,0.000165702
kick,0,6,0.000278691
kick,0,7,0.000166132
kick,0,8,0.000166483
kick,0,9,0.000165811
kick,0,10,0.000168598
kick,0,11,0.000165311
drift,0,0,0.000160552
drift,0,1,0.000158719
drift,0,2,0.00015961
drift,0,3,0.000161284
drift,0,4,0.000158759
drift,0,5,0.000159099
particleBC,0,0,0.000455755
particleBC,0,1,0.000456276
particleBC,0,2,0.0004579
particleBC,0,3,0.000456076
particleBC,0,4,0.000455886
particleBC,0,5,0.000454683
updateParticle,0,0,0.007638079
updateParticle,0,1,0.007964403
updateParticle,0,2,0.007753955
updateParticle,0,3,0.008169782
updateParticle,0,4,0.006064044
updateParticle,0,5,0.006724325
locateParticles,0,0,0.000860039
locateParticles,0,1,0.000854569
locateParticles,0,2,0.000861001
locateParticles,0,3,0.000853778
locateParticles,0,4,0.000856152
locateParticles,0,5,0.000861302
sendPreprocess,0,0,0.000539207
sendPreprocess,0,1,0.000591458
sendPreprocess,0,2,0.000577231
sendPreprocess,0,3,0.00066925
sendPreprocess,0,4,0.000572081
sendPreprocess,0,5,0.000693827
particleSend,0,0,0.00182351
particleSend,0,1,0.001414366
particleSend,0,2,0.001440958
particleSend,0,3,0.001470495
particleSend,0,4,0.00141107
particleSend,0,5,0.001656096
particleRecv,0,0,0.000117007
particleRecv,0,1,7.737e-05
particleRecv,0,2,7.5727e-05
particleRecv,0,3,7.7731e-05
particleRecv,0,4,7.7992e-05
particleRecv,0,5,7.8833e-05
particleDestroy,0,0,0.001618603
particleDestroy,0,1,0.001613633
particleDestroy,0,2,0.001616388
particleDestroy,0,3,0.001606589
particleDestroy,0,4,0.001612581
particleDestroy,0,5,0.001613172
ScatterPIFNUFFT,0,0,0.039611297
ScatterPIFNUFFT,0,1,0.000157766
ScatterPIFNUFFT,0,2,0.037013663
ScatterPIFNUFFT,0,3,0.000157045
ScatterPIFNUFFT,0,4,0.034640455
ScatterPIFNUFFT,0,5,0.000156775
ScatterPIFNUFFT,0,6,0.033688037
ScatterPIFNUFFT,0,7,0.000157596
ScatterPIFNUFFT,0,8,0.035818973
ScatterPIFNUFFT,0,9,0.000156754
ScatterPIFNUFFT,0,10,0.035989836
ScatterPIFNUFFT,0,11,0.000156103
NativeNUFFT1,0,0,0.039234575
NativeNUFFT1,0,1,0.03664176
NativeNUFFT1,0,2,0.034265748
NativeNUFFT1,0,3,0.033306195
NativeNUFFT1,0,4,0.035439716
NativeNUFFT1,0,5,0.035610108
scatterTimerNUFFT1,0,0,0.01161941
scatterTimerNUFFT1,0,1,0.011322383
scatterTimerNUFFT1,0,2,0.011648135
scatterTimerNUFFT1,0,3,0.010359524
scatterTimerNUFFT1,0,4,0.012213804
scatterTimerNUFFT1,0,5,0.011708021
binSort,0,0,0.001343468
binSort,0,1,0.001350943
binSort,0,2,0.001341845
binSort,0,3,0.001336626
binSort,0,4,0.001341575
binSort,0,5,0.001316897
binComputeKeys,0,0,8.9083e-05
binComputeKeys,0,1,8.9795e-05
binComputeKeys,0,2,8.9774e-05
binComputeKeys,0,3,8.9483e-05
binComputeKeys,0,4,9.0596e-05
binComputeKeys,0,5,9.0215e-05
binSortByKey,0,0,0.001200371
binSortByKey,0,1,0.001204268
binSortByKey,0,2,0.001194068
binSortByKey,0,3,0.001189459
binSortByKey,0,4,0.001192816
binSortByKey,0,5,0.00116911
binComputeOffsets,0,0,5.128e-05
binComputeOffsets,0,1,5.3625e-05
binComputeOffsets,0,2,5.4707e-05
binComputeOffsets,0,3,5.4395e-05
binComputeOffsets,0,4,5.4536e-05
binComputeOffsets,0,5,5.4225e-05
FFTNUFFT1,0,0,0.027532845
FFTNUFFT1,0,1,0.025237309
FFTNUFFT1,0,2,0.022534371
FFTNUFFT1,0,3,0.022864803
FFTNUFFT1,0,4,0.023143273
FFTNUFFT1,0,5,0.023820428
deconvolutionNUFFT1,0,0,7.9064e-05
deconvolutionNUFFT1,0,1,7.8783e-05
deconvolutionNUFFT1,0,2,7.9915e-05
deconvolutionNUFFT1,0,3,7.8592e-05
deconvolutionNUFFT1,0,4,7.9144e-05
deconvolutionNUFFT1,0,5,7.8402e-05
GatherPIFNUFFT,0,0,0.144034707
GatherPIFNUFFT,0,1,0.132632669
GatherPIFNUFFT,0,2,0.136743852
GatherPIFNUFFT,0,3,0.141024963
GatherPIFNUFFT,0,4,0.139183889
GatherPIFNUFFT,0,5,0.136795872
NativeNUFFT2,0,0,0.054931521
NativeNUFFT2,0,1,0.042287693
NativeNUFFT2,0,2,0.045158606
NativeNUFFT2,0,3,0.044320018
NativeNUFFT2,0,4,0.04365098
NativeNUFFT2,0,5,0.043000025
NativeNUFFT2,0,6,0.049240452
NativeNUFFT2,0,7,0.043049421
NativeNUFFT2,0,8,0.042796741
NativeNUFFT2,0,9,0.051189546
NativeNUFFT2,0,10,0.044924482
NativeNUFFT2,0,11,0.043385444
NativeNUFFT2,0,12,0.049276792
NativeNUFFT2,0,13,0.043343974
NativeNUFFT2,0,14,0.045035297
NativeNUFFT2,0,15,0.050544414
NativeNUFFT2,0,16,0.042722877
NativeNUFFT2,0,17,0.041873849
