timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,24.11721485
dumpData,0,0,0.016637704
dumpData,0,1,0.016178822
dumpData,0,2,0.015345691
dumpData,0,3,0.015836937
dumpData,0,4,0.015420556
dumpData,0,5,0.01543273
dumpData,0,6,0.015663879
dumpData,0,7,0.016804833
dumpData,0,8,0.016525299
dumpData,0,9,0.014468819
kick,0,0,0.002300666
kick,0,1,0.002392414
kick,0,2,0.002290877
kick,0,3,0.00238527
kick,0,4,0.002294452
kick,0,5,0.002386983
kick,0,6,0.002328379
kick,0,7,0.00239101
kick,0,8,0.002306617
kick,0,9,0.002422533
kick,0,10,0.0022981
kick,0,11,0.002390439
kick,0,12,0.00234465
kick,0,13,0.002399948
kick,0,14,0.002309071
kick,0,15,0.002398957
kick,0,16,0.002300315
kick,0,17,0.002398957
kick,0,18,0.002305195
kick,0,19,0.00238551
drift,0,0,0.002283201
drift,0,1,0.002269955
drift,0,2,0.002271298
drift,0,3,0.002266088
drift,0,4,0.002285095
drift,0,5,0.002260888
drift,0,6,0.00227755
drift,0,7,0.002291928
drift,0,8,0.002274946
drift,0,9,0.002270097
particleBC,0,0,0.006574949
particleBC,0,1,0.006625688
particleBC,0,2,0.006640106
particleBC,0,3,0.006593695
particleBC,0,4,0.006623925
particleBC,0,5,0.006655406
particleBC,0,6,0.006606651
particleBC,0,7,0.006630478
particleBC,0,8,0.006621863
particleBC,0,9,0.006608556
updateParticle,0,0,0.024483635
updateParticle,0,1,0.024562569
updateParticle,0,2,0.025019186
updateParticle,0,3,0.024542309
updateParticle,0,4,0.02425429
updateParticle,0,5,0.024179945
updateParticle,0,6,0.023998442
updateParticle,0,7,0.024519074
updateParticle,0,8,0.024588606
updateParticle,0,9,0.024108402
locateParticles,0,0,0.006312649
locateParticles,0,1,0.006299053
locateParticles,0,2,0.006305044
locateParticles,0,3,0.00631831
locateParticles,0,4,0.006306699
locateParticles,0,5,0.006336977
locateParticles,0,6,0.006522938
locateParticles,0,7,0.006288162
locateParticles,0,8,0.006332048
locateParticles,0,9,0.006290087
sendPreprocess,0,0,0.001369704
sendPreprocess,0,1,0.001255543
sendPreprocess,0,2,0.001252397
sendPreprocess,0,3,0.00129586
sendPreprocess,0,4,0.001344546
sendPreprocess,0,5,0.001355026
sendPreprocess,0,6,0.001039031
sendPreprocess,0,7,0.001330408
sendPreprocess,0,8,0.001203792
sendPreprocess,0,9,0.001340979
particleSend,0,0,0.001736769
particleSend,0,1,0.002642239
particleSend,0,2,0.001729224
particleSend,0,3,0.001725697
particleSend,0,4,0.001736408
particleSend,0,5,0.001741157
particleSend,0,6,0.001723803
particleSend,0,7,0.002619105
particleSend,0,8,0.001739384
particleSend,0,9,0.001790553
particleRecv,0,0,2.9247e-05
particleRecv,0,1,3.6441e-05
particleRecv,0,2,3.0238e-05
particleRecv,0,3,2.8816e-05
particleRecv,0,4,3.2534e-05
particleRecv,0,5,3.2353e-05
particleRecv,0,6,3.2603e-05
particleRecv,0,7,3.3335e-05
particleRecv,0,8,3.3475e-05
particleRecv,0,9,3.054e-05
particleDestroy,0,0,0.012707899
particleDestroy,0,1,0.013003203
particleDestroy,0,2,0.012714682
particleDestroy,0,3,0.012743158
particleDestroy,0,4,0.012706817
particleDestroy,0,5,0.012721355
particleDestroy,0,6,0.012707889
particleDestroy,0,7,0.012793737
particleDestroy,0,8,0.012756718
particleDestroy,0,9,0.01279884
ScatterPIFNUFFT,0,0,0.398952401
ScatterPIFNUFFT,0,1,0.002510513
ScatterPIFNUFFT,0,2,0.389855786
ScatterPIFNUFFT,0,3,0.002515253
ScatterPIFNUFFT,0,4,0.405476392
ScatterPIFNUFFT,0,5,0.00250355
ScatterPIFNUFFT,0,6,0.39332246
ScatterPIFNUFFT,0,7,0.002502618
ScatterPIFNUFFT,0,8,0.396209818
ScatterPIFNUFFT,0,9,0.002514882
ScatterPIFNUFFT,0,10,0.402980197
ScatterPIFNUFFT,0,11,0.002504752
ScatterPIFNUFFT,0,12,0.388731067
ScatterPIFNUFFT,0,13,0.002509201
ScatterPIFNUFFT,0,14,0.405259571
ScatterPIFNUFFT,0,15,0.002507618
ScatterPIFNUFFT,0,16,0.390022505
ScatterPIFNUFFT,0,17,0.002511375
ScatterPIFNUFFT,0,18,0.399153478
ScatterPIFNUFFT,0,19,0.002515063
NativeNUFFT1,0,0,0.39520963
NativeNUFFT1,0,1,0.386058199
NativeNUFFT1,0,2,0.40173821
NativeNUFFT1,0,3,0.389604047
NativeNUFFT1,0,4,0.39245794
NativeNUFFT1,0,5,0.399230864
NativeNUFFT1,0,6,0.38496942
NativeNUFFT1,0,7,0.401525187
NativeNUFFT1,0,8,0.386291475
NativeNUFFT1,0,9,0.395390978
scatterTimerNUFFT1,0,0,0.160801601
scatterTimerNUFFT1,0,1,0.158582033
scatterTimerNUFFT1,0,2,0.158809886
scatterTimerNUFFT1,0,3,0.161124129
scatterTimerNUFFT1,0,4,0.159044124
scatterTimerNUFFT1,0,5,0.159129939
scatterTimerNUFFT1,0,6,0.159939475
scatterTimerNUFFT1,0,7,0.160262342
scatterTimerNUFFT1,0,8,0.158740874
scatterTimerNUFFT1,0,9,0.158450408
binSort,0,0,0.014623204
binSort,0,1,0.014627644
binSort,0,2,0.014673042
binSort,0,3,0.014647583
binSort,0,4,0.014662702
binSort,0,5,0.014681668
binSort,0,6,0.01464123
binSort,0,7,0.014628335
binSort,0,8,0.014669027
binSort,0,9,0.014643368
binComputeKeys,0,0,0.001173412
binComputeKeys,0,1,0.001170668
binComputeKeys,0,2,0.001161099
binComputeKeys,0,3,0.001169315
binComputeKeys,0,4,0.001169495
binComputeKeys,0,5,0.001171358
binComputeKeys,0,6,0.001175055
binComputeKeys,0,7,0.001174525
binComputeKeys,0,8,0.001159356
binComputeKeys,0,9,0.001168844
binSortByKey,0,0,0.013110713
binSortByKey,0,1,0.013120522
binSortByKey,0,2,0.013174117
binSortByKey,0,3,0.013143527
binSortByKey,0,4,0.01315529
binSortByKey,0,5,0.013168756
binSortByKey,0,6,0.013129409
binSortByKey,0,7,0.013116404
binSortByKey,0,8,0.013173127
binSortByKey,0,9,0.013137798
binComputeOffsets,0,0,0.000336344
binComputeOffsets,0,1,0.000333288
binComputeOffsets,0,2,0.000334691
binComputeOffsets,0,3,0.000331905
binComputeOffsets,0,4,0.000334762
binComputeOffsets,0,5,0.000338358
binComputeOffsets,0,6,0.00033385
binComputeOffsets,0,7,0.000334501
binComputeOffsets,0,8,0.000332557
binComputeOffsets,0,9,0.000333839
FFTNUFFT1,0,0,0.233603865
FFTNUFFT1,0,1,0.226670599
FFTNUFFT1,0,2,0.24211946
FFTNUFFT1,0,3,0.227685725
FFTNUFFT1,0,4,0.232600905
FFTNUFFT1,0,5,0.239281831
FFTNUFFT1,0,6,0.224227545
FFTNUFFT1,0,7,0.240443872
FFTNUFFT1,0,8,0.226736297
FFTNUFFT1,0,9,0.236129361
deconvolutionNUFFT1,0,0,0.000800958
