num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
64,1024,8589934592,type1,0,5141.246262
64,1024,8589934592,type1,1,5157.124622
64,1024,8589934592,type1,2,5137.513396
64,1024,8589934592,type1,3,5137.884368
64,1024,8589934592,type1,4,5146.454539
64,1024,8589934592,type1,5,5138.332241
64,1024,8589934592,type1,6,5145.470519
64,1024,8589934592,type1,7,5137.560467
64,1024,8589934592,type1,8,5150.591948
64,1024,8589934592,type1,9,5152.108957
64,1024,8589934592,type2,0,1545.742906
64,1024,8589934592,type2,1,1549.025881
64,1024,8589934592,type2,2,1547.799022
64,1024,8589934592,type2,3,1550.781181
64,1024,8589934592,type2,4,1551.881118
64,1024,8589934592,type2,5,1543.432092
64,1024,8589934592,type2,6,1544.543119
64,1024,8589934592,type2,7,1543.027348
64,1024,8589934592,type2,8,1548.491267
64,1024,8589934592,type2,9,1546.956348
