num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
256,512,1073741824,type1,0,214.740100
256,512,1073741824,type1,1,204.447643
256,512,1073741824,type1,2,201.681660
256,512,1073741824,type1,3,200.776383
256,512,1073741824,type1,4,202.183090
256,512,1073741824,type1,5,200.008863
256,512,1073741824,type1,6,199.105914
256,512,1073741824,type1,7,199.270881
256,512,1073741824,type1,8,200.687644
256,512,1073741824,type1,9,199.299882
256,512,1073741824,type2,0,94.396532
256,512,1073741824,type2,1,92.800272
256,512,1073741824,type2,2,92.301612
256,512,1073741824,type2,3,86.491538
256,512,1073741824,type2,4,90.236491
256,512,1073741824,type2,5,83.302291
256,512,1073741824,type2,6,83.984663
256,512,1073741824,type2,7,86.717098
256,512,1073741824,type2,8,87.367430
256,512,1073741824,type2,9,84.915622
