time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9039048727e+00 4.9884613522e-02
1.2271846300e-02 9.9018301361e+00 4.9879362513e-02
2.4543692600e-02 9.8960093420e+00 4.9864693627e-02
3.6815538900e-02 9.8864617837e+00 4.9840636601e-02
4.9087385200e-02 9.8732130132e+00 4.9807217205e-02
6.1359231500e-02 9.8562551268e+00 4.9764404848e-02
7.3631077800e-02 9.8356126402e+00 4.9712254660e-02
8.5902924100e-02 9.8112917395e+00 4.9650732022e-02
9.8174770400e-02 9.7833300514e+00 4.9579895089e-02
1.1044661670e-01 9.7517311838e+00 4.9499719477e-02
1.2271846300e-01 9.7165423849e+00 4.9410269049e-02
1.3499030930e-01 9.6777777260e+00 4.9311537417e-02
1.4726215560e-01 9.6354801881e+00 4.9203567493e-02
1.5953400190e-01 9.5896808314e+00 4.9086381522e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.8907031007e+00 4.9877101366e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.8907031007e+00 4.9877101366e-02
1.2271846300e-02 9.8886243609e+00 4.9871851982e-02
2.4543692600e-02 9.8828096126e+00 4.9857187822e-02
3.6815538900e-02 9.8732731600e+00 4.9833138602e-02
4.9087385200e-02 9.8600316152e+00 4.9799730107e-02
6.1359231500e-02 9.8430804109e+00 4.9756931726e-02
7.3631077800e-02 9.8224523072e+00 4.9704798596e-02
8.5902924100e-02 9.7981467928e+00 4.9643296124e-02
9.8174770400e-02 9.7702010532e+00 4.9572482331e-02
1.1044661670e-01 9.7386206719e+00 4.9492332965e-02
1.2271846300e-01 9.7034486636e+00 4.9402911776e-02
1.3499030930e-01 9.6647021152e+00 4.9304212416e-02
1.4726215560e-01 9.6224210075e+00 4.9196277847e-02
1.5953400190e-01 9.5766374897e+00 4.9079130186e-02
