timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,12.449024069
dumpData,0,0,0.007618524
dumpData,0,1,0.005769854
dumpData,0,2,0.004800256
dumpData,0,3,0.006326051
dumpData,0,4,0.00535993
dumpData,0,5,0.005143411
dumpData,0,6,0.004861245
dumpData,0,7,0.005285386
dumpData,0,8,0.005037486
dumpData,0,9,0.005085579
kick,0,0,0.001231123
kick,0,1,0.00119764
kick,0,2,0.001223109
kick,0,3,0.001220744
kick,0,4,0.001239911
kick,0,5,0.001189443
kick,0,6,0.001238388
kick,0,7,0.001221476
kick,0,8,0.001229922
kick,0,9,0.001223099
kick,0,10,0.001240543
kick,0,11,0.001222838
kick,0,12,0.00121882
kick,0,13,0.001224832
kick,0,14,0.001241214
kick,0,15,0.001211576
kick,0,16,0.001231776
kick,0,17,0.001199052
kick,0,18,0.001234681
kick,0,19,0.001211146
drift,0,0,0.00119329
drift,0,1,0.001147732
drift,0,2,0.001188361
drift,0,3,0.001204172
drift,0,4,0.001169845
drift,0,5,0.001220243
drift,0,6,0.001195756
drift,0,7,0.001193982
drift,0,8,0.001220484
drift,0,9,0.001200475
particleBC,0,0,0.00337332
particleBC,0,1,0.003400285
particleBC,0,2,0.003404293
particleBC,0,3,0.003414593
particleBC,0,4,0.003370467
particleBC,0,5,0.003372812
particleBC,0,6,0.003403582
particleBC,0,7,0.00337684
particleBC,0,8,0.003387671
particleBC,0,9,0.00339219
updateParticle,0,0,0.016111143
updateParticle,0,1,0.016059852
updateParticle,0,2,0.016791027
updateParticle,0,3,0.016149305
updateParticle,0,4,0.016070101
updateParticle,0,5,0.015448768
updateParticle,0,6,0.015699994
updateParticle,0,7,0.015740403
updateParticle,0,8,0.01561478
updateParticle,0,9,0.016216265
locateParticles,0,0,0.003619606
locateParticles,0,1,0.003606926
locateParticles,0,2,0.003642233
locateParticles,0,3,0.003612215
locateParticles,0,4,0.003616875
locateParticles,0,5,0.003634419
locateParticles,0,6,0.003644458
locateParticles,0,7,0.003637845
locateParticles,0,8,0.003636011
locateParticles,0,9,0.003636682
sendPreprocess,0,0,0.001125348
sendPreprocess,0,1,0.001048581
sendPreprocess,0,2,0.000967443
sendPreprocess,0,3,0.001137422
sendPreprocess,0,4,0.00100638
sendPreprocess,0,5,0.000946453
sendPreprocess,0,6,0.001036868
sendPreprocess,0,7,0.001185906
sendPreprocess,0,8,0.001033301
sendPreprocess,0,9,0.00093984
particleSend,0,0,0.002723462
particleSend,0,1,0.002682124
particleSend,0,2,0.001794054
particleSend,0,3,0.001801098
particleSend,0,4,0.001799676
particleSend,0,5,0.001931411
particleSend,0,6,0.001800657
particleSend,0,7,0.001854822
particleSend,0,8,0.00180704
particleSend,0,9,0.002820532
particleRecv,0,0,4.7171e-05
particleRecv,0,1,4.7652e-05
particleRecv,0,2,4.5318e-05
particleRecv,0,3,5.3043e-05
particleRecv,0,4,5.3965e-05
particleRecv,0,5,4.5959e-05
particleRecv,0,6,4.7802e-05
particleRecv,0,7,5.0839e-05
particleRecv,0,8,5.3083e-05
particleRecv,0,9,4.9756e-05
particleDestroy,0,0,0.007155499
particleDestroy,0,1,0.007244139
particleDestroy,0,2,0.007180356
particleDestroy,0,3,0.007166629
particleDestroy,0,4,0.007144156
particleDestroy,0,5,0.007180305
particleDestroy,0,6,0.007132021
particleDestroy,0,7,0.007214823
particleDestroy,0,8,0.007180886
particleDestroy,0,9,0.007328643
ScatterPIFNUFFT,0,0,0.21891151
ScatterPIFNUFFT,0,1,0.001259608
ScatterPIFNUFFT,0,2,0.215101717
ScatterPIFNUFFT,0,3,0.001262174
ScatterPIFNUFFT,0,4,0.209136355
ScatterPIFNUFFT,0,5,0.0012597
ScatterPIFNUFFT,0,6,0.214651295
ScatterPIFNUFFT,0,7,0.001254048
ScatterPIFNUFFT,0,8,0.218134822
ScatterPIFNUFFT,0,9,0.001261393
ScatterPIFNUFFT,0,10,0.217043719
