timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,34.002872156
dumpData,0,0,0.026178483
dumpData,0,1,0.013567672
dumpData,0,2,0.013333807
dumpData,0,3,0.013250085
dumpData,0,4,0.013382833
dumpData,0,5,0.013321633
kick,0,0,0.004863628
kick,0,1,0.004845402
kick,0,2,0.004813701
kick,0,3,0.00483456
kick,0,4,0.00489035
kick,0,5,0.004909527
kick,0,6,0.00484948
kick,0,7,0.004822226
kick,0,8,0.004793
kick,0,9,0.004846214
kick,0,10,0.004868717
kick,0,11,0.00482598
drift,0,0,0.004611336
drift,0,1,0.004635894
drift,0,2,0.004824912
drift,0,3,0.004791888
drift,0,4,0.004780395
drift,0,5,0.004809241
particleBC,0,0,0.013848338
particleBC,0,1,0.013694799
particleBC,0,2,0.013942271
particleBC,0,3,0.013994382
particleBC,0,4,0.014019851
particleBC,0,5,0.014130036
updateParticle,0,0,0.065668322
updateParticle,0,1,0.065875404
updateParticle,0,2,0.064070495
updateParticle,0,3,0.063661469
updateParticle,0,4,0.063403437
updateParticle,0,5,0.062193024
locateParticles,0,0,0.016435388
locateParticles,0,1,0.016407113
locateParticles,0,2,0.016516436
locateParticles,0,3,0.01649275
locateParticles,0,4,0.016470476
locateParticles,0,5,0.016438084
sendPreprocess,0,0,0.003900935
sendPreprocess,0,1,0.004202191
sendPreprocess,0,2,0.003532559
sendPreprocess,0,3,0.003584349
sendPreprocess,0,4,0.003660738
sendPreprocess,0,5,0.00339996
particleSend,0,0,0.007542396
particleSend,0,1,0.005530534
particleSend,0,2,0.004664911
particleSend,0,3,0.007367786
particleSend,0,4,0.005641079
particleSend,0,5,0.004761479
particleRecv,0,0,6.3744e-05
particleRecv,0,1,6.6188e-05
particleRecv,0,2,6.8002e-05
particleRecv,0,3,6.4996e-05
particleRecv,0,4,6.2672e-05
particleRecv,0,5,6.2812e-05
particleDestroy,0,0,0.033280453
particleDestroy,0,1,0.033306574
particleDestroy,0,2,0.033356553
particleDestroy,0,3,0.033305583
particleDestroy,0,4,0.033347354
particleDestroy,0,5,0.033396679
ScatterPIFNUFFT,0,0,0.911980357
ScatterPIFNUFFT,0,1,0.005097051
ScatterPIFNUFFT,0,2,0.932682161
ScatterPIFNUFFT,0,3,0.005079728
ScatterPIFNUFFT,0,4,0.923937387
ScatterPIFNUFFT,0,5,0.005100458
ScatterPIFNUFFT,0,6,0.927410311
ScatterPIFNUFFT,0,7,0.005080359
ScatterPIFNUFFT,0,8,0.917856102
ScatterPIFNUFFT,0,9,0.005071321
ScatterPIFNUFFT,0,10,0.940732074
ScatterPIFNUFFT,0,11,0.005085268
NativeNUFFT1,0,0,0.904487237
NativeNUFFT1,0,1,0.925195764
NativeNUFFT1,0,2,0.916431482
NativeNUFFT1,0,3,0.91990139
NativeNUFFT1,0,4,0.910351669
NativeNUFFT1,0,5,0.933249023
scatterTimerNUFFT1,0,0,0.227674121
scatterTimerNUFFT1,0,1,0.227890801
scatterTimerNUFFT1,0,2,0.229307305
scatterTimerNUFFT1,0,3,0.229852435
scatterTimerNUFFT1,0,4,0.227664049
