method,value_type,kernel_width,rho,best_tile_x,best_tile_y,best_tile_z,best_team_size,best_oversubscription_factor,best_z_batches,throughput_Mpts_s,time_ms,kernel_evaluations,preflight_rejections
Tiled,complex,2,1.0000,8,8,5,64,8,1,715.65,2.9304,82,0
OutputFocused,complex,2,1.0000,7,5,4,32,1,23,576.27,3.6392,87,0
Tiled,real,2,1.0000,8,8,8,64,3,1,856.99,2.4471,82,0
OutputFocused,real,2,1.0000,7,4,8,32,1,32,676.04,3.1021,85,0
Tiled,complex,3,1.0000,8,8,5,64,4,1,590.47,3.5517,82,0
OutputFocused,complex,3,1.0000,8,4,4,64,1,32,370.24,5.6643,85,0
Tiled,real,3,1.0000,8,8,6,64,7,1,783.91,2.6752,87,0
OutputFocused,real,3,1.0000,6,4,5,32,1,22,519.54,4.0365,87,0
Tiled,complex,4,1.0000,8,5,5,64,2,1,434.71,4.8243,97,0
OutputFocused,complex,4,1.0000,8,3,4,64,1,32,332.89,6.2999,87,0
Tiled,real,4,1.0000,8,6,8,64,3,1,651.90,3.2170,83,0
OutputFocused,real,4,1.0000,5,7,5,64,1,26,488.88,4.2897,95,0
Tiled,complex,5,1.0000,4,5,5,64,8,1,277.51,7.5571,87,0
OutputFocused,complex,5,1.0000,6,8,4,128,1,32,209.05,10.0320,86,0
Tiled,real,5,1.0000,8,6,5,64,6,1,436.55,4.8039,84,0
OutputFocused,real,5,1.0000,6,8,5,128,1,32,326.19,6.4292,83,0
Tiled,complex,6,1.0000,8,5,4,64,4,1,181.22,11.5723,92,0
OutputFocused,complex,6,1.0000,6,7,4,256,1,32,190.74,10.9950,118,0
Tiled,real,6,1.0000,8,6,6,64,6,1,319.40,6.5658,92,0
OutputFocused,real,6,1.0000,6,8,4,256,1,32,266.55,7.8678,86,0
Tiled,complex,7,1.0000,3,6,5,64,8,1,93.68,22.3855,91,0
OutputFocused,complex,7,1.0000,7,6,7,512,1,32,97.22,21.5719,87,1
Tiled,real,7,1.0000,5,6,6,64,1,1,188.31,11.1367,86,0
OutputFocused,real,7,1.0000,5,5,8,512,1,32,164.11,12.7791,85,0
Tiled,complex,8,1.0000,6,6,6,64,2,1,39.77,52.7352,81,0
OutputFocused,complex,8,1.0000,7,7,5,512,1,32,66.09,31.7313,82,2
Tiled,real,8,1.0000,8,7,5,64,8,1,130.80,16.0329,84,0
OutputFocused,real,8,1.0000,5,8,5,512,1,32,114.16,18.3696,84,0
Tiled,complex,9,1.0000,5,5,5,64,1,1,26.50,79.1515,81,0
OutputFocused,complex,9,1.0000,3,5,5,256,1,32,33.94,61.7845,89,3
Tiled,real,9,1.0000,5,6,6,64,5,1,92.75,22.6098,86,0
OutputFocused,real,9,1.0000,5,5,3,128,1,32,57.67,36.3669,86,0
Tiled,complex,10,1.0000,4,3,4,64,2,1,16.70,125.5424,84,0
OutputFocused,complex,10,1.0000,3,5,5,256,1,32,27.68,75.7670,82,2
Tiled,real,10,1.0000,5,5,4,64,6,1,41.73,50.2549,87,0
OutputFocused,real,10,1.0000,8,8,8,512,1,32,42.49,49.3606,81,0
Atomic,complex,2,1.0000,1,1,1,64,4,1,229.80,9.1258,0,0
Atomic,real,2,1.0000,1,1,1,64,4,1,481.22,4.3580,0,0
Atomic,complex,3,1.0000,1,1,1,64,4,1,115.77,18.1150,0,0
Atomic,real,3,1.0000,1,1,1,64,4,1,289.08,7.2547,0,0
Atomic,complex,4,1.0000,1,1,1,64,4,1,96.38,21.7598,0,0
Atomic,real,4,1.0000,1,1,1,64,4,1,177.87,11.7907,0,0
Atomic,complex,5,1.0000,1,1,1,64,4,1,59.91,35.0072,0,0
Atomic,real,5,1.0000,1,1,1,64,4,1,116.69,17.9721,0,0
Atomic,complex,6,1.0000,1,1,1,64,4,1,32.39,64.7443,0,0
Atomic,real,6,1.0000,1,1,1,64,4,1,81.40,25.7639,0,0
Atomic,complex,7,1.0000,1,1,1,64,4,1,23.34,89.8335,0,0
Atomic,real,7,1.0000,1,1,1,64,4,1,60.16,34.8605,0,0
Atomic,complex,8,1.0000,1,1,1,64,4,1,19.01,110.2929,0,0
Atomic,real,8,1.0000,1,1,1,64,4,1,46.21,45.3865,0,0
Atomic,complex,9,1.0000,1,1,1,64,4,1,13.04,160.8009,0,0
Atomic,real,9,1.0000,1,1,1,64,4,1,34.46,60.8567,0,0
Atomic,complex,10,1.0000,1,1,1,64,4,1,8.92,235.0385,0,0
Atomic,real,10,1.0000,1,1,1,64,4,1,26.59,78.8678,0,0
