timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,37.522599618
dumpData,0,0,0.030112361
dumpData,0,1,0.028656691
dumpData,0,2,0.027500276
dumpData,0,3,0.027759404
dumpData,0,4,0.028000837
dumpData,0,5,0.025306418
dumpData,0,6,0.025421199
dumpData,0,7,0.026496177
dumpData,0,8,0.027610353
dumpData,0,9,0.024627621
kick,0,0,4.9247e-05
kick,0,1,1.0656e-05
kick,0,2,5.3439e-05
kick,0,3,1.3311e-05
kick,0,4,4.9119e-05
kick,0,5,1.0688e-05
kick,0,6,3.4911e-05
kick,0,7,1.1392e-05
kick,0,8,5.2542e-05
kick,0,9,9.824e-06
kick,0,10,4.9182e-05
kick,0,11,9.728e-06
kick,0,12,5.1742e-05
kick,0,13,1.0528e-05
kick,0,14,5.2863e-05
kick,0,15,9.983e-06
kick,0,16,5.4047e-05
kick,0,17,9.983e-06
kick,0,18,4.9886e-05
kick,0,19,9.408e-06
drift,0,0,9.888e-06
drift,0,1,6.527e-06
drift,0,2,7.135e-06
drift,0,3,5.792e-06
drift,0,4,7.424e-06
drift,0,5,6.464e-06
drift,0,6,8.128e-06
drift,0,7,8.064e-06
drift,0,8,7.583e-06
drift,0,9,7.392e-06
particleBC,0,0,1.1487e-05
particleBC,0,1,9.824e-06
particleBC,0,2,1.2256e-05
particleBC,0,3,1.1552e-05
particleBC,0,4,1.2256e-05
particleBC,0,5,9.984e-06
particleBC,0,6,1.1008e-05
particleBC,0,7,1.2095e-05
particleBC,0,8,9.792e-06
particleBC,0,9,1.1104e-05
updateParticle,0,0,0.245688102
updateParticle,0,1,0.246609002
updateParticle,0,2,0.542139593
updateParticle,0,3,0.246790214
updateParticle,0,4,0.029986381
updateParticle,0,5,0.247748745
updateParticle,0,6,0.029817298
updateParticle,0,7,0.245784545
updateParticle,0,8,0.029960814
updateParticle,0,9,0.03001502
locateParticles,0,0,0.015267695
locateParticles,0,1,0.015223728
locateParticles,0,2,0.015236048
locateParticles,0,3,0.015235504
locateParticles,0,4,0.015219664
locateParticles,0,5,0.015243567
locateParticles,0,6,0.015210032
locateParticles,0,7,0.015230768
locateParticles,0,8,0.015232528
locateParticles,0,9,0.015220016
sendPreprocess,0,0,0.000503762
sendPreprocess,0,1,0.000515409
sendPreprocess,0,2,0.000559664
sendPreprocess,0,3,0.000535248
sendPreprocess,0,4,0.000530129
sendPreprocess,0,5,0.000540049
sendPreprocess,0,6,0.000546033
sendPreprocess,0,7,0.000511474
sendPreprocess,0,8,0.000486514
sendPreprocess,0,9,0.000517041
particleSend,0,0,0.001943209
particleSend,0,1,0.001974376
particleSend,0,2,0.002004807
particleSend,0,3,0.002161603
particleSend,0,4,0.001901738
particleSend,0,5,0.001922378
particleSend,0,6,0.001858827
particleSend,0,7,0.001955113
particleSend,0,8,0.001959529
particleSend,0,9,0.001952745
particleRecv,0,0,4.3903e-05
particleRecv,0,1,3.9647e-05
particleRecv,0,2,4.1119e-05
particleRecv,0,3,3.5711e-05
particleRecv,0,4,4.403e-05
particleRecv,0,5,3.8303e-05
particleRecv,0,6,4.2111e-05
particleRecv,0,7,4.2015e-05
particleRecv,0,8,3.8239e-05
particleRecv,0,9,4.8638e-05
particleDestroy,0,0,0.010493238
particleDestroy,0,1,0.010497718
particleDestroy,0,2,0.010488086
particleDestroy,0,3,0.010461271
particleDestroy,0,4,0.010493559
particleDestroy,0,5,0.010483191
particleDestroy,0,6,0.010506486
particleDestroy,0,7,0.010513749
particleDestroy,0,8,0.010574996
particleDestroy,0,9,0.010557045
ScatterPIFNUFFT,0,0,1.526772199
ScatterPIFNUFFT,0,1,2.2143e-05
ScatterPIFNUFFT,0,2,1.484519158
ScatterPIFNUFFT,0,3,1.5872e-05
ScatterPIFNUFFT,0,4,1.059027456
ScatterPIFNUFFT,0,5,1.488e-05
ScatterPIFNUFFT,0,6,1.143517249
ScatterPIFNUFFT,0,7,2.5376e-05
ScatterPIFNUFFT,0,8,1.583635834
ScatterPIFNUFFT,0,9,3.2448e-05
ScatterPIFNUFFT,0,10,1.176186915
ScatterPIFNUFFT,0,11,5.2862e-05
ScatterPIFNUFFT,0,12,1.465064126
ScatterPIFNUFFT,0,13,3.1679e-05
ScatterPIFNUFFT,0,14,1.295954525
ScatterPIFNUFFT,0,15,1.5039e-05
ScatterPIFNUFFT,0,16,1.400424264
ScatterPIFNUFFT,0,17,3.1423e-05
ScatterPIFNUFFT,0,18,1.360588818
ScatterPIFNUFFT,0,19,4.6911e-05
NativeNUFFT1,0,0,1.511623413
NativeNUFFT1,0,1,1.469165769
NativeNUFFT1,0,2,1.043717394
NativeNUFFT1,0,3,1.131574228
NativeNUFFT1,0,4,1.568377162
NativeNUFFT1,0,5,1.160952724
NativeNUFFT1,0,6,1.453087538
NativeNUFFT1,0,7,1.281377627
NativeNUFFT1,0,8,1.384944832
NativeNUFFT1,0,9,1.345446495
scatterTimerNUFFT1,0,0,0.990640084
scatterTimerNUFFT1,0,1,0.931663453
scatterTimerNUFFT1,0,2,0.49819124
scatterTimerNUFFT1,0,3,0.606362507
scatterTimerNUFFT1,0,4,1.048588647
scatterTimerNUFFT1,0,5,0.616825124
scatterTimerNUFFT1,0,6,0.951500842
scatterTimerNUFFT1,0,7,0.737483907
scatterTimerNUFFT1,0,8,0.862941243
scatterTimerNUFFT1,0,9,0.811471279
binSort,0,0,0.017013565
binSort,0,1,0.016999198
binSort,0,2,0.017048029
binSort,0,3,0.017006717
binSort,0,4,0.017028605
binSort,0,5,0.016943168
binSort,0,6,0.017088955
binSort,0,7,0.017082876
binSort,0,8,0.01715849
binSort,0,9,0.017039644
binSort,0,10,0.017038876
binSort,0,11,0.017071132
binSort,0,12,0.017107035
binSort,0,13,0.017095867
binSort,0,14,0.017089371
binSort,0,15,0.016992606
binSort,0,16,0.017014909
binSort,0,17,0.01706742
binSort,0,18,0.017067868
binSort,0,19,0.017091195
binSort,0,20,0.017049628
binSort,0,21,0.017143929
binSort,0,22,0.016995966
binSort,0,23,0.01694323
binSort,0,24,0.017163129
binSort,0,25,0.017138298
binSort,0,26,0.017029885
binSort,0,27,0.017082363
binSort,0,28,0.017020413
binSort,0,29,0.017117978
binSort,0,30,0.017082427
binSort,0,31,0.017094939
binSort,0,32,0.017103707
binSort,0,33,0.017074716
binSort,0,34,0.017087035
binSort,0,35,0.017060668
binSort,0,36,0.016987646
binSort,0,37,0.016982461
binSort,0,38,0.017035164
binSort,0,39,0.017033724
binComputeKeys,0,0,0.001623282
binComputeKeys,0,1,0.001657809
binComputeKeys,0,2,0.001681233
binComputeKeys,0,3,0.001629745
binComputeKeys,0,4,0.001627538
binComputeKeys,0,5,0.00164261
binComputeKeys,0,6,0.001651345
binComputeKeys,0,7,0.001669425
binComputeKeys,0,8,0.001662993
binComputeKeys,0,9,0.001661489
binComputeKeys,0,10,0.001638801
binComputeKeys,0,11,0.001668945
binComputeKeys,0,12,0.00162997
binComputeKeys,0,13,0.001631474
binComputeKeys,0,14,0.001626961
binComputeKeys,0,15,0.001662417
binComputeKeys,0,16,0.001626258
binComputeKeys,0,17,0.001642642
binComputeKeys,0,18,0.001651409
binComputeKeys,0,19,0.001644818
binComputeKeys,0,20,0.001630705
binComputeKeys,0,21,0.001638705
binComputeKeys,0,22,0.001661873
binComputeKeys,0,23,0.001628018
binComputeKeys,0,24,0.001637361
binComputeKeys,0,25,0.001630674
binComputeKeys,0,26,0.001679473
binComputeKeys,0,27,0.001632753
binComputeKeys,0,28,0.001621714
binComputeKeys,0,29,0.001625394
binComputeKeys,0,30,0.001660113
binComputeKeys,0,31,0.001656689
binComputeKeys,0,32,0.001667121
binComputeKeys,0,33,0.001646162
binComputeKeys,0,34,0.001667121
binComputeKeys,0,35,0.001664849
binComputeKeys,0,36,0.001619186
binComputeKeys,0,37,0.001629138
binComputeKeys,0,38,0.001645041
binComputeKeys,0,39,0.001665296
binSortByKey,0,0,0.014627201
binSortByKey,0,1,0.01460349
binSortByKey,0,2,0.014626017
binSortByKey,0,3,0.014620226
binSortByKey,0,4,0.014638496
binSortByKey,0,5,0.014567618
binSortByKey,0,6,0.014675392
binSortByKey,0,7,0.01465488
binSortByKey,0,8,0.014722526
binSortByKey,0,9,0.014622913
binSortByKey,0,10,0.014640737
binSortByKey,0,11,0.014643392
binSortByKey,0,12,0.014698527
binSortByKey,0,13,0.014682559
binSortByKey,0,14,0.014690944
binSortByKey,0,15,0.014589794
binSortByKey,0,16,0.014623713
binSortByKey,0,17,0.01465328
binSortByKey,0,18,0.014660608
binSortByKey,0,19,0.014668192
binSortByKey,0,20,0.014650561
binSortByKey,0,21,0.014723742
binSortByKey,0,22,0.01459165
binSortByKey,0,23,0.014572993
binSortByKey,0,24,0.014728991
binSortByKey,0,25,0.014719007
binSortByKey,0,26,0.014607521
binSortByKey,0,27,0.014667072
binSortByKey,0,28,0.014632608
binSortByKey,0,29,0.014705055
binSortByKey,0,30,0.014662112
binSortByKey,0,31,0.014677855
binSortByKey,0,32,0.014672255
binSortByKey,0,33,0.01465968
binSortByKey,0,34,0.014657888
binSortByKey,0,35,0.014645408
binSortByKey,0,36,0.014607937
binSortByKey,0,37,0.01461664
binSortByKey,0,38,0.014635137
binSortByKey,0,39,0.014628193
binComputeOffsets,0,0,0.000761002
binComputeOffsets,0,1,0.000736811
binComputeOffsets,0,2,0.000736107
binComputeOffsets,0,3,0.000754954
binComputeOffsets,0,4,0.000759819
binComputeOffsets,0,5,0.000732172
binComputeOffsets,0,6,0.000757322
