timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,4.714743478
dumpData,0,0,0.002090594
dumpData,0,1,0.002734672
dumpData,0,2,0.004207045
dumpData,0,3,0.00248591
dumpData,0,4,0.003372061
dumpData,0,5,0.00302228
dumpData,0,6,0.002780655
dumpData,0,7,0.00237225
dumpData,0,8,0.002997096
dumpData,0,9,0.002558005
kick,0,0,2.7231e-05
kick,0,1,6.88e-06
kick,0,2,1.5903e-05
kick,0,3,9.568e-06
kick,0,4,2.3743e-05
kick,0,5,7.904e-06
kick,0,6,1.8752e-05
kick,0,7,6.336e-06
kick,0,8,2.0576e-05
kick,0,9,1.2576e-05
kick,0,10,2.1504e-05
kick,0,11,7.871e-06
kick,0,12,3.6319e-05
kick,0,13,7.135e-06
kick,0,14,2.6783e-05
kick,0,15,5.792e-06
kick,0,16,2.8479e-05
kick,0,17,8.032e-06
kick,0,18,2.4768e-05
kick,0,19,6.976e-06
drift,0,0,4.896e-06
drift,0,1,6.4e-06
drift,0,2,5.28e-06
drift,0,3,5.472e-06
drift,0,4,4.607e-06
drift,0,5,4.48e-06
drift,0,6,5.984e-06
drift,0,7,5.056e-06
drift,0,8,4.896e-06
drift,0,9,6.303e-06
particleBC,0,0,9.855e-06
particleBC,0,1,9.088e-06
particleBC,0,2,9.951e-06
particleBC,0,3,1.0015e-05
particleBC,0,4,1.376e-05
particleBC,0,5,9.951e-06
particleBC,0,6,8.096e-06
particleBC,0,7,9.12e-06
particleBC,0,8,8.832e-06
particleBC,0,9,8.288e-06
updateParticle,0,0,0.174248962
updateParticle,0,1,0.006012783
updateParticle,0,2,0.113927533
updateParticle,0,3,0.006011856
updateParticle,0,4,0.006188426
updateParticle,0,5,0.059688295
updateParticle,0,6,0.005922578
updateParticle,0,7,0.006013008
updateParticle,0,8,0.005978128
updateParticle,0,9,0.005889491
locateParticles,0,0,0.002075491
locateParticles,0,1,0.002072035
locateParticles,0,2,0.002061604
locateParticles,0,3,0.002058468
locateParticles,0,4,0.002077411
locateParticles,0,5,0.002066947
locateParticles,0,6,0.002083075
locateParticles,0,7,0.002057508
locateParticles,0,8,0.002064771
locateParticles,0,9,0.002062883
sendPreprocess,0,0,0.000292792
sendPreprocess,0,1,0.000302071
sendPreprocess,0,2,0.000309431
sendPreprocess,0,3,0.000322102
sendPreprocess,0,4,0.000305623
sendPreprocess,0,5,0.000297304
sendPreprocess,0,6,0.000257752
sendPreprocess,0,7,0.00032863
sendPreprocess,0,8,0.000309495
sendPreprocess,0,9,0.00029724
particleSend,0,0,0.000949572
particleSend,0,1,0.00093722
particleSend,0,2,0.000904805
particleSend,0,3,0.00090183
particleSend,0,4,0.000910629
particleSend,0,5,0.000999714
particleSend,0,6,0.0009777
particleSend,0,7,0.000963012
particleSend,0,8,0.000927493
particleSend,0,9,0.000994883
particleRecv,0,0,3.2895e-05
particleRecv,0,1,3.1999e-05
particleRecv,0,2,3.2959e-05
particleRecv,0,3,3.7471e-05
particleRecv,0,4,3.5743e-05
particleRecv,0,5,3.6735e-05
particleRecv,0,6,3.747e-05
particleRecv,0,7,3.7439e-05
particleRecv,0,8,3.6159e-05
particleRecv,0,9,3.5774e-05
particleDestroy,0,0,0.001569042
particleDestroy,0,1,0.001577458
particleDestroy,0,2,0.00157653
particleDestroy,0,3,0.001581201
particleDestroy,0,4,0.001589585
particleDestroy,0,5,0.001574258
particleDestroy,0,6,0.001580402
particleDestroy,0,7,0.001586994
particleDestroy,0,8,0.001590353
particleDestroy,0,9,0.001581554
ScatterPIFNUFFT,0,0,0.11003072
ScatterPIFNUFFT,0,1,1.3152e-05
ScatterPIFNUFFT,0,2,0.175527676
ScatterPIFNUFFT,0,3,1.2832e-05
ScatterPIFNUFFT,0,4,0.11241161
ScatterPIFNUFFT,0,5,1.3248e-05
ScatterPIFNUFFT,0,6,0.189093229
ScatterPIFNUFFT,0,7,1.5103e-05
ScatterPIFNUFFT,0,8,0.218806884
ScatterPIFNUFFT,0,9,1.2863e-05
ScatterPIFNUFFT,0,10,0.167846813
ScatterPIFNUFFT,0,11,2.5375e-05
ScatterPIFNUFFT,0,12,0.165113326
ScatterPIFNUFFT,0,13,1.2415e-05
ScatterPIFNUFFT,0,14,0.218021435
ScatterPIFNUFFT,0,15,1.3536e-05
ScatterPIFNUFFT,0,16,0.165288713
ScatterPIFNUFFT,0,17,1.6383e-05
ScatterPIFNUFFT,0,18,0.1771427
ScatterPIFNUFFT,0,19,1.5679e-05
NativeNUFFT1,0,0,0.109081819
NativeNUFFT1,0,1,0.174590167
NativeNUFFT1,0,2,0.111418967
NativeNUFFT1,0,3,0.188168136
NativeNUFFT1,0,4,0.217910047
NativeNUFFT1,0,5,0.166956535
NativeNUFFT1,0,6,0.164156233
NativeNUFFT1,0,7,0.217157012
NativeNUFFT1,0,8,0.164386819
NativeNUFFT1,0,9,0.176143721
scatterTimerNUFFT1,0,0,0.048652682
scatterTimerNUFFT1,0,1,0.109852485
scatterTimerNUFFT1,0,2,0.049965444
scatterTimerNUFFT1,0,3,0.125806639
scatterTimerNUFFT1,0,4,0.156893919
scatterTimerNUFFT1,0,5,0.102824532
scatterTimerNUFFT1,0,6,0.102440541
scatterTimerNUFFT1,0,7,0.155094676
scatterTimerNUFFT1,0,8,0.10270444
scatterTimerNUFFT1,0,9,0.114227108
binSort,0,0,0.002376634
binSort,0,1,0.002361371
binSort,0,2,0.00240777
binSort,0,3,0.002395578
binSort,0,4,0.002359835
binSort,0,5,0.002388122
binSort,0,6,0.002383834
binSort,0,7,0.002380795
binSort,0,8,0.002369242
binSort,0,9,0.002401241
binSort,0,10,0.002407609
binSort,0,11,0.002415449
binSort,0,12,0.00235385
binSort,0,13,0.002407385
binSort,0,14,0.002420761
binSort,0,15,0.002403193
binSort,0,16,0.002374011
binSort,0,17,0.00239593
binSort,0,18,0.002391898
binSort,0,19,0.00238441
binSort,0,20,0.002343675
binSort,0,21,0.00236265
binSort,0,22,0.002395578
binSort,0,23,0.002421785
binSort,0,24,0.002338203
binSort,0,25,0.002410809
binSort,0,26,0.002388218
binSort,0,27,0.002364058
binSort,0,28,0.002341051
binSort,0,29,0.002388474
binSort,0,30,0.002409433
binSort,0,31,0.002364283
binSort,0,32,0.002355035
binSort,0,33,0.002421848
binSort,0,34,0.002405402
binSort,0,35,0.002415993
binSort,0,36,0.002342556
binSort,0,37,0.002396442
binSort,0,38,0.002377338
binSort,0,39,0.002396121
binComputeKeys,0,0,0.000222585
binComputeKeys,0,1,0.000227513
binComputeKeys,0,2,0.00021913
binComputeKeys,0,3,0.00021337
binComputeKeys,0,4,0.000223865
binComputeKeys,0,5,0.00021705
binComputeKeys,0,6,0.000217625
binComputeKeys,0,7,0.000223194
binComputeKeys,0,8,0.000229657
binComputeKeys,0,9,0.000215834
binComputeKeys,0,10,0.000215129
binComputeKeys,0,11,0.000214169
binComputeKeys,0,12,0.000214841
binComputeKeys,0,13,0.000216058
binComputeKeys,0,14,0.00021593
binComputeKeys,0,15,0.000223961
binComputeKeys,0,16,0.000218074
binComputeKeys,0,17,0.000214906
binComputeKeys,0,18,0.000219738
binComputeKeys,0,19,0.000222746
binComputeKeys,0,20,0.000219354
binComputeKeys,0,21,0.000222105
binComputeKeys,0,22,0.000217722
binComputeKeys,0,23,0.000221306
binComputeKeys,0,24,0.000217529
binComputeKeys,0,25,0.000228793
binComputeKeys,0,26,0.000219738
binComputeKeys,0,27,0.000235225
binComputeKeys,0,28,0.000216185
binComputeKeys,0,29,0.000223001
binComputeKeys,0,30,0.000214202
binComputeKeys,0,31,0.000224282
binComputeKeys,0,32,0.000219897
binComputeKeys,0,33,0.000214201
binComputeKeys,0,34,0.00021529
binComputeKeys,0,35,0.00021417
binComputeKeys,0,36,0.000219546
binComputeKeys,0,37,0.00021337
binComputeKeys,0,38,0.000224762
binComputeKeys,0,39,0.000219449
binSortByKey,0,0,0.002034788
binSortByKey,0,1,0.002018565
binSortByKey,0,2,0.002067779
binSortByKey,0,3,0.002053988
binSortByKey,0,4,0.002017189
binSortByKey,0,5,0.00205082
binSortByKey,0,6,0.002049604
binSortByKey,0,7,0.00203658
binSortByKey,0,8,0.002021957
binSortByKey,0,9,0.002060579
binSortByKey,0,10,0.002064227
binSortByKey,0,11,0.002070083
binSortByKey,0,12,0.002021349
binSortByKey,0,13,0.002064515
binSortByKey,0,14,0.002067587
