                      ranks  Wall tot
=====================================
mainTimer...........    128     3.858

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    128     3.858     3.858     3.858
particlesCreation...    128         0         0         0
dumpData............    128   0.03989   0.02403   0.03219
kick................    128 0.0002489 0.0001239 0.0001735
drift...............    128 8.253e-05 4.438e-05  6.01e-05
initializeShapeFunc.    128         0         0         0
findInternal........    128         0         0         0
findPeriodic........    128         0         0         0
NativeNUFFT::init...    128         0         0         0
particleBC..........    128 0.0001761 8.432e-05  0.000124
updateParticle......    128    0.7216    0.2203    0.4656
locateParticles.....    128   0.01218   0.01042    0.0112
sendPreprocess......    128  0.004453  0.002581  0.003615
particleSend........    128  0.009092  0.008224  0.008639
particleRecv........    128 0.0004815 0.0003489 0.0004136
particleDestroy.....    128   0.01259   0.00991   0.01083
ScatterPIFNUFFT.....    128     1.919     1.418     1.674
NativeNUFFT1........    128     1.913      1.41     1.666
scatterTimerNUFFT1..    128     1.435    0.9594     1.177
binSort.............    128   0.05369   0.04528   0.04935
binComputeKeys......    128  0.004932   0.00402  0.004459
binSortByKey........    128   0.04589    0.0382   0.04198
binComputeOffsets...    128  0.003249  0.002589  0.002853
FFTNUFFT1...........    128    0.5373    0.4468    0.4886
TwiddleAdd..........    128  0.000447 0.0002755 0.0003309
subFFTs.............    128    0.5367    0.4462     0.488
deconvolutionNUFFT1.    128   0.00108  0.000984  0.001046
GatherPIFNUFFT......    128     1.686     1.668     1.676
NativeNUFFT2........    128     1.678     1.659     1.667
PrecorrectionNUFFT2.    128   0.01035  0.008229  0.009273
FFTNUFFT2...........    128     1.315     1.275     1.296
subIFFTs............    128     1.312     1.272     1.293
StridedWrite........    128  0.001276  0.000819  0.001004
GatherNUFFT2........    128    0.1362    0.1172    0.1261
