timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,3.271686614
dumpData,0,0,0.004107972
dumpData,0,1,0.002288859
dumpData,0,2,0.006012267
dumpData,0,3,0.00929476
dumpData,0,4,0.001770378
dumpData,0,5,0.00632813
dumpData,0,6,0.001793706
dumpData,0,7,0.001965669
dumpData,0,8,0.001693933
dumpData,0,9,0.002288443
kick,0,0,1.5231e-05
kick,0,1,7.904e-06
kick,0,2,1.5775e-05
kick,0,3,5.984e-06
kick,0,4,1.3184e-05
kick,0,5,6.752e-06
kick,0,6,1.2767e-05
kick,0,7,8.447e-06
kick,0,8,1.2063e-05
kick,0,9,7.584e-06
kick,0,10,1.248e-05
kick,0,11,7.904e-06
kick,0,12,1.3311e-05
kick,0,13,5.887e-06
kick,0,14,1.2576e-05
kick,0,15,6.4e-06
kick,0,16,1.3536e-05
kick,0,17,5.696e-06
kick,0,18,1.3248e-05
kick,0,19,6.112e-06
drift,0,0,7.68e-06
drift,0,1,6.72e-06
drift,0,2,5.952e-06
drift,0,3,7.744e-06
drift,0,4,6.624e-06
drift,0,5,4.896e-06
drift,0,6,5.952e-06
drift,0,7,7.199e-06
drift,0,8,5.92e-06
drift,0,9,5.408e-06
particleBC,0,0,9.216e-06
particleBC,0,1,1.0048e-05
particleBC,0,2,9.535e-06
particleBC,0,3,1.0112e-05
particleBC,0,4,1.0304e-05
particleBC,0,5,8.895e-06
particleBC,0,6,9.632e-06
particleBC,0,7,9.248e-06
particleBC,0,8,9.055e-06
particleBC,0,9,8.736e-06
updateParticle,0,0,0.039958636
updateParticle,0,1,0.092281763
updateParticle,0,2,0.075742294
updateParticle,0,3,0.093504158
updateParticle,0,4,0.022059623
updateParticle,0,5,0.05673045
updateParticle,0,6,0.074329343
updateParticle,0,7,0.021348253
updateParticle,0,8,0.003608147
updateParticle,0,9,0.113915734
locateParticles,0,0,0.000687115
locateParticles,0,1,0.000683883
locateParticles,0,2,0.000684396
locateParticles,0,3,0.000681963
locateParticles,0,4,0.000683531
locateParticles,0,5,0.000683116
locateParticles,0,6,0.000682123
locateParticles,0,7,0.000689931
locateParticles,0,8,0.000686572
locateParticles,0,9,0.000688811
sendPreprocess,0,0,0.000247545
sendPreprocess,0,1,0.00026108
sendPreprocess,0,2,0.000292599
sendPreprocess,0,3,0.000272056
sendPreprocess,0,4,0.000284824
sendPreprocess,0,5,0.00026892
sendPreprocess,0,6,0.000264376
sendPreprocess,0,7,0.000255065
sendPreprocess,0,8,0.000275383
sendPreprocess,0,9,0.000257176
particleSend,0,0,0.0007818
particleSend,0,1,0.000788329
particleSend,0,2,0.000883141
particleSend,0,3,0.000810824
particleSend,0,4,0.000811975
particleSend,0,5,0.000817543
particleSend,0,6,0.000812808
particleSend,0,7,0.000823111
particleSend,0,8,0.000824071
particleSend,0,9,0.000901957
particleRecv,0,0,3.6479e-05
particleRecv,0,1,3.6447e-05
particleRecv,0,2,4.0991e-05
particleRecv,0,3,4.051e-05
particleRecv,0,4,4.1343e-05
particleRecv,0,5,3.7599e-05
particleRecv,0,6,3.7279e-05
particleRecv,0,7,3.6575e-05
particleRecv,0,8,4.4607e-05
particleRecv,0,9,3.8591e-05
particleDestroy,0,0,0.00073553
particleDestroy,0,1,0.000736521
particleDestroy,0,2,0.00072001
particleDestroy,0,3,0.000729802
particleDestroy,0,4,0.000735018
particleDestroy,0,5,0.000730986
particleDestroy,0,6,0.000734857
particleDestroy,0,7,0.000730122
particleDestroy,0,8,0.000729322
particleDestroy,0,9,0.000722442
ScatterPIFNUFFT,0,0,0.247299843
ScatterPIFNUFFT,0,1,1.1135e-05
ScatterPIFNUFFT,0,2,0.225349658
ScatterPIFNUFFT,0,3,1.0176e-05
ScatterPIFNUFFT,0,4,0.196816437
ScatterPIFNUFFT,0,5,1.0751e-05
ScatterPIFNUFFT,0,6,0.151158229
ScatterPIFNUFFT,0,7,8.096e-06
ScatterPIFNUFFT,0,8,0.151923037
ScatterPIFNUFFT,0,9,9.92e-06
