timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,16.978672042
dumpData,0,0,0.006248085
dumpData,0,1,0.006228757
dumpData,0,2,0.006154167
dumpData,0,3,0.00660132
dumpData,0,4,0.006127191
dumpData,0,5,0.006198006
dumpData,0,6,0.008432172
dumpData,0,7,0.007525162
dumpData,0,8,0.006946525
dumpData,0,9,0.007765251
kick,0,0,4.9663e-05
kick,0,1,6.752e-06
kick,0,2,5.8047e-05
kick,0,3,6.272e-06
kick,0,4,5.5358e-05
kick,0,5,6.367e-06
kick,0,6,4.8638e-05
kick,0,7,5.92e-06
kick,0,8,4.5822e-05
kick,0,9,7.456e-06
kick,0,10,5.4206e-05
kick,0,11,6.368e-06
kick,0,12,5.0174e-05
kick,0,13,8.48e-06
kick,0,14,5.5422e-05
kick,0,15,6.464e-06
kick,0,16,4.9951e-05
kick,0,17,7.104e-06
kick,0,18,5.1583e-05
kick,0,19,8.255e-06
drift,0,0,8.704e-06
drift,0,1,6.815e-06
drift,0,2,6.24e-06
drift,0,3,7.328e-06
drift,0,4,9.152e-06
drift,0,5,6.112e-06
drift,0,6,7.36e-06
drift,0,7,7.392e-06
drift,0,8,8.703e-06
drift,0,9,5.599e-06
particleBC,0,0,1.3183e-05
particleBC,0,1,1.056e-05
particleBC,0,2,1.0496e-05
particleBC,0,3,1.024e-05
particleBC,0,4,1.1648e-05
particleBC,0,5,9.376e-06
particleBC,0,6,1.0208e-05
particleBC,0,7,1.2511e-05
particleBC,0,8,1.3024e-05
particleBC,0,9,9.856e-06
updateParticle,0,0,0.018517187
updateParticle,0,1,0.238783402
updateParticle,0,2,0.127773683
updateParticle,0,3,0.128925934
updateParticle,0,4,0.018327241
updateParticle,0,5,0.01830145
updateParticle,0,6,0.072036752
updateParticle,0,7,0.074217224
updateParticle,0,8,0.018233644
updateParticle,0,9,0.018336553
locateParticles,0,0,0.007952028
locateParticles,0,1,0.007960732
locateParticles,0,2,0.007951164
locateParticles,0,3,0.007956796
locateParticles,0,4,0.007943388
