timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,1.987802029
dumpData,0,0,0.003080508
dumpData,0,1,0.002804261
dumpData,0,2,0.001915586
dumpData,0,3,0.008560715
dumpData,0,4,0.001926818
dumpData,0,5,0.003374515
dumpData,0,6,0.001522574
dumpData,0,7,0.002017951
dumpData,0,8,0.002431249
dumpData,0,9,0.004105755
kick,0,0,1.664e-05
kick,0,1,5.28e-06
kick,0,2,1.5487e-05
kick,0,3,6.496e-06
kick,0,4,1.2607e-05
kick,0,5,5.984e-06
kick,0,6,1.3856e-05
kick,0,7,7.104e-06
kick,0,8,1.2895e-05
kick,0,9,6.623e-06
kick,0,10,1.296e-05
kick,0,11,5.439e-06
kick,0,12,1.4207e-05
kick,0,13,7.2e-06
kick,0,14,1.3248e-05
kick,0,15,5.631e-06
kick,0,16,1.2415e-05
kick,0,17,5.248e-06
kick,0,18,1.3216e-05
kick,0,19,5.824e-06
drift,0,0,5.471e-06
drift,0,1,5.248e-06
drift,0,2,5.792e-06
drift,0,3,5.472e-06
drift,0,4,6.592e-06
drift,0,5,5.312e-06
drift,0,6,5.152e-06
drift,0,7,5.503e-06
drift,0,8,6.368e-06
drift,0,9,7.071e-06
particleBC,0,0,1.008e-05
particleBC,0,1,8.16e-06
particleBC,0,2,1.0592e-05
particleBC,0,3,9.055e-06
particleBC,0,4,1.0368e-05
particleBC,0,5,8.224e-06
particleBC,0,6,7.808e-06
particleBC,0,7,9.376e-06
particleBC,0,8,1.088e-05
particleBC,0,9,9.728e-06
updateParticle,0,0,0.038578813
updateParticle,0,1,0.026827835
updateParticle,0,2,0.002870851
updateParticle,0,3,0.094304239
updateParticle,0,4,0.002894882
updateParticle,0,5,0.002941536
updateParticle,0,6,0.025543715
updateParticle,0,7,0.00291085
updateParticle,0,8,0.033117518
updateParticle,0,9,0.002875491
locateParticles,0,0,0.000427186
locateParticles,0,1,0.00042373
locateParticles,0,2,0.000419186
locateParticles,0,3,0.000421235
locateParticles,0,4,0.000422546
locateParticles,0,5,0.000424242
locateParticles,0,6,0.000420114
locateParticles,0,7,0.000420274
locateParticles,0,8,0.000420306
locateParticles,0,9,0.000421394
sendPreprocess,0,0,0.000290071
sendPreprocess,0,1,0.001133563
sendPreprocess,0,2,0.000301718
sendPreprocess,0,3,0.000287926
sendPreprocess,0,4,0.000296694
sendPreprocess,0,5,0.000281143
sendPreprocess,0,6,0.000296918
sendPreprocess,0,7,0.000294231
sendPreprocess,0,8,0.000293622
sendPreprocess,0,9,0.000291671
particleSend,0,0,0.000980576
particleSend,0,1,0.000769159
particleSend,0,2,0.000812294
particleSend,0,3,0.000873572
particleSend,0,4,0.000769927
particleSend,0,5,0.000765479
particleSend,0,6,0.000819302
particleSend,0,7,0.000771175
particleSend,0,8,0.000757288
particleSend,0,9,0.000842501
particleRecv,0,0,6.083e-05
particleRecv,0,1,5.9838e-05
particleRecv,0,2,6.0126e-05
particleRecv,0,3,6.0862e-05
particleRecv,0,4,6.163e-05
particleRecv,0,5,6.2302e-05
particleRecv,0,6,6.4766e-05
particleRecv,0,7,5.9358e-05
particleRecv,0,8,6.419e-05
particleRecv,0,9,6.083e-05
particleDestroy,0,0,0.00051032
particleDestroy,0,1,0.0005204
particleDestroy,0,2,0.000512559
particleDestroy,0,3,0.000506736
particleDestroy,0,4,0.00051576
particleDestroy,0,5,0.000514575
particleDestroy,0,6,0.000514255
particleDestroy,0,7,0.000514415
particleDestroy,0,8,0.000523247
particleDestroy,0,9,0.000511663
ScatterPIFNUFFT,0,0,0.176730592
ScatterPIFNUFFT,0,1,8.416e-06
ScatterPIFNUFFT,0,2,0.148133054
ScatterPIFNUFFT,0,3,7.264e-06
ScatterPIFNUFFT,0,4,0.173850556
ScatterPIFNUFFT,0,5,4.96e-06
ScatterPIFNUFFT,0,6,0.051420285
ScatterPIFNUFFT,0,7,5.376e-06
ScatterPIFNUFFT,0,8,0.117016719
ScatterPIFNUFFT,0,9,7.872e-06
ScatterPIFNUFFT,0,10,0.11804203
ScatterPIFNUFFT,0,11,7.008e-06
ScatterPIFNUFFT,0,12,0.087049915
ScatterPIFNUFFT,0,13,7.36e-06
ScatterPIFNUFFT,0,14,0.14235977
ScatterPIFNUFFT,0,15,6.688e-06
ScatterPIFNUFFT,0,16,0.106370376
ScatterPIFNUFFT,0,17,8e-06
ScatterPIFNUFFT,0,18,0.093837758
ScatterPIFNUFFT,0,19,7.519e-06
NativeNUFFT1,0,0,0.175815869
NativeNUFFT1,0,1,0.147121695
NativeNUFFT1,0,2,0.172841341
NativeNUFFT1,0,3,0.050436061
NativeNUFFT1,0,4,0.115998704
NativeNUFFT1,0,5,0.117047534
NativeNUFFT1,0,6,0.085999229
NativeNUFFT1,0,7,0.141353435
NativeNUFFT1,0,8,0.105357193
NativeNUFFT1,0,9,0.092828095
scatterTimerNUFFT1,0,0,0.167581
scatterTimerNUFFT1,0,1,0.055875181
scatterTimerNUFFT1,0,2,0.101962007
scatterTimerNUFFT1,0,3,0.008089978
scatterTimerNUFFT1,0,4,0.106457957
scatterTimerNUFFT1,0,5,0.073690156
scatterTimerNUFFT1,0,6,0.073263738
scatterTimerNUFFT1,0,7,0.08773882
scatterTimerNUFFT1,0,8,0.049157703
scatterTimerNUFFT1,0,9,0.078609676
binSort,0,0,0.000487664
binSort,0,1,0.000491952
binSort,0,2,0.000467217
binSort,0,3,0.000468913
binSort,0,4,0.000470833
binSort,0,5,0.000472817
binSort,0,6,0.000471217
binSort,0,7,0.000462257
binSort,0,8,0.000483888
binSort,0,9,0.000463281
binSort,0,10,0.000464401
binSort,0,11,0.000479793
binSort,0,12,0.00049384
binSort,0,13,0.000465905
