time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9230075906e+00 4.9973830537e-02
1.2271846300e-02 9.9212539717e+00 4.9969424915e-02
2.4543692600e-02 9.9157573138e+00 4.9955601427e-02
3.6815538900e-02 9.9065254796e+00 4.9932363741e-02
4.9087385200e-02 9.8935677730e+00 4.9899718020e-02
6.1359231500e-02 9.8768906204e+00 4.9857672906e-02
7.3631077800e-02 9.8565076921e+00 4.9806239516e-02
8.5902924100e-02 9.8324368578e+00 4.9745431453e-02
9.8174770400e-02 9.8046985379e+00 4.9675264793e-02
1.1044661670e-01 9.7733178974e+00 4.9595758080e-02
1.2271846300e-01 9.7383183960e+00 4.9506932324e-02
1.3499030930e-01 9.6997284372e+00 4.9408810995e-02
1.4726215560e-01 9.6575795258e+00 4.9301420009e-02
1.5953400190e-01 9.6119087350e+00 4.9184787723e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9197042250e+00 4.9971949068e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9197042250e+00 4.9971949068e-02
1.2271846300e-02 9.9179499192e+00 4.9967543826e-02
2.4543692600e-02 9.9124548695e+00 4.9953721504e-02
3.6815538900e-02 9.9032248085e+00 4.9930485775e-02
4.9087385200e-02 9.8902674157e+00 4.9897842796e-02
6.1359231500e-02 9.8735918026e+00 4.9855801208e-02
7.3631077800e-02 9.8532116993e+00 4.9804372132e-02
8.5902924100e-02 9.8291439947e+00 4.9743569170e-02
9.8174770400e-02 9.8014093814e+00 4.9673408395e-02
1.1044661670e-01 9.7700318369e+00 4.9593908349e-02
1.2271846300e-01 9.7350365709e+00 4.9505090039e-02
1.3499030930e-01 9.6964516922e+00 4.9406976928e-02
1.4726215560e-01 9.6543090111e+00 4.9299594929e-02
1.5953400190e-01 9.6086442034e+00 4.9182972400e-02
