timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,4.932639083
dumpData,0,0,0.002494908
dumpData,0,1,0.00336058
dumpData,0,2,0.002675062
dumpData,0,3,0.003601182
dumpData,0,4,0.002386303
dumpData,0,5,0.002787507
dumpData,0,6,0.003240456
dumpData,0,7,0.00225949
dumpData,0,8,0.002932944
dumpData,0,9,0.003031277
kick,0,0,1.5455e-05
kick,0,1,6.848e-06
kick,0,2,1.744e-05
kick,0,3,6.784e-06
kick,0,4,1.8239e-05
kick,0,5,8.16e-06
kick,0,6,1.8143e-05
kick,0,7,8.063e-06
kick,0,8,1.728e-05
kick,0,9,6.592e-06
kick,0,10,1.6608e-05
kick,0,11,6.88e-06
kick,0,12,1.6832e-05
kick,0,13,8.768e-06
kick,0,14,2.2592e-05
kick,0,15,6.144e-06
kick,0,16,1.6831e-05
kick,0,17,5.247e-06
kick,0,18,2.0031e-05
kick,0,19,9.568e-06
drift,0,0,6.88e-06
drift,0,1,7.68e-06
drift,0,2,6.432e-06
drift,0,3,5.536e-06
drift,0,4,6.112e-06
drift,0,5,6.176e-06
drift,0,6,6.495e-06
drift,0,7,7.488e-06
drift,0,8,6.144e-06
drift,0,9,7.168e-06
particleBC,0,0,1.1168e-05
particleBC,0,1,1.3247e-05
particleBC,0,2,1.3952e-05
particleBC,0,3,9.984e-06
particleBC,0,4,1.1135e-05
particleBC,0,5,1.2383e-05
particleBC,0,6,1.0304e-05
particleBC,0,7,1.1647e-05
particleBC,0,8,9.344e-06
particleBC,0,9,1.504e-05
updateParticle,0,0,0.006006683
updateParticle,0,1,0.059997942
updateParticle,0,2,0.168122628
updateParticle,0,3,0.061566122
updateParticle,0,4,0.006013148
updateParticle,0,5,0.095685028
updateParticle,0,6,0.005853184
updateParticle,0,7,0.005861056
updateParticle,0,8,0.005890591
updateParticle,0,9,0.005843616
locateParticles,0,0,0.002074343
locateParticles,0,1,0.002087463
locateParticles,0,2,0.002074887
locateParticles,0,3,0.002080231
locateParticles,0,4,0.00207844
locateParticles,0,5,0.00207396
locateParticles,0,6,0.002091079
locateParticles,0,7,0.002077415
locateParticles,0,8,0.002075943
locateParticles,0,9,0.002061864
sendPreprocess,0,0,0.000330359
sendPreprocess,0,1,0.000306552
sendPreprocess,0,2,0.000334327
sendPreprocess,0,3,0.000322615
sendPreprocess,0,4,0.000302007
sendPreprocess,0,5,0.000321495
sendPreprocess,0,6,0.000305911
sendPreprocess,0,7,0.000323992
sendPreprocess,0,8,0.000314455
sendPreprocess,0,9,0.000318199
particleSend,0,0,0.00093111
particleSend,0,1,0.000961381
particleSend,0,2,0.00093015
particleSend,0,3,0.000890088
particleSend,0,4,0.00090516
particleSend,0,5,0.001004068
particleSend,0,6,0.000970086
particleSend,0,7,0.000935654
particleSend,0,8,0.000918215
particleSend,0,9,0.000976197
particleRecv,0,0,3.5007e-05
particleRecv,0,1,4.0191e-05
particleRecv,0,2,3.6959e-05
particleRecv,0,3,3.7023e-05
particleRecv,0,4,3.5039e-05
particleRecv,0,5,3.5935e-05
particleRecv,0,6,3.5967e-05
particleRecv,0,7,3.8431e-05
particleRecv,0,8,4.1247e-05
particleRecv,0,9,3.6927e-05
particleDestroy,0,0,0.001575285
particleDestroy,0,1,0.001590965
particleDestroy,0,2,0.001577045
particleDestroy,0,3,0.001575412
particleDestroy,0,4,0.001583157
particleDestroy,0,5,0.001578325
particleDestroy,0,6,0.001574293
particleDestroy,0,7,0.001581876
particleDestroy,0,8,0.001589045
particleDestroy,0,9,0.001580821
ScatterPIFNUFFT,0,0,0.27321876
ScatterPIFNUFFT,0,1,7.776e-06
ScatterPIFNUFFT,0,2,0.192143923
ScatterPIFNUFFT,0,3,1.1487e-05
ScatterPIFNUFFT,0,4,0.113768341
ScatterPIFNUFFT,0,5,8.032e-06
ScatterPIFNUFFT,0,6,0.168548153
ScatterPIFNUFFT,0,7,9.344e-06
ScatterPIFNUFFT,0,8,0.226203245
ScatterPIFNUFFT,0,9,1.0399e-05
ScatterPIFNUFFT,0,10,0.133425754
ScatterPIFNUFFT,0,11,8.096e-06
ScatterPIFNUFFT,0,12,0.224124423
ScatterPIFNUFFT,0,13,1.2672e-05
ScatterPIFNUFFT,0,14,0.166653549
ScatterPIFNUFFT,0,15,8.032e-06
ScatterPIFNUFFT,0,16,0.172239859
ScatterPIFNUFFT,0,17,1.0271e-05
ScatterPIFNUFFT,0,18,0.171820447
ScatterPIFNUFFT,0,19,9.504e-06
NativeNUFFT1,0,0,0.272331264
NativeNUFFT1,0,1,0.191258411
NativeNUFFT1,0,2,0.112790511
NativeNUFFT1,0,3,0.167670928
NativeNUFFT1,0,4,0.225267719
NativeNUFFT1,0,5,0.132501203
NativeNUFFT1,0,6,0.223171938
NativeNUFFT1,0,7,0.165805156
NativeNUFFT1,0,8,0.17136158
NativeNUFFT1,0,9,0.170880472
scatterTimerNUFFT1,0,0,0.210021034
scatterTimerNUFFT1,0,1,0.127592666
scatterTimerNUFFT1,0,2,0.048708458
scatterTimerNUFFT1,0,3,0.103845252
scatterTimerNUFFT1,0,4,0.155893107
scatterTimerNUFFT1,0,5,0.069821128
scatterTimerNUFFT1,0,6,0.155143752
scatterTimerNUFFT1,0,7,0.103605611
scatterTimerNUFFT1,0,8,0.108692352
scatterTimerNUFFT1,0,9,0.109742051
binSort,0,0,0.002387934
binSort,0,1,0.002421949
binSort,0,2,0.002423261
binSort,0,3,0.002445245
binSort,0,4,0.002402527
binSort,0,5,0.002437981
binSort,0,6,0.002425054
binSort,0,7,0.002440765
binSort,0,8,0.002372703
binSort,0,9,0.002429438
binSort,0,10,0.002406846
binSort,0,11,0.002395774
binSort,0,12,0.002383391
binSort,0,13,0.002433886
binSort,0,14,0.002368192
binSort,0,15,0.00240659
binSort,0,16,0.002363584
binSort,0,17,0.002439869
binSort,0,18,0.002442685
binSort,0,19,0.002447261
binSort,0,20,0.002384991
binSort,0,21,0.002396063
binSort,0,22,0.002471293
binSort,0,23,0.002453405
binSort,0,24,0.002376191
binSort,0,25,0.002441277
binSort,0,26,0.002427517
binSort,0,27,0.00241699
binSort,0,28,0.002390302
binSort,0,29,0.002449885
binSort,0,30,0.0024543
binSort,0,31,0.002443485
binSort,0,32,0.002388991
binSort,0,33,0.002451453
binSort,0,34,0.002442557
binSort,0,35,0.002425181
binSort,0,36,0.00236592
binSort,0,37,0.002438558
binSort,0,38,0.002406238
binSort,0,39,0.002430878
binComputeKeys,0,0,0.000227289
binComputeKeys,0,1,0.000223097
binComputeKeys,0,2,0.000230777
binComputeKeys,0,3,0.000220602
binComputeKeys,0,4,0.000240346
binComputeKeys,0,5,0.000218458
binComputeKeys,0,6,0.000236442
binComputeKeys,0,7,0.000220409
binComputeKeys,0,8,0.000234458
binComputeKeys,0,9,0.000223322
binComputeKeys,0,10,0.000215866
binComputeKeys,0,11,0.000218138
binComputeKeys,0,12,0.00022121
binComputeKeys,0,13,0.000224026
binComputeKeys,0,14,0.000229114
binComputeKeys,0,15,0.000216506
binComputeKeys,0,16,0.000216794
binComputeKeys,0,17,0.000232377
binComputeKeys,0,18,0.00021737
binComputeKeys,0,19,0.000219066
binComputeKeys,0,20,0.000229306
binComputeKeys,0,21,0.000227994
binComputeKeys,0,22,0.000221114
binComputeKeys,0,23,0.000226202
binComputeKeys,0,24,0.000234137
binComputeKeys,0,25,0.000219002
binComputeKeys,0,26,0.00022473
binComputeKeys,0,27,0.000219354
binComputeKeys,0,28,0.000222426
binComputeKeys,0,29,0.000218554
binComputeKeys,0,30,0.000219834
binComputeKeys,0,31,0.000221178
binComputeKeys,0,32,0.000220378
binComputeKeys,0,33,0.000226138
binComputeKeys,0,34,0.00021769
binComputeKeys,0,35,0.00022041
binComputeKeys,0,36,0.000221402
binComputeKeys,0,37,0.000224154
binComputeKeys,0,38,0.000238905
binComputeKeys,0,39,0.000222714
binSortByKey,0,0,0.002024777
binSortByKey,0,1,0.002071016
binSortByKey,0,2,0.002072936
binSortByKey,0,3,0.002086951
binSortByKey,0,4,0.00204036
binSortByKey,0,5,0.002082919
binSortByKey,0,6,0.002071431
binSortByKey,0,7,0.002088999
binSortByKey,0,8,0.002015209
binSortByKey,0,9,0.002073991
binSortByKey,0,10,0.002061351
binSortByKey,0,11,0.002048712
binSortByKey,0,12,0.002040168
binSortByKey,0,13,0.002077959
binSortByKey,0,14,0.002025769
binSortByKey,0,15,0.002061224
binSortByKey,0,16,0.002024585
binSortByKey,0,17,0.002079271
binSortByKey,0,18,0.002097127
binSortByKey,0,19,0.002095334
binSortByKey,0,20,0.002032744
binSortByKey,0,21,0.002049416
binSortByKey,0,22,0.002113126
binSortByKey,0,23,0.002095175
binSortByKey,0,24,0.002020073
binSortByKey,0,25,0.002079559
binSortByKey,0,26,0.002073831
binSortByKey,0,27,0.002067784
binSortByKey,0,28,0.002045768
binSortByKey,0,29,0.002092231
binSortByKey,0,30,0.002089094
binSortByKey,0,31,0.002089254
binSortByKey,0,32,0.002045448
binSortByKey,0,33,0.002092423
binSortByKey,0,34,0.002087207
binSortByKey,0,35,0.002071335
binSortByKey,0,36,0.002022313
binSortByKey,0,37,0.002086759
binSortByKey,0,38,0.002052328
binSortByKey,0,39,0.002074887
binComputeOffsets,0,0,0.000134908
binComputeOffsets,0,1,0.000125724
binComputeOffsets,0,2,0.000118972
binComputeOffsets,0,3,0.000136572
binComputeOffsets,0,4,0.000120861
binComputeOffsets,0,5,0.0001351
binComputeOffsets,0,6,0.000116381
binComputeOffsets,0,7,0.000129181
binComputeOffsets,0,8,0.000120572
binComputeOffsets,0,9,0.000130493
binComputeOffsets,0,10,0.000128093
binComputeOffsets,0,11,0.000127388
binComputeOffsets,0,12,0.000120861
binComputeOffsets,0,13,0.000131037
binComputeOffsets,0,14,0.000112029
binComputeOffsets,0,15,0.00012806
binComputeOffsets,0,16,0.000119997
binComputeOffsets,0,17,0.000127069
binComputeOffsets,0,18,0.000126556
binComputeOffsets,0,19,0.000132285
binComputeOffsets,0,20,0.000122045
binComputeOffsets,0,21,0.000116605
binComputeOffsets,0,22,0.000135453
binComputeOffsets,0,23,0.000130556
binComputeOffsets,0,24,0.000120701
binComputeOffsets,0,25,0.000140764
binComputeOffsets,0,26,0.000128604
binComputeOffsets,0,27,0.000128956
binComputeOffsets,0,28,0.000119644
binComputeOffsets,0,29,0.000137885
