                      ranks  Wall tot
=====================================
mainTimer...........    256     3.592

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    256     3.592     3.591     3.592
particlesCreation...    256         0         0         0
dumpData............    256   0.03481   0.01638   0.02415
kick................    256 0.0001935 9.782e-05   0.00013
drift...............    256 8.349e-05  4.24e-05 5.826e-05
initializeShapeFunc.    256         0         0         0
findInternal........    256         0         0         0
findPeriodic........    256         0         0         0
NativeNUFFT::init...    256         0         0         0
particleBC..........    256 0.0001653  8.24e-05 0.0001213
updateParticle......    256    0.9517    0.3016    0.5638
locateParticles.....    256  0.007186  0.005963  0.006539
sendPreprocess......    256  0.004143   0.00282  0.003502
particleSend........    256  0.008562   0.00762   0.00808
particleRecv........    256 0.0005096 0.0003472 0.0004165
particleDestroy.....    256  0.008298  0.006526  0.007133
ScatterPIFNUFFT.....    256     2.078     1.428     1.816
NativeNUFFT1........    256     2.072     1.419     1.809
scatterTimerNUFFT1..    256     1.729    0.9268     1.331
binSort.............    256    0.0312    0.0262   0.02852
binComputeKeys......    256  0.002735  0.002232  0.002464
binSortByKey........    256   0.02647   0.02213   0.02417
binComputeOffsets...    256  0.002116  0.001635  0.001847
FFTNUFFT1...........    256    0.6784    0.3268    0.4772
TwiddleAdd..........    256 0.0008012 0.0002572 0.0003037
subFFTs.............    256    0.6779    0.3262    0.4767
deconvolutionNUFFT1.    256  0.001118 0.0005651  0.000594
GatherPIFNUFFT......    256     1.186     1.167     1.177
NativeNUFFT2........    256     1.178     1.158     1.169
PrecorrectionNUFFT2.    256  0.005347  0.004147   0.00472
FFTNUFFT2...........    256    0.9629    0.9307    0.9449
subIFFTs............    256    0.9608    0.9287    0.9428
StridedWrite........    256  0.001129 0.0007484 0.0008758
GatherNUFFT2........    256    0.1164   0.08529    0.1004
