time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9283929548e+00 4.9997421802e-02
1.2271846300e-02 9.9265682710e+00 4.9992830199e-02
2.4543692600e-02 9.9210004636e+00 4.9978819154e-02
3.6815538900e-02 9.9116935660e+00 4.9955392378e-02
4.9087385200e-02 9.8986556908e+00 4.9922556066e-02
6.1359231500e-02 9.8818973682e+00 4.9880318901e-02
7.3631077800e-02 9.8614328643e+00 4.9828692044e-02
8.5902924100e-02 9.8372796533e+00 4.9767689137e-02
9.8174770400e-02 9.8094566671e+00 4.9697326293e-02
1.1044661670e-01 9.7779876576e+00 4.9617622096e-02
1.2271846300e-01 9.7428989629e+00 4.9528597594e-02
1.3499030930e-01 9.7042195044e+00 4.9430276291e-02
1.4726215560e-01 9.6619813382e+00 4.9322684143e-02
1.5953400190e-01 9.6162193812e+00 4.9205849548e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9275666224e+00 4.9996951208e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9275666224e+00 4.9996951208e-02
1.2271846300e-02 9.9257421589e+00 4.9992359701e-02
2.4543692600e-02 9.9201745030e+00 4.9978348947e-02
3.6815538900e-02 9.9108679397e+00 4.9954922655e-02
4.9087385200e-02 9.8978303700e+00 4.9922087024e-02
6.1359231500e-02 9.8810726840e+00 4.9879850735e-02
7.3631077800e-02 9.8606088415e+00 4.9828224950e-02
8.5902924100e-02 9.8364560961e+00 4.9767223308e-02
9.8174770400e-02 9.8086340650e+00 4.9696861925e-02
1.1044661670e-01 9.7771660920e+00 4.9617159384e-02
1.2271846300e-01 9.7420783775e+00 4.9528136730e-02
1.3499030930e-01 9.7034000679e+00 4.9429817469e-02
1.4726215560e-01 9.6611631799e+00 4.9322227554e-02
1.5953400190e-01 9.6154025752e+00 4.9205395382e-02
