                      ranks  Wall tot
=====================================
mainTimer...........    512     28.85

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    512     28.85     28.85     28.85
particlesCreation...    512         0         0         0
dumpData............    512    0.2147   0.04141    0.1258
kick................    512   0.02023    0.0155   0.01775
drift...............    512   0.01004  0.007704  0.008824
initializeShapeFunc.    512         0         0         0
findInternal........    512         0         0         0
findPeriodic........    512         0         0         0
NativeNUFFT::init...    512         0         0         0
particleBC..........    512   0.02059   0.01578   0.01808
updateParticle......    512    0.1661    0.1168    0.1358
locateParticles.....    512   0.01705   0.01244   0.01387
sendPreprocess......    512   0.01933  0.005154   0.01337
particleSend........    512   0.03318   0.01557   0.01792
particleRecv........    512  0.008399 0.0008756   0.00223
particleDestroy.....    512   0.05323   0.03966   0.04482
ScatterPIFNUFFT.....    512     7.501     7.364     7.439
NativeNUFFT1........    512     7.485     7.346     7.422
scatterTimerNUFFT1..    512     1.056    0.9624     1.019
binSort.............    512    0.2165    0.1684    0.1911
binComputeKeys......    512   0.02274   0.01755   0.02004
binSortByKey........    512    0.1861    0.1444    0.1641
binComputeOffsets...    512  0.007208  0.005923  0.006546
FFTNUFFT1...........    512     6.499     6.314     6.402
TwiddleAdd..........    512  0.007279  0.007111  0.007188
subFFTs.............    512     6.492     6.307     6.394
deconvolutionNUFFT1.    512 0.0008286 0.0007321 0.0007655
GatherPIFNUFFT......    512     21.18        21     21.09
NativeNUFFT2........    512     21.11     20.95     21.03
PrecorrectionNUFFT2.    512  0.002442  0.002312  0.002355
FFTNUFFT2...........    512     19.57     19.32     19.45
subIFFTs............    512     19.53     19.29     19.42
StridedWrite........    512   0.03223    0.0319   0.03207
GatherNUFFT2........    512     1.781     1.419     1.569
