timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,6.187639375
dumpData,0,0,0.003191923
dumpData,0,1,0.003156833
dumpData,0,2,0.003287104
dumpData,0,3,0.003636664
dumpData,0,4,0.003218374
dumpData,0,5,0.002641963
dumpData,0,6,0.003977674
dumpData,0,7,0.003613123
dumpData,0,8,0.002885523
dumpData,0,9,0.003437263
kick,0,0,0.0005075
kick,0,1,0.000520051
kick,0,2,0.000492691
kick,0,3,0.00052006
kick,0,4,0.000493121
kick,0,5,0.00051992
kick,0,6,0.00049177
kick,0,7,0.000520831
kick,0,8,0.00049314
kick,0,9,0.00052022
kick,0,10,0.00049181
kick,0,11,0.00052095
kick,0,12,0.000505231
kick,0,13,0.000519491
kick,0,14,0.000496341
kick,0,15,0.000520071
kick,0,16,0.000490741
kick,0,17,0.000520511
kick,0,18,0.00050288
kick,0,19,0.000519331
drift,0,0,0.000508171
drift,0,1,0.00050885
drift,0,2,0.00050472
drift,0,3,0.000505751
drift,0,4,0.000506281
drift,0,5,0.000505571
drift,0,6,0.00050566
drift,0,7,0.00050523
drift,0,8,0.00050829
drift,0,9,0.000504071
particleBC,0,0,0.001019071
particleBC,0,1,0.001019121
particleBC,0,2,0.001018691
particleBC,0,3,0.001019521
particleBC,0,4,0.001016961
particleBC,0,5,0.001015741
particleBC,0,6,0.001016991
particleBC,0,7,0.001018451
particleBC,0,8,0.001016551
particleBC,0,9,0.001015961
updateParticle,0,0,0.006743467
updateParticle,0,1,0.006420977
updateParticle,0,2,0.006046427
updateParticle,0,3,0.005955096
updateParticle,0,4,0.005855366
updateParticle,0,5,0.005851366
updateParticle,0,6,0.006057537
updateParticle,0,7,0.005501956
updateParticle,0,8,0.006396917
updateParticle,0,9,0.006013706
locateParticles,0,0,0.00062643
locateParticles,0,1,0.000622281
locateParticles,0,2,0.000609191
locateParticles,0,3,0.000624691
locateParticles,0,4,0.00061508
locateParticles,0,5,0.00061569
locateParticles,0,6,0.000622101
locateParticles,0,7,0.000611511
locateParticles,0,8,0.000631611
locateParticles,0,9,0.00062375
sendPreprocess,0,0,0.000503321
sendPreprocess,0,1,0.00036785
sendPreprocess,0,2,0.0003913
sendPreprocess,0,3,0.00034629
sendPreprocess,0,4,0.000544971
sendPreprocess,0,5,0.000298841
sendPreprocess,0,6,0.00023404
sendPreprocess,0,7,0.00028287
sendPreprocess,0,8,0.000431131
sendPreprocess,0,9,0.000242491
particleSend,0,0,0.001088121
particleSend,0,1,0.001049741
particleSend,0,2,0.001093822
particleSend,0,3,0.001048541
particleSend,0,4,0.001095491
particleSend,0,5,0.001146751
particleSend,0,6,0.001061871
particleSend,0,7,0.001077991
particleSend,0,8,0.001052721
particleSend,0,9,0.001106031
particleRecv,0,0,3.141e-05
particleRecv,0,1,3.52e-05
particleRecv,0,2,3.698e-05
particleRecv,0,3,3.923e-05
particleRecv,0,4,3.297e-05
particleRecv,0,5,4.81e-05
particleRecv,0,6,3.73e-05
particleRecv,0,7,3.636e-05
particleRecv,0,8,3.6e-05
particleRecv,0,9,3.302e-05
particleDestroy,0,0,0.001786722
particleDestroy,0,1,0.001797462
particleDestroy,0,2,0.001798022
particleDestroy,0,3,0.001792532
particleDestroy,0,4,0.001802322
particleDestroy,0,5,0.001794552
particleDestroy,0,6,0.001795882
particleDestroy,0,7,0.001809422
particleDestroy,0,8,0.001809162
particleDestroy,0,9,0.001805132
ScatterPIFNUFFT,0,0,0.163772511
ScatterPIFNUFFT,0,1,0.000295131
ScatterPIFNUFFT,0,2,0.164315442
ScatterPIFNUFFT,0,3,0.0002953
ScatterPIFNUFFT,0,4,0.164281621
ScatterPIFNUFFT,0,5,0.00029501
ScatterPIFNUFFT,0,6,0.163098641
ScatterPIFNUFFT,0,7,0.00029597
ScatterPIFNUFFT,0,8,0.164669672
ScatterPIFNUFFT,0,9,0.000296131
ScatterPIFNUFFT,0,10,0.163804501
ScatterPIFNUFFT,0,11,0.000294101
ScatterPIFNUFFT,0,12,0.16336578
ScatterPIFNUFFT,0,13,0.0002949
ScatterPIFNUFFT,0,14,0.164828482
ScatterPIFNUFFT,0,15,0.00029513
ScatterPIFNUFFT,0,16,0.161104409
ScatterPIFNUFFT,0,17,0.00029139
ScatterPIFNUFFT,0,18,0.163667571
ScatterPIFNUFFT,0,19,0.000295731
NativeNUFFT1,0,0,0.16216941
NativeNUFFT1,0,1,0.16284823
NativeNUFFT1,0,2,0.16241912
NativeNUFFT1,0,3,0.161325278
NativeNUFFT1,0,4,0.16292556
NativeNUFFT1,0,5,0.162385
NativeNUFFT1,0,6,0.161724529
NativeNUFFT1,0,7,0.163349061
NativeNUFFT1,0,8,0.159796177
NativeNUFFT1,0,9,0.1619772
scatterTimerNUFFT1,0,0,0.041463224
scatterTimerNUFFT1,0,1,0.041735064
scatterTimerNUFFT1,0,2,0.041935814
scatterTimerNUFFT1,0,3,0.041719483
scatterTimerNUFFT1,0,4,0.041636873
scatterTimerNUFFT1,0,5,0.041755024
scatterTimerNUFFT1,0,6,0.041420013
scatterTimerNUFFT1,0,7,0.041576924
scatterTimerNUFFT1,0,8,0.042309185
scatterTimerNUFFT1,0,9,0.041810654
binSort,0,0,0.002740703
binSort,0,1,0.002743713
binSort,0,2,0.002737612
binSort,0,3,0.002734493
binSort,0,4,0.002750043
binSort,0,5,0.002743343
binSort,0,6,0.002736293
binSort,0,7,0.002738753
binSort,0,8,0.002745562
binSort,0,9,0.002740943
binSort,0,10,0.002740113
binSort,0,11,0.002736083
binSort,0,12,0.002754293
binSort,0,13,0.002738783
binSort,0,14,0.002737433
binSort,0,15,0.002744403
binSort,0,16,0.002744932
binSort,0,17,0.002733103
binSort,0,18,0.002733212
binSort,0,19,0.002740112
binSort,0,20,0.002739543
binSort,0,21,0.002740853
binSort,0,22,0.002738663
binSort,0,23,0.002737733
binSort,0,24,0.002731173
binSort,0,25,0.002737693
binSort,0,26,0.002742213
binSort,0,27,0.002739293
binSort,0,28,0.002723623
binSort,0,29,0.002750613
binSort,0,30,0.002736762
binSort,0,31,0.002738073
binSort,0,32,0.002714213
binSort,0,33,0.002729013
binSort,0,34,0.002732123
binSort,0,35,0.002736073
binSort,0,36,0.002708642
binSort,0,37,0.002742913
binSort,0,38,0.002737513
binSort,0,39,0.002742423
binComputeKeys,0,0,0.000287191
binComputeKeys,0,1,0.00029298
binComputeKeys,0,2,0.00029126
binComputeKeys,0,3,0.000292811
binComputeKeys,0,4,0.000287441
binComputeKeys,0,5,0.000289971
binComputeKeys,0,6,0.00029056
binComputeKeys,0,7,0.000290871
binComputeKeys,0,8,0.00028747
binComputeKeys,0,9,0.00029254
binComputeKeys,0,10,0.000293941
binComputeKeys,0,11,0.00029094
binComputeKeys,0,12,0.00028871
binComputeKeys,0,13,0.00029058
binComputeKeys,0,14,0.000288771
binComputeKeys,0,15,0.00029052
binComputeKeys,0,16,0.00028578
binComputeKeys,0,17,0.000290881
binComputeKeys,0,18,0.00028983
binComputeKeys,0,19,0.00029513
binComputeKeys,0,20,0.000287421
binComputeKeys,0,21,0.00029271
binComputeKeys,0,22,0.00029263
binComputeKeys,0,23,0.00029042
binComputeKeys,0,24,0.00028943
binComputeKeys,0,25,0.00028972
binComputeKeys,0,26,0.00029027
binComputeKeys,0,27,0.000292841
binComputeKeys,0,28,0.000287131
binComputeKeys,0,29,0.00029417
binComputeKeys,0,30,0.00029212
binComputeKeys,0,31,0.000291711
binComputeKeys,0,32,0.000287801
binComputeKeys,0,33,0.00029068
binComputeKeys,0,34,0.00029081
binComputeKeys,0,35,0.0002896
binComputeKeys,0,36,0.00028651
binComputeKeys,0,37,0.00029013
binComputeKeys,0,38,0.00029015
binComputeKeys,0,39,0.00029157
binSortByKey,0,0,0.002341552
binSortByKey,0,1,0.002340523
binSortByKey,0,2,0.002334632
binSortByKey,0,3,0.002329632
binSortByKey,0,4,0.002351792
binSortByKey,0,5,0.002336982
binSortByKey,0,6,0.002334992
binSortByKey,0,7,0.002337342
binSortByKey,0,8,0.002347372
binSortByKey,0,9,0.002337343
binSortByKey,0,10,0.002335652
binSortByKey,0,11,0.002334573
binSortByKey,0,12,0.002354833
binSortByKey,0,13,0.002338223
binSortByKey,0,14,0.002338862
binSortByKey,0,15,0.002338653
binSortByKey,0,16,0.002347352
binSortByKey,0,17,0.002332032
binSortByKey,0,18,0.002333262
binSortByKey,0,19,0.002334242
binSortByKey,0,20,0.002341272
binSortByKey,0,21,0.002338313
binSortByKey,0,22,0.002336083
binSortByKey,0,23,0.002336223
binSortByKey,0,24,0.002330353
binSortByKey,0,25,0.002337843
binSortByKey,0,26,0.002341013
binSortByKey,0,27,0.002336532
binSortByKey,0,28,0.002325712
binSortByKey,0,29,0.002343923
binSortByKey,0,30,0.002333862
binSortByKey,0,31,0.002335262
binSortByKey,0,32,0.002314742
binSortByKey,0,33,0.002327943
binSortByKey,0,34,0.002330943
binSortByKey,0,35,0.002337303
binSortByKey,0,36,0.002311002
binSortByKey,0,37,0.002340803
binSortByKey,0,38,0.002335762
binSortByKey,0,39,0.002340273
binComputeOffsets,0,0,0.00010203
binComputeOffsets,0,1,0.00010101
binComputeOffsets,0,2,0.00010238
binComputeOffsets,0,3,0.00010199
binComputeOffsets,0,4,0.00010145
binComputeOffsets,0,5,0.00010614
binComputeOffsets,0,6,0.000101411
