timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,11.447685043
dumpData,0,0,0.005111615
dumpData,0,1,0.002042322
dumpData,0,2,0.004913685
dumpData,0,3,0.005526356
dumpData,0,4,0.004615385
dumpData,0,5,0.005862986
dumpData,0,6,0.006286567
dumpData,0,7,0.005924026
dumpData,0,8,0.004389524
dumpData,0,9,0.004792905
kick,0,0,0.000493451
kick,0,1,0.000516101
kick,0,2,0.000492291
kick,0,3,0.00051659
kick,0,4,0.000491601
kick,0,5,0.00051661
kick,0,6,0.000492121
kick,0,7,0.00052158
kick,0,8,0.00049263
kick,0,9,0.00051285
kick,0,10,0.00049111
kick,0,11,0.000517881
kick,0,12,0.00049364
kick,0,13,0.000516361
kick,0,14,0.00049461
kick,0,15,0.00051926
kick,0,16,0.000491951
kick,0,17,0.000516091
kick,0,18,0.000491741
kick,0,19,0.000519111
drift,0,0,0.00050731
drift,0,1,0.00050634
drift,0,2,0.00049991
drift,0,3,0.00050465
drift,0,4,0.000508121
drift,0,5,0.000499171
drift,0,6,0.000505061
drift,0,7,0.000504801
drift,0,8,0.00050727
drift,0,9,0.00050591
particleBC,0,0,0.001025081
particleBC,0,1,0.001018601
particleBC,0,2,0.001016791
particleBC,0,3,0.001016751
particleBC,0,4,0.001027911
particleBC,0,5,0.001015581
particleBC,0,6,0.001018841
particleBC,0,7,0.001020181
particleBC,0,8,0.001023302
particleBC,0,9,0.001015491
updateParticle,0,0,0.006314277
updateParticle,0,1,0.007008157
updateParticle,0,2,0.006457717
updateParticle,0,3,0.005783926
updateParticle,0,4,0.006198437
updateParticle,0,5,0.006081206
updateParticle,0,6,0.005892676
updateParticle,0,7,0.005845306
updateParticle,0,8,0.006540426
updateParticle,0,9,0.006364787
locateParticles,0,0,0.000653781
locateParticles,0,1,0.000606551
locateParticles,0,2,0.000695211
locateParticles,0,3,0.000624941
locateParticles,0,4,0.000642241
locateParticles,0,5,0.000668931
locateParticles,0,6,0.000624881
locateParticles,0,7,0.00062494
locateParticles,0,8,0.00064771
locateParticles,0,9,0.000620291
sendPreprocess,0,0,0.00040832
sendPreprocess,0,1,0.000819131
sendPreprocess,0,2,0.00047544
sendPreprocess,0,3,0.00042785
sendPreprocess,0,4,0.00049326
sendPreprocess,0,5,0.0003902
sendPreprocess,0,6,0.00031236
sendPreprocess,0,7,0.000398161
sendPreprocess,0,8,0.000517231
sendPreprocess,0,9,0.00030972
particleSend,0,0,0.001122522
particleSend,0,1,0.001054981
particleSend,0,2,0.001196002
particleSend,0,3,0.001055012
particleSend,0,4,0.001113261
particleSend,0,5,0.001225351
particleSend,0,6,0.001059841
particleSend,0,7,0.001041661
particleSend,0,8,0.001074341
particleSend,0,9,0.001106182
particleRecv,0,0,4.375e-05
particleRecv,0,1,3.546e-05
particleRecv,0,2,3.547e-05
particleRecv,0,3,3.646e-05
particleRecv,0,4,4.104e-05
particleRecv,0,5,3.348e-05
particleRecv,0,6,3.861e-05
particleRecv,0,7,3.681e-05
particleRecv,0,8,5.334e-05
particleRecv,0,9,3.486e-05
particleDestroy,0,0,0.001821331
particleDestroy,0,1,0.001791952
particleDestroy,0,2,0.002123512
particleDestroy,0,3,0.001808751
particleDestroy,0,4,0.001816342
particleDestroy,0,5,0.002046953
particleDestroy,0,6,0.001801562
particleDestroy,0,7,0.001818452
particleDestroy,0,8,0.001826172
particleDestroy,0,9,0.001805741
ScatterPIFNUFFT,0,0,0.300957774
ScatterPIFNUFFT,0,1,5.386e-05
ScatterPIFNUFFT,0,2,0.298410331
ScatterPIFNUFFT,0,3,4.716e-05
ScatterPIFNUFFT,0,4,0.298135582
ScatterPIFNUFFT,0,5,4.315e-05
