time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9303738536e+00 5.0002136558e-02
1.2271846300e-02 9.9284692558e+00 4.9997346561e-02
2.4543692600e-02 9.9228202373e+00 4.9983136143e-02
3.6815538900e-02 9.9134319395e+00 4.9959509066e-02
4.9087385200e-02 9.9003116631e+00 4.9926471579e-02
6.1359231500e-02 9.8834703194e+00 4.9884032417e-02
7.3631077800e-02 9.8629223534e+00 4.9832202793e-02
8.5902924100e-02 9.8386850661e+00 4.9770996401e-02
9.8174770400e-02 9.8107783699e+00 4.9700429410e-02
1.1044661670e-01 9.7792247515e+00 4.9620520454e-02
1.2271846300e-01 9.7440513034e+00 4.9531290634e-02
1.3499030930e-01 9.7052865865e+00 4.9432763509e-02
