time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9328039500e+00 4.9999214029e-02
1.2271846300e-02 9.9310565580e+00 4.9994824119e-02
2.4543692600e-02 9.9255646052e+00 4.9981016503e-02
3.6815538900e-02 9.9163359352e+00 4.9957794833e-02
4.9087385200e-02 9.9033764950e+00 4.9925165248e-02
6.1359231500e-02 9.8866970672e+00 4.9883136369e-02
7.3631077800e-02 9.8663120565e+00 4.9831719296e-02
8.5902924100e-02 9.8422396562e+00 4.9770927603e-02
9.8174770400e-02 9.8144976768e+00 4.9700777344e-02
1.1044661670e-01 9.7831081747e+00 4.9621287037e-02
1.2271846300e-01 9.7480988773e+00 4.9532477659e-02
1.3499030930e-01 9.7095005408e+00 4.9434372650e-02
1.4726215560e-01 9.6673411796e+00 4.9326997898e-02
1.5953400190e-01 9.6216588353e+00 4.9210381731e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9294979119e+00 4.9997331604e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9294979119e+00 4.9997331604e-02
1.2271846300e-02 9.9277517923e+00 4.9992942071e-02
2.4543692600e-02 9.9222618051e+00 4.9979135613e-02
3.6815538900e-02 9.9130340077e+00 4.9955915882e-02
4.9087385200e-02 9.9000761648e+00 4.9923289014e-02
6.1359231500e-02 9.8833988573e+00 4.9881263629e-02
7.3631077800e-02 9.8630165689e+00 4.9829850823e-02
8.5902924100e-02 9.8389465127e+00 4.9769064171e-02
9.8174770400e-02 9.8112077785e+00 4.9698919722e-02
1.1044661670e-01 9.7798227776e+00 4.9619435989e-02
1.2271846300e-01 9.7448184604e+00 4.9530633950e-02
1.3499030930e-01 9.7062237667e+00 4.9432537039e-02
1.4726215560e-01 9.6640700713e+00 4.9325171138e-02
1.5953400190e-01 9.6183934097e+00 4.9208564571e-02
