timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,87.642777719
dumpData,0,0,0.01868905
dumpData,0,1,0.017784135
dumpData,0,2,0.022910319
dumpData,0,3,0.017294701
dumpData,0,4,0.020336292
dumpData,0,5,0.016933727
dumpData,0,6,0.019122485
dumpData,0,7,0.023386768
dumpData,0,8,0.018552122
dumpData,0,9,0.019462141
kick,0,0,0.002230247
kick,0,1,0.002293491
kick,0,2,0.002217513
kick,0,3,0.002285036
kick,0,4,0.002207514
kick,0,5,0.002293352
kick,0,6,0.002203577
kick,0,7,0.002303952
kick,0,8,0.002195611
kick,0,9,0.002277771
kick,0,10,0.002203998
kick,0,11,0.002301087
kick,0,12,0.002195491
kick,0,13,0.002301737
kick,0,14,0.002208025
kick,0,15,0.002310665
kick,0,16,0.002216121
kick,0,17,0.002292229
kick,0,18,0.002190351
kick,0,19,0.00229806
drift,0,0,0.002235988
drift,0,1,0.002247802
drift,0,2,0.00223103
drift,0,3,0.00223097
drift,0,4,0.002243855
drift,0,5,0.002218094
drift,0,6,0.002226721
drift,0,7,0.002237974
drift,0,8,0.002306247
drift,0,9,0.002257181
particleBC,0,0,0.006601057
particleBC,0,1,0.006572801
particleBC,0,2,0.006597534
particleBC,0,3,0.006602023
particleBC,0,4,0.006524561
particleBC,0,5,0.006573206
particleBC,0,6,0.006617432
particleBC,0,7,0.006563887
particleBC,0,8,0.006545863
particleBC,0,9,0.006579589
updateParticle,0,0,0.025248206
updateParticle,0,1,0.024867053
updateParticle,0,2,0.024774975
updateParticle,0,3,0.024788673
updateParticle,0,4,0.024975537
updateParticle,0,5,0.024463178
updateParticle,0,6,0.024612338
updateParticle,0,7,0.025126782
updateParticle,0,8,0.025227518
updateParticle,0,9,0.024580866
locateParticles,0,0,0.006635184
locateParticles,0,1,0.006622299
locateParticles,0,2,0.006607302
locateParticles,0,3,0.00661117
locateParticles,0,4,0.006649626
locateParticles,0,5,0.006622602
locateParticles,0,6,0.006598395
locateParticles,0,7,0.00662125
locateParticles,0,8,0.006638253
locateParticles,0,9,0.006648664
sendPreprocess,0,0,0.001515714
sendPreprocess,0,1,0.001403546
sendPreprocess,0,2,0.001318872
sendPreprocess,0,3,0.001356054
sendPreprocess,0,4,0.001649556
sendPreprocess,0,5,0.001438765
sendPreprocess,0,6,0.001453123
sendPreprocess,0,7,0.001367336
sendPreprocess,0,8,0.001390481
sendPreprocess,0,9,0.001404018
particleSend,0,0,0.001932287
particleSend,0,1,0.002650005
particleSend,0,2,0.001745323
particleSend,0,3,0.001739121
particleSend,0,4,0.001748198
particleSend,0,5,0.001753439
particleSend,0,6,0.001741075
particleSend,0,7,0.002635368
particleSend,0,8,0.001753369
particleSend,0,9,0.001839727
particleRecv,0,0,3.2754e-05
particleRecv,0,1,3.6822e-05
particleRecv,0,2,3.4267e-05
particleRecv,0,3,3.4488e-05
particleRecv,0,4,4.0709e-05
particleRecv,0,5,3.9607e-05
particleRecv,0,6,4.0298e-05
particleRecv,0,7,4.0779e-05
particleRecv,0,8,4.2262e-05
particleRecv,0,9,4.3325e-05
particleDestroy,0,0,0.012675709
particleDestroy,0,1,0.012624228
particleDestroy,0,2,0.01267816
particleDestroy,0,3,0.012610358
particleDestroy,0,4,0.012756122
particleDestroy,0,5,0.012670515
particleDestroy,0,6,0.012624594
particleDestroy,0,7,0.012748056
particleDestroy,0,8,0.012681516
particleDestroy,0,9,0.012698128
ScatterPIFNUFFT,0,0,1.129768512
ScatterPIFNUFFT,0,1,0.002512537
ScatterPIFNUFFT,0,2,1.126103469
ScatterPIFNUFFT,0,3,0.002507027
ScatterPIFNUFFT,0,4,1.132771863
ScatterPIFNUFFT,0,5,0.002512248
ScatterPIFNUFFT,0,6,1.128284123
ScatterPIFNUFFT,0,7,0.002516567
ScatterPIFNUFFT,0,8,1.129811451
ScatterPIFNUFFT,0,9,0.002512649
ScatterPIFNUFFT,0,10,1.130116476
ScatterPIFNUFFT,0,11,0.002500996
ScatterPIFNUFFT,0,12,1.114126188
ScatterPIFNUFFT,0,13,0.002506477
ScatterPIFNUFFT,0,14,1.120562828
ScatterPIFNUFFT,0,15,0.002512128
ScatterPIFNUFFT,0,16,1.118621184
ScatterPIFNUFFT,0,17,0.002508551
ScatterPIFNUFFT,0,18,1.119120155
ScatterPIFNUFFT,0,19,0.002501146
NativeNUFFT1,0,0,1.126036537
NativeNUFFT1,0,1,1.122403537
NativeNUFFT1,0,2,1.129049555
NativeNUFFT1,0,3,1.124559601
NativeNUFFT1,0,4,1.126065187
NativeNUFFT1,0,5,1.12640542
NativeNUFFT1,0,6,1.110418629
NativeNUFFT1,0,7,1.116851151
NativeNUFFT1,0,8,1.114914417
NativeNUFFT1,0,9,1.11540459
scatterTimerNUFFT1,0,0,0.902859165
scatterTimerNUFFT1,0,1,0.888082271
scatterTimerNUFFT1,0,2,0.887975476
scatterTimerNUFFT1,0,3,0.891280982
scatterTimerNUFFT1,0,4,0.887687746
scatterTimerNUFFT1,0,5,0.888876934
scatterTimerNUFFT1,0,6,0.887204845
scatterTimerNUFFT1,0,7,0.888160497
scatterTimerNUFFT1,0,8,0.886813112
scatterTimerNUFFT1,0,9,0.887121599
binSort,0,0,0.014536797
binSort,0,1,0.014524191
binSort,0,2,0.014613644
binSort,0,3,0.014538668
binSort,0,4,0.014582132
binSort,0,5,0.014551081
binSort,0,6,0.01452454
binSort,0,7,0.014527665
binSort,0,8,0.014522305
binSort,0,9,0.014531563
binComputeKeys,0,0,0.0011495
binComputeKeys,0,1,0.001151625
binComputeKeys,0,2,0.001150283
binComputeKeys,0,3,0.001150162
binComputeKeys,0,4,0.001146695
binComputeKeys,0,5,0.001147638
binComputeKeys,0,6,0.001148409
binComputeKeys,0,7,0.001154872
binComputeKeys,0,8,0.00114918
binComputeKeys,0,9,0.001149662
binSortByKey,0,0,0.013060028
binSortByKey,0,1,0.013047022
binSortByKey,0,2,0.013138127
binSortByKey,0,3,0.013065345
binSortByKey,0,4,0.013109972
binSortByKey,0,5,0.013078079
binSortByKey,0,6,0.013050977
binSortByKey,0,7,0.013047268
binSortByKey,0,8,0.0130475
binSortByKey,0,9,0.013056658
binComputeOffsets,0,0,0.000324442
binComputeOffsets,0,1,0.000322649
binComputeOffsets,0,2,0.000322138
binComputeOffsets,0,3,0.000320254
binComputeOffsets,0,4,0.000322158
binComputeOffsets,0,5,0.000322209
binComputeOffsets,0,6,0.000322037
binComputeOffsets,0,7,0.000322018
binComputeOffsets,0,8,0.000321757
binComputeOffsets,0,9,0.000322168
FFTNUFFT1,0,0,0.222359177
FFTNUFFT1,0,1,0.233504603
FFTNUFFT1,0,2,0.24025918
FFTNUFFT1,0,3,0.23247354
FFTNUFFT1,0,4,0.237545458
FFTNUFFT1,0,5,0.236717033
FFTNUFFT1,0,6,0.22239576
FFTNUFFT1,0,7,0.227883751
FFTNUFFT1,0,8,0.22728835
FFTNUFFT1,0,9,0.227470077
deconvolutionNUFFT1,0,0,0.000815029
deconvolutionNUFFT1,0,1,0.000813375
deconvolutionNUFFT1,0,2,0.000811302
deconvolutionNUFFT1,0,3,0.000801783
