timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,224.624162045
dumpData,0,0,0.111911363
dumpData,0,1,0.008463119
dumpData,0,2,0.077624346
dumpData,0,3,0.065104308
dumpData,0,4,0.103882426
dumpData,0,5,0.038926496
dumpData,0,6,0.093184673
dumpData,0,7,0.058524584
dumpData,0,8,0.077462333
dumpData,0,9,0.027254487
kick,0,0,0.004257159
kick,0,1,0.004375058
kick,0,2,0.004247961
kick,0,3,0.004393243
kick,0,4,0.004238844
kick,0,5,0.004400887
kick,0,6,0.004290042
kick,0,7,0.00440217
kick,0,8,0.00423736
kick,0,9,0.004403142
kick,0,10,0.004240616
kick,0,11,0.004382262
kick,0,12,0.004253983
kick,0,13,0.004400938
kick,0,14,0.004226099
kick,0,15,0.004371801
kick,0,16,0.004245897
kick,0,17,0.00436483
kick,0,18,0.004233224
kick,0,19,0.004377283
drift,0,0,0.004249895
drift,0,1,0.004251638
drift,0,2,0.004249154
drift,0,3,0.004277719
drift,0,4,0.004282348
drift,0,5,0.004242089
drift,0,6,0.004253382
drift,0,7,0.004251517
drift,0,8,0.004251257
drift,0,9,0.004241471
particleBC,0,0,0.012682194
particleBC,0,1,0.012697503
particleBC,0,2,0.01274226
particleBC,0,3,0.0126963
particleBC,0,4,0.012741056
particleBC,0,5,0.012711809
particleBC,0,6,0.012740417
particleBC,0,7,0.012691421
particleBC,0,8,0.01279951
particleBC,0,9,0.01271851
updateParticle,0,0,0.043268574
updateParticle,0,1,0.043172247
updateParticle,0,2,0.042647368
updateParticle,0,3,0.055207659
updateParticle,0,4,0.042593599
updateParticle,0,5,0.042592116
updateParticle,0,6,0.042545055
updateParticle,0,7,0.045950842
updateParticle,0,8,0.047857821
updateParticle,0,9,0.042703605
locateParticles,0,0,0.010965754
locateParticles,0,1,0.010992035
locateParticles,0,2,0.011003057
locateParticles,0,3,0.010966946
locateParticles,0,4,0.011011753
locateParticles,0,5,0.010954541
locateParticles,0,6,0.01096903
locateParticles,0,7,0.011027072
locateParticles,0,8,0.010951836
locateParticles,0,9,0.011024683
sendPreprocess,0,0,0.002027002
sendPreprocess,0,1,0.002227161
