timer_name,rank,measurement_id,duration_seconds
mainTimer,0,0,63.095014165
dumpData,0,0,0.006329601
dumpData,0,1,0.005810446
dumpData,0,2,0.006222524
dumpData,0,3,0.008532919
dumpData,0,4,0.008349805
dumpData,0,5,0.007559804
dumpData,0,6,0.005529832
dumpData,0,7,0.00581267
dumpData,0,8,0.005342258
dumpData,0,9,0.006463932
kick,0,0,0.001204734
kick,0,1,0.001263789
kick,0,2,0.001241444
kick,0,3,0.001245653
kick,0,4,0.001266243
kick,0,5,0.001250793
kick,0,6,0.001266594
kick,0,7,0.001257186
kick,0,8,0.001210504
kick,0,9,0.001261544
kick,0,10,0.001191909
kick,0,11,0.001222689
kick,0,12,0.00124426
kick,0,13,0.001245723
kick,0,14,0.001257566
kick,0,15,0.001258407
kick,0,16,0.001255783
kick,0,17,0.001243429
kick,0,18,0.001261534
kick,0,19,0.001224041
drift,0,0,0.001159166
drift,0,1,0.001176179
drift,0,2,0.001195736
drift,0,3,0.001177381
drift,0,4,0.001144558
drift,0,5,0.001153424
drift,0,6,0.001153575
drift,0,7,0.001199524
drift,0,8,0.001179565
drift,0,9,0.001203511
particleBC,0,0,0.003398734
particleBC,0,1,0.003392702
particleBC,0,2,0.003396791
particleBC,0,3,0.003377853
particleBC,0,4,0.00338635
particleBC,0,5,0.003416818
particleBC,0,6,0.003387813
particleBC,0,7,0.003413241
particleBC,0,8,0.003387271
particleBC,0,9,0.00339166
updateParticle,0,0,0.01638574
updateParticle,0,1,0.016558065
updateParticle,0,2,0.017152997
updateParticle,0,3,0.016522927
updateParticle,0,4,0.016658739
updateParticle,0,5,0.015599798
updateParticle,0,6,0.015705423
updateParticle,0,7,0.016254927
updateParticle,0,8,0.015762013
updateParticle,0,9,0.016480535
locateParticles,0,0,0.003970331
locateParticles,0,1,0.003966233
locateParticles,0,2,0.003978717
locateParticles,0,3,0.00398061
locateParticles,0,4,0.003975801
locateParticles,0,5,0.003965051
locateParticles,0,6,0.003967826
locateParticles,0,7,0.004008696
locateParticles,0,8,0.003975
locateParticles,0,9,0.003971193
sendPreprocess,0,0,0.000972394
sendPreprocess,0,1,0.000910624
sendPreprocess,0,2,0.001044754
sendPreprocess,0,3,0.000840157
sendPreprocess,0,4,0.001120761
sendPreprocess,0,5,0.000943668
sendPreprocess,0,6,0.000936524
sendPreprocess,0,7,0.000852682
sendPreprocess,0,8,0.000930372
sendPreprocess,0,9,0.000923809
particleSend,0,0,0.002755086
particleSend,0,1,0.002902623
particleSend,0,2,0.001812181
particleSend,0,3,0.001843391
particleSend,0,4,0.001843912
particleSend,0,5,0.001969344
particleSend,0,6,0.001817942
particleSend,0,7,0.002702945
particleSend,0,8,0.001814475
particleSend,0,9,0.002876913
particleRecv,0,0,5.0758e-05
particleRecv,0,1,5.2351e-05
particleRecv,0,2,5.4155e-05
particleRecv,0,3,5.5678e-05
particleRecv,0,4,5.9596e-05
particleRecv,0,5,5.7351e-05
particleRecv,0,6,5.2511e-05
particleRecv,0,7,5.3073e-05
particleRecv,0,8,5.4927e-05
particleRecv,0,9,5.2001e-05
particleDestroy,0,0,0.00718071
particleDestroy,0,1,0.007270774
particleDestroy,0,2,0.007208924
particleDestroy,0,3,0.007193344
particleDestroy,0,4,0.007172324
particleDestroy,0,5,0.007188335
particleDestroy,0,6,0.007187282
particleDestroy,0,7,0.007185489
particleDestroy,0,8,0.007238902
particleDestroy,0,9,0.007190839
ScatterPIFNUFFT,0,0,2.055563369
ScatterPIFNUFFT,0,1,0.001261343
ScatterPIFNUFFT,0,2,2.050480248
ScatterPIFNUFFT,0,3,0.00125966
ScatterPIFNUFFT,0,4,2.053864954
ScatterPIFNUFFT,0,5,0.001256013
ScatterPIFNUFFT,0,6,2.044818039
ScatterPIFNUFFT,0,7,0.001260903
ScatterPIFNUFFT,0,8,2.052995969
ScatterPIFNUFFT,0,9,0.001261995
ScatterPIFNUFFT,0,10,2.052393513
ScatterPIFNUFFT,0,11,0.001268016
ScatterPIFNUFFT,0,12,2.055171665
ScatterPIFNUFFT,0,13,0.001266794
ScatterPIFNUFFT,0,14,2.04461717
ScatterPIFNUFFT,0,15,0.001259649
ScatterPIFNUFFT,0,16,2.050023
ScatterPIFNUFFT,0,17,0.001258508
ScatterPIFNUFFT,0,18,2.041702874
ScatterPIFNUFFT,0,19,0.001268056
NativeNUFFT1,0,0,2.053561571
NativeNUFFT1,0,1,2.048486105
NativeNUFFT1,0,2,2.051868867
NativeNUFFT1,0,3,2.042838664
NativeNUFFT1,0,4,2.051000684
NativeNUFFT1,0,5,2.050387958
NativeNUFFT1,0,6,2.053166762
NativeNUFFT1,0,7,2.042622967
NativeNUFFT1,0,8,2.048037774
NativeNUFFT1,0,9,2.039561095
scatterTimerNUFFT1,0,0,1.917148215
scatterTimerNUFFT1,0,1,1.916680875
scatterTimerNUFFT1,0,2,1.917797186
scatterTimerNUFFT1,0,3,1.918221167
scatterTimerNUFFT1,0,4,1.917032363
scatterTimerNUFFT1,0,5,1.918954458
scatterTimerNUFFT1,0,6,1.918068742
scatterTimerNUFFT1,0,7,1.916418646
scatterTimerNUFFT1,0,8,1.91815113
scatterTimerNUFFT1,0,9,1.917565026
binSort,0,0,0.007874555
binSort,0,1,0.007875336
binSort,0,2,0.00786239
binSort,0,3,0.007880956
binSort,0,4,0.007854124
binSort,0,5,0.007891507
binSort,0,6,0.007869864
binSort,0,7,0.007870717
binSort,0,8,0.007891517
binSort,0,9,0.007881468
binComputeKeys,0,0,0.00058371
binComputeKeys,0,1,0.000585694
binComputeKeys,0,2,0.000586396
binComputeKeys,0,3,0.000594642
binComputeKeys,0,4,0.000584963
binComputeKeys,0,5,0.000589662
binComputeKeys,0,6,0.000581236
binComputeKeys,0,7,0.000587869
binComputeKeys,0,8,0.000588479
binComputeKeys,0,9,0.000585935
binSortByKey,0,0,0.007062151
binSortByKey,0,1,0.007061259
binSortByKey,0,2,0.007046881
binSortByKey,0,3,0.007058122
binSortByKey,0,4,0.007040758
binSortByKey,0,5,0.007074514
binSortByKey,0,6,0.007059024
binSortByKey,0,7,0.007053553
binSortByKey,0,8,0.007074033
binSortByKey,0,9,0.007068082
binComputeOffsets,0,0,0.000225897
binComputeOffsets,0,1,0.000225015
binComputeOffsets,0,2,0.000225948
binComputeOffsets,0,3,0.000224866
binComputeOffsets,0,4,0.000224595
binComputeOffsets,0,5,0.000224064
binComputeOffsets,0,6,0.000225677
binComputeOffsets,0,7,0.000225868
binComputeOffsets,0,8,0.000222992
binComputeOffsets,0,9,0.000223784
FFTNUFFT1,0,0,0.13589447
FFTNUFFT1,0,1,0.13128422
FFTNUFFT1,0,2,0.133551464
FFTNUFFT1,0,3,0.124099124
FFTNUFFT1,0,4,0.13345117
FFTNUFFT1,0,5,0.130912992
FFTNUFFT1,0,6,0.134576599
FFTNUFFT1,0,7,0.125682801
FFTNUFFT1,0,8,0.129364102
FFTNUFFT1,0,9,0.121477555
deconvolutionNUFFT1,0,0,0.000514596
deconvolutionNUFFT1,0,1,0.000516079
deconvolutionNUFFT1,0,2,0.0005163
deconvolutionNUFFT1,0,3,0.000514407
deconvolutionNUFFT1,0,4,0.000512162
deconvolutionNUFFT1,0,5,0.000516471
deconvolutionNUFFT1,0,6,0.000517432
deconvolutionNUFFT1,0,7,0.000517313
deconvolutionNUFFT1,0,8,0.00051658
deconvolutionNUFFT1,0,9,0.000514617
GatherPIFNUFFT,0,0,4.254149685
GatherPIFNUFFT,0,1,4.247729659
GatherPIFNUFFT,0,2,4.243288438
GatherPIFNUFFT,0,3,4.247068211
GatherPIFNUFFT,0,4,4.228537174
GatherPIFNUFFT,0,5,4.226006883
GatherPIFNUFFT,0,6,4.209378892
GatherPIFNUFFT,0,7,4.212368973
GatherPIFNUFFT,0,8,4.196657039
GatherPIFNUFFT,0,9,4.200153122
NativeNUFFT2,0,0,1.41277241
NativeNUFFT2,0,1,1.413908325
NativeNUFFT2,0,2,1.416601029
NativeNUFFT2,0,3,1.411604316
NativeNUFFT2,0,4,1.41535438
NativeNUFFT2,0,5,1.40983595
NativeNUFFT2,0,6,1.410244362
NativeNUFFT2,0,7,1.411218941
NativeNUFFT2,0,8,1.410885374
NativeNUFFT2,0,9,1.414223641
NativeNUFFT2,0,10,1.414984564
NativeNUFFT2,0,11,1.406894904
NativeNUFFT2,0,12,1.40496246
NativeNUFFT2,0,13,1.408479214
NativeNUFFT2,0,14,1.404010347
NativeNUFFT2,0,15,1.404811679
