num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
256,1024,8589934592,type1,0,347.310010
256,1024,8589934592,type1,1,342.468078
256,1024,8589934592,type1,2,343.746345
256,1024,8589934592,type1,3,348.432030
256,1024,8589934592,type1,4,340.014217
256,1024,8589934592,type1,5,344.276696
256,1024,8589934592,type1,6,338.753913
256,1024,8589934592,type1,7,339.421895
256,1024,8589934592,type1,8,343.235517
256,1024,8589934592,type1,9,343.146465
256,1024,8589934592,type2,0,200.828151
256,1024,8589934592,type2,1,198.042888
256,1024,8589934592,type2,2,197.000435
256,1024,8589934592,type2,3,198.188173
256,1024,8589934592,type2,4,200.073463
256,1024,8589934592,type2,5,234.364906
256,1024,8589934592,type2,6,192.356690
256,1024,8589934592,type2,7,191.006657
256,1024,8589934592,type2,8,194.886774
256,1024,8589934592,type2,9,210.708326
