num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
32,512,1073741824,type1,0,263.658464
32,512,1073741824,type1,1,263.510918
32,512,1073741824,type1,2,263.156582
32,512,1073741824,type1,3,259.122851
32,512,1073741824,type1,4,261.315724
32,512,1073741824,type1,5,270.424164
32,512,1073741824,type1,6,267.314504
32,512,1073741824,type1,7,265.715100
32,512,1073741824,type1,8,269.547527
32,512,1073741824,type1,9,263.038142
32,512,1073741824,type2,0,119.336469
32,512,1073741824,type2,1,123.486847
32,512,1073741824,type2,2,119.282500
32,512,1073741824,type2,3,120.466955
32,512,1073741824,type2,4,121.145346
32,512,1073741824,type2,5,122.265276
32,512,1073741824,type2,6,121.615346
32,512,1073741824,type2,7,120.338312
32,512,1073741824,type2,8,118.592703
32,512,1073741824,type2,9,119.297783
