num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
1024,1024,8589934592,type1,0,216.988979
1024,1024,8589934592,type1,1,217.604986
1024,1024,8589934592,type1,2,215.575479
1024,1024,8589934592,type1,3,215.878749
1024,1024,8589934592,type1,4,214.794042
1024,1024,8589934592,type1,5,213.091365
1024,1024,8589934592,type1,6,217.524690
1024,1024,8589934592,type1,7,214.365525
1024,1024,8589934592,type1,8,214.780484
1024,1024,8589934592,type1,9,223.713851
1024,1024,8589934592,type2,0,153.788571
1024,1024,8589934592,type2,1,155.992409
1024,1024,8589934592,type2,2,153.979267
1024,1024,8589934592,type2,3,159.601637
1024,1024,8589934592,type2,4,152.826520
1024,1024,8589934592,type2,5,151.670977
1024,1024,8589934592,type2,6,151.987240
1024,1024,8589934592,type2,7,155.315765
1024,1024,8589934592,type2,8,157.159287
1024,1024,8589934592,type2,9,153.673294
